Division,District,Host,Location,Teams
1,21,St Clair Shores Lake Shore,St Clair Shores Lake Shore,"['Fraser', 'Roseville', 'Warren De La Salle Collegiate', 'Warren Woods Tower']"
1,22,Royal Oak,Royal Oak,"['Berkley', 'Sterling Heights', 'Warren Cousino', 'Warren Mott']"
1,23,Detroit U of D Jesuit,Detroit U-D Jesuit,"['Detroit Mumford', 'Detroit Renaissance', 'Oak Park']"
1,24,Bloomfield Hills Brother Rice,Warriors Park - Troy,"['Birmingham Groves', 'Birmingham Seaholm', 'Southfield Arts & Technology']"
1,25,Sterling Heights Stevenson,Stevenson High School - Sterling Heights,"['Clinton Township Chippewa Valley', ""Harrison Township L'Anse Creuse"", 'Utica Ford']"
1,26,Port Huron Northern,Port Huron Northern - Baseball,"['Macomb Dakota', ""Macomb L'Anse Creuse North"", 'New Baltimore Anchor Bay', 'Port Huron']"
1,27,Romeo,Romeo HS - Baseball,"['Rochester', 'Rochester Adams', 'Rochester Hills Stoney Creek', 'Utica Eisenhower']"
1,28,Auburn Hills Avondale,Auburn Hills Avondale,"['Bloomfield Hills', 'Troy', 'Troy Athens', 'Utica']"
1,29,West Bloomfield,West Bloomfield ,"['Lake Orion', ""Orchard Lake St Mary's"", 'Waterford Kettering', 'Waterford Mott']"
1,30,White Lake Lakeland,Lakeland HS - Baseball - White Lake,"['Milford', 'Walled Lake Central', 'Walled Lake Northern', 'Walled Lake Western']"
1,31,Oxford,Oxford High School - Baseball,"['Clarkston', 'Fenton', 'Grand Blanc', 'Holly']"
1,32,Flushing,Flushing High School - Baseball,"['Davison', 'Flint Carman-Ainsworth', 'Lapeer', 'Swartz Creek']"
2,33,Escanaba,Al Ness Field (Al Ness) - Escanaba ,"['Houghton', 'Kingsford', 'Sault Ste Marie']"
2,34,Gaylord,Gaylord Varsity Baseball Field,"['Cheboygan', 'Ogemaw Heights', 'Petoskey']"
2,35,Kingsley,Kingsley Athletic Complex,"['Big Rapids', 'Cadillac', 'Gladwin', 'Ludington']"
2,36,Bay City John Glenn,Bay City John Glenn High School,"['Essexville Garber', 'Freeland', 'Midland Bullock Creek', 'Shepherd']"
2,37,Newaygo,Newaygo Baseball Field ,"['Alma', 'Fremont', 'Grant', 'Howard City Tri County']"
2,38,Muskegon Oakridge,Oakridge HS Baseball Field (Eagle Field) - Muskegon,"['Fruitport', 'Muskegon Orchard View', 'Spring Lake', 'Whitehall']"
2,39,Coopersville,Coopersville High School (Varsity Baseball Field),"['Allendale', 'Comstock Park', 'Sparta']"
2,40,Belding,Belding High School,"['Ada Forest Hills Eastern', 'Ionia', 'Portland', 'St Johns']"
2,41,Middleville Thornapple Kellogg,Thornapple Kellogg High School - Baseball - Middleville,"['East Grand Rapids', 'Grand Rapids Christian', 'Grand Rapids South Christian', 'Grand Rapids West Michigan Aviation Academy']"
2,42,Grand Rapids Catholic Central,Grand Rapids Catholic Central,"['Hudsonville Unity Christian', 'Wyoming Godwin Heights', 'Wyoming Kelloggsville', 'Wyoming Lee']"
2,43,Hamilton,Hamilton HS,"['Allegan', 'Holland', 'Holland Christian', 'South Haven']"
2,44,Wayland,Phil Regan Field - Wayland,"['Hopkins', 'Otsego', 'Plainwell', 'Richland Gull Lake']"
2,45,Berrien Springs,Berrien Springs High School - Baseball,"['Benton Harbor', 'Edwardsburg', 'Niles', 'Stevensville Lakeshore']"
2,46,Vicksburg,Vicksburg High School (Baseball Game Field),"['Dowagiac', 'Paw Paw', 'Sturgis', 'Three Rivers']"
2,47,Coldwater,CHS Baseball Complex (Lowe Field) - Coldwater,"['Battle Creek Harper Creek', 'Battle Creek Pennfield', 'Marshall', 'Parma Western']"
2,48,Lake Odessa Lakewood,lakewood high school lake odessa - Baseball,"['Charlotte', 'Eaton Rapids', 'Hastings', 'Olivet']"
2,49,Mason,Mason High School - Baseball,"['Ann Arbor Father Gabriel Richard', 'Chelsea', 'Pinckney']"
2,50,Adrian,Cliff Nelson Field - Adrian,"['Dundee', 'Milan', 'Tecumseh']"
2,51,Carleton Airport,Airport High School - Carleton (Varsity Baseball Field),"['Flat Rock', 'Monroe Jefferson', 'New Boston Huron']"
2,52,Trenton,Trenton Baseball Stadium,"['Grosse Ile', 'Riverview', 'Romulus', 'Romulus Summit Academy North']"
2,53,Dearborn Divine Child,Divine Child High School - Dearborn (Baseball Diamond),"['Dearborn Heights Annapolis', 'Dearborn Henry Ford Academy', 'Garden City', 'Melvindale']"
2,54,Livonia Clarenceville,Baseball Field - Livonia,"['Detroit Cody', 'Detroit Henry Ford', 'Redford Union']"
2,55,Detroit University Prep Art & Design,Detroit University Prep Art & Design,['Detroit University Prep']
2,56,Grosse Pointe Woods University Liggett,"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236","['Detroit Denby', 'Detroit East English', 'Harper Woods Chandler Park', 'St Clair Shores South Lake']"
2,57,Hazel Park,Hazel Park High School (Baseball Diamond),"['Center Line', 'Eastpointe', 'Madison Heights Lamphere', 'Warren Fitzgerald']"
2,58,Richmond,Richmond Baseball Facility,"['Macomb Lutheran North', 'Marine City', 'Marysville', 'St Clair']"
2,59,North Branch,North Branch High School - Baseball,"['Armada', 'Croswell-Lexington', 'Imlay City', 'Yale']"
2,60,Goodrich,Goodrich High School - Baseball,"['Bloomfield Hills Cranbrook Kingswood', 'Detroit Country Day', 'Ortonville Brandon', 'Pontiac Notre Dame Prep']"
2,61,Fowlerville,Gehringer Field - Baseball - Fowlerville,"['Haslett', 'Lansing Eastern', 'Lansing Sexton', 'Williamston']"
2,62,Owosso,Owosso High School (Baseball Diamond),"['Corunna', 'Flint Powers Catholic', 'Lake Fenton', 'Linden']"
2,63,Clio,Conlee Field - Clio,"['Birch Run', 'Flint Hamady', 'Flint Kearsley', 'Frankenmuth']"
2,64,Saginaw Swan Valley,Swan Valley High School - Saginaw,"['Bridgeport', 'Carrollton', 'Saginaw Arthur Hill']"
3,65,Negaunee,Irontown Field - Negaunee,"['Calumet', 'Hancock', 'Iron Mountain', 'Ishpeming Westwood']"
3,66,Gladstone,Gladstone Sports Park,"['Eben Junction Superior Central', 'Manistique', 'Menominee', 'Newberry']"
3,67,Charlevoix,Charlevoix HS,"['Boyne City', 'Elk Rapids', 'Kalkaska', 'Mancelona']"
3,68,Houghton Lake,Houghton Lake High School (baseball field),"['Grayling', 'Lake City', 'McBain', 'Roscommon']"
3,69,Hart,Hart Baseball Field,"['Hesperia', 'Mason County Central', 'Morley Stanwood', 'Shelby', 'White Cloud']"
3,70,Traverse City Christian,Traverse City Christian School,"['Benzie Central', 'Manistee', 'Manton', 'Traverse City St Francis']"
3,71,Sanford Meridian,Meridian High School - Baseball - Sanford,"['Beaverton', 'Oscoda', 'Pinconning', 'Standish-Sterling', 'Tawas']"
3,72,Clare,Brookwood Athletic Complex - Clare,"['Evart', 'Harrison', 'LeRoy Pine River', 'Reed City', 'Remus Chippewa Hills']"
3,73,Watervliet,Watervliet - Baseball,"['Bangor', 'Bloomingdale', 'Coloma', 'Hartford']"
3,74,Galesburg-Augusta,Galesburg-Augusta High School - Baseball,"['Climax-Scotts', 'Comstock', 'Kalamazoo Christian', 'Parchment']"
3,75,Grandville Calvin Christian,Calvin Christian HS - Baseball - Grandville,"['Fennville', 'Grand Rapids Covenant Christian', 'Holland Black River', 'Saugatuck']"
3,76,Ravenna,Ravenna Citizen's Field,"['Kent City', 'Montague', 'North Muskegon']"
3,77,Hemlock,Hemlock HS Baseball Field,"['Chesaning', 'Ithaca', 'Ovid-Elsie', 'St Louis']"
3,78,Durand,Durand High School - Baseball (Goudy Field),"['Bath', 'Byron', 'Laingsburg', 'Perry']"
3,79,Vermontville Maple Valley,Maplewood Elementary (Griswald Field) - Vermontville,"['Delton Kellogg', 'Lansing Catholic', 'Pewamo-Westphalia', 'Springport']"
3,80,Grand Rapids West Catholic,Grand Rapids West Catholic High School (Baseball Diamond),"['Central Montcalm', 'Grand Rapids NorthPointe Christian', 'Lakeview', 'Saranac']"
3,81,Bridgman,Bridgman HS,"['Buchanan', 'Cassopolis', 'Lawton', 'Niles Brandywine']"
3,82,Schoolcraft,Schoolcraft High School,"['Bronson', 'Centreville', 'Constantine', 'Union City']"
3,83,Hanover-Horton,Hanover-Horton High School - Baseball,"['Hillsdale', 'Homer', 'Jonesville', 'Quincy']"
3,84,Napoleon,Napoleon High - Baseball,"['Brooklyn Columbia Central', 'Jackson Lumen Christi', 'Michigan Center']"
3,85,Grass Lake,Grass Lake High School  - Baseball,"['Dansville', 'Leslie', 'Stockbridge']"
3,86,Clinton,Clinton High School - Baseball,"['Adrian Madison', 'Hudson', 'Manchester', 'Onsted']"
3,87,Ottawa Lake Whiteford,Whiteford High School - Baseball - Ottawa Lake,"['Blissfield', 'Erie Mason', 'Ida', 'Monroe St Mary Catholic Central']"
3,88,Ann Arbor Greenhills,Concordia University - Ann Arbor,"['Brighton Charyl Stockwell Prep', 'Canton Prep', 'Dearborn Heights Robichaud', 'Taylor Prep']"
3,89,Detroit Communication Media Arts,Communication & Media Arts High School - Detroit (Stoepel Park),"['Detroit Jalen Rose Leadership Academy', 'Detroit Loyola']"
3,90,Ecorse,Ecorse High School (Baseball Diamond),"['Detroit Cristo Rey', 'Hope of Detroit Academy']"
3,91,Detroit Osborn,Detroit Osborn,"['Detroit Central', 'Detroit Edison', 'Detroit Pershing', 'Warren Lincoln']"
3,92,Madison Heights Bishop Foley,Bishop Foley - Baseball - Madison Heights,"['Clawson', 'Clinton Township Clintondale', 'Madison Heights Madison']"
3,93,Algonac,Algonac High School (Baseball Diamond),"['Almont', 'Memphis', 'New Haven']"
3,94,Burton Bentley,"Bentley High School (The ""Vuk""  (Named after Coach Jim Vukovich) - Burton","['Burton Atherton', 'Burton Bendle', 'Montrose', 'Mt Morris', 'New Lothrop']"
3,95,Vassar,Vassar High School - Baseball,"['Millington', 'Otisville LakeVille Memorial', 'Reese', 'Saginaw Valley Lutheran']"
3,96,Caro,Caro HS,"['Bad Axe', 'Cass City', 'Elkton-Pigeon-Bay Port Laker', 'Sandusky']"
4,97,Painesdale Jeffers,Stanton Baseball Field - Atlantic Mine,"['Ironwood', 'Lake Linden-Hubbell', ""L'Anse"", 'Ontonagon', 'Wakefield-Marenisco']"
4,98,Norway,Norway,"['Bark River-Harris', 'Crystal Falls Forest Park', 'Felch North Dickinson', 'Powers North Central', 'Stephenson']"
4,99,Rudyard,Rudyard Township fields - Baseball,"['Brimley', 'Mackinaw City', 'Pellston', 'Pickford']"
4,100,Harbor Springs,Kosequat Field,"['Alanson ', 'Burt Lake Northern Michigan Christian', 'Harbor Springs Harbor Light Christian', 'Indian River Inland Lakes']"
4,101,Central Lake,Central Lake Gymnasium,"['Bellaire', 'East Jordan', 'Ellsworth']"
4,102,Gaylord St Mary,Gaylord St Mary,"['Boyne Falls', 'Johannesburg-Lewiston', 'Mio', 'Wolverine']"
4,103,Hillman,Hillman H.S. - Baseball,"['Atlanta', 'Onaway', 'Posen', 'Rogers City']"
4,104,Alcona,Alcona High School - Baseball,"['Au Gres-Sims', 'Hale', 'St Helen Charlton Heston Academy', 'Whittemore-Prescott']"
4,105,Frankfort,Lockhart Field - Frankfort,"['Lake Leelanau St Mary', 'Maple City Glen Lake', 'Suttons Bay']"
4,106,Marion,Marion Athletic Complex - Baseball,"['Buckley', 'Fife Lake Forest Area', 'Mesick']"
4,107,Brethren,Brethren,"['Bear Lake', 'Manistee Catholic Central', 'Mason County Eastern', 'Pentwater']"
4,108,Muskegon Western Michigan Christian,Warrior Field - Norton Shores,"['Baldwin', 'Blanchard Montabella', 'Holton', 'Muskegon Catholic Central']"
4,109,Beal City,Beal City High School - Baseball - Mt. Pleasant-Beal City,"['Coleman', 'Farwell', 'Mount Pleasant Sacred Heart', 'Vestaburg']"
4,110,Breckenridge,Breckenridge Community Schools - Baseball,"['Merrill', 'Saginaw Michigan Lutheran Seminary', 'Saginaw Nouvel', 'St Charles']"
4,111,Fowler,Fowler High School,"['Ashley', 'Carson City-Crystal', 'Fulton', 'Portland St Patrick']"
4,112,Lansing Christian,Lansing Christian High School,"['Morrice', 'Potterville', 'Webberville']"
4,113,New Buffalo,Slater Field - New Buffalo,"['Eau Claire', 'St Joseph Michigan Lutheran', 'St Joseph Our Lady of the Lake Catholic', 'Three Oaks River Valley']"
4,114,Lawrence,Lawrence Fields,"['Decatur', 'Gobles', 'Marcellus']"
4,115,Martin,Martin Baseball Field,"['Byron Center Zion Christian', 'Grand Rapids Sacred Heart', ""Wyoming Potter's House Christian"", 'Wyoming Tri-unity Christian']"
4,116,Mendon,Mendon High School (John Schwartz Field),"['Kalamazoo Hackett Catholic Prep', 'Kalamazoo Heritage Christian', 'White Pigeon']"
4,117,Colon,Colon MS/HS Athletic COmplex (Colon Athletic Complex),"['Athens', 'Bellevue', 'Tekonsha']"
4,118,East Jackson,East jackson - Baseball,"['Addison', 'Concord', 'Litchfield', 'Vandercook Lake']"
4,119,North Adams-Jerome,Trott Field - North Adams,"['Camden-Frontier', 'Pittsford', 'Reading', 'Waldron']"
4,120,Morenci,Morenci,"['Adrian Lenawee Christian', 'Britton Deerfield', 'Petersburg Summerfield', 'Sand Creek']"
4,121,Harbor Beach,Harbor Beach HS,"['Deckerville', 'Kinde North Huron', 'Ubly']"
4,122,Kingston,Kingston High School - Baseball,"['Akron-Fairgrove', 'Bay City All Saints', 'Caseville', 'Mayville', 'Unionville-Sebewaing']"
4,123,Peck,Peck High School - Baseball,"['Brown City', 'Capac', 'Marlette']"
4,124,Genesee,Genesee,"['Dryden', 'Genesee Christian']"
4,125,Sterling Heights Parkway Christian,Parkway Christian School - Baseball - Sterling Heights ,"['Auburn Hills Oakland Christian', 'Marine City Cardinal Mooney', 'New Haven Merritt Academy', 'Rochester Hills Lutheran Northwest']"
4,126,Waterford Our Lady of the Lakes,Our Lady of the Lakes - Baseball - Waterford,"['Bloomfield Hills Roeper', 'Clarkston Everest Collegiate', 'Royal Oak Shrine Catholic', 'Southfield Christian']"
4,127,Riverview Gabriel Richard,Gabriel Richard HS - Softball - Riverview,"['Allen Park Cabrini', 'Allen Park Inter-City Baptist', 'Detroit Academy of the Americas', 'Taylor Trillium Academy']"
4,128,Plymouth Christian Academy,Stafford Field - Canton,"['Lutheran Westland', 'Novi Christian Academy', 'Westland Huron Valley Lutheran', 'Whitmore Lake']"
