park_name,Place 1,Place 2,Place 3,Place 4,Place 5
Fowlerville HS,Fowlerville HS Baseball/Softball Fields,Fowlerville Community Village Park-Soccer fields,Fowlerville Community Schools,H T Smith Elementary School,High School
Goodrich HS,Oaktree Elementary,Goodrich Middle School,Goodrich High School,Atlas County Park,
North Branch HS,Ruth Fox Elementary School,North Branch Elementary School,North Branch Middle School,North Branch Area Schools,North Branch High School
Hazel Park HS,Richmond Little League Baseball,Will L Lee Elementary School,Richmond High School,Richmond Middle School,Richmond Community Schools
Richmond High School,Richmond Little League Baseball,Will L Lee Elementary School,Richmond High School,Richmond Middle School,Richmond Community Schools
Grosse Pointe Woods University Liggett School,Barnes School,University Liggett School,Monteith Elementary School,Our Lady Star of the Sea School,Joseph P Healy Field
Livonia - Clarenceville HS,Concordia Lutheran School,Grandview Elementary School,Clarenceville Middle School,Botsford Elementary School,A&A Driving School
Trenton High School,McLouth Park Rush home field,Walter R. Farrer Field @ Trenton High School,Hedke Elementary School,Trenton Public Schools,Anderson Elementary School
Carleton Airport High School,Sterling Elementary,Wagar Junior High School,Airport High School,JV Ball Field Airport High School,24-7 Driving School
Adrian HS,Alexander Elementary School,Springbrook Middle School,Adrian High School,Adrian Public Schools,Lincoln Elementary School
Mason HS,Mason High School Softball Field,Mason Public School Family Services,Steele Street Elementary School,Mason Middle School,Mason Public Schools
Lake Odessa Lakewood HS,Lakewood Middle School,Lakewood Community Education,Lakewood Band Boosters,Jordan Lake Trail,
Coldwater HS,Lowe Field,Coldwater Little League Park,Cardinal Field,Heritage Park Soccer Fields,Coldwater Community School
Vicksburg HS,Vicksburg Bulldogs Football Field,Vicksburg Baseball Fields,Sunset Lake Elementary School,Vicksburg Middle School,Vicksburg Pathways High School
Berrien Springs HS - high_school,Mars Elementary School,Sylvester Elementary School,Berrien Springs Public Schools STEM/Central,Berrien Springs Middle School,Discovery Academy
Wayland HS,R J Steeby Elementary School,Wayland Middle School,Wayland Special Education,Wayland Union High School,Wayland Union Schools
Hamilton HS,Softball Admin Field,Hamilton Hawkeyes Baseball,Hamilton Middle School,Hamilton High School,Hamilton Community Schools
Grand Rapids Catholic Central HS,Baseball Field,Softball Field,MySchool@Kent,Knapp Charter Academy,Kent Innovation High School
Middleville Thornapple Kellogg HS,Page Elementary School,Lee Elementary School,Thornapple Kellogg School-Superintendent,Thornapple Kellogg Middle School,Thornapple Kellogg Schools Early Childhood Center
Belding HS,Belding High School Baseball Field,Baseball Field,Baseball Field,Belding Athletic Field,Belding Football Field
Coopersville HS,Coopersville High School Baseball Field,Coopersville East Elementary,South Elementary School,Coopersville Middle School,Coopersville High School
Muskegon Oakridge HS,Flickema Park(Oakridge Youth Baseball),Beals Field (Oakridge Youth Baseball),Redden Field (Oakridge Youth Baseball),Oakridge Lower Elementary,Oakridge Upper Elementary
Bay City john Glen HS,Bangor West Elementary School,Christa McAuliffe Middle School,Faith Lutheran School,John Glenn High School,Bay Arenac ISD Educational Service Center
Kingsley HS,Rodes Field,Civic Center South Park,Kingsley Area Elementary School,Kingsley Middle School,Kingsley High School
Escanaba HS,Al Ness Field,Escanaba Football Field,Early Headstart,Escanaba Early Childhood Center,Escanaba Football Field
Flushing HS,Flushing High School Football Field,Central Elementary School,Flushing High School,Flushing Middle School,Flushing Community Schools
Oxford HS,Oxford High School,The Goddard School of Oxford,Kindermusik at Great Lakes Kids Energy Zone,,
West Bloomfield HS,West Bloomfield High School,Sheiko Elementary School,Doherty Elementary School,West Bloomfield School District,Bloomfield Suzuki School of Music
Auburn Hills Avondale HS,Auburn Elementary School,R. Grant Graham Elementary,Avondale High School,Avondale School District Administration Building,"Alderbrook School, Inc."
Sterling Heights Stevenson HS,Runkel Field,DeKeyser Elementary School,Plumbrook Elementary School,Schwarzkoff Elementary School,William R. Davis Junior High School
Gross Pointe North High School,Vernier Field,Ferry Elementary School,Mason Elementary School,Grosse Pointe North High School,Grosse Pointe Foundation for Public Education
Historic Hamtramck Stadium - muni,Hamtramck Stadium,Baseball Field,Keyworth Stadium,Dickinson East Elementary School,Tau Beta School
Brownstone Woodhaven HS,Woodhaven High School,Woodhaven Special Education,Fairway Villa Park,Fairway Villa Park,Deerfield Park
Livonia Aldai Stevenson High School,Runkel Field,DeKeyser Elementary School,Plumbrook Elementary School,Schwarzkoff Elementary School,William R. Davis Junior High School
Livonia Franklin HS,American Montessori Academy,Benjamin Franklin High School,Grant Elementary School,Hayes Elementary School,"Peace Lutheran Church, School and Preschool"
Jackson High School - high school,Withington Community Stadium,Bennett Elementary School,Jackson Public School,JPS Montessori Center,Saint Marys School
Dewitt High School,DeWitt 8U Baseball Field,DeWitt 12U Baseball Field,DeWitt 14U Baseball Field,DeWitt High School Baseball Field,DeWitt 10u Baseball Field
Portage Northern High School,Portage Northern Softball Field,Portage Northern High School Baseball Field,Huskie Field,Portage North Middle School,Portage Community High School
Zeeland West HS,Varisty Baseball East and West Fields,Zeeland West Baseball Field,Kraai Field,Bil-Mar Field,DeWitt Sports Complex
Grand Rapids Forest Hills Northern HS,Forest Hills Northern Baseball Field,Softball Field,Forest Hills Northern Athletic Field,Northern Trails 5/6 School,Northern Hills Middle School
Muskegon Mona Shores HS,Admin Field,Mona Shores High School,West Shore Lutheran School,Ross Medical Education Center,Maple Grove School
Marquette HS - Hurley Field,Haley Field,Kaufman Sports Complex,NMU Outdoor Soccer Fields,Superior Dome,Marquette Area Public School
