park_name,host_team,division,district,region_semi_number,regional_div,region_final_quarter,finals,nickname,color1,color2,color3
Vassar HS,Caro,3,95,48,3,,,Tigers,Purple , White,
Caro HS,Painesdale Jeffers,4,96,,,,,Jets,Green , White,
Norway High School,Norway,4,98,49,4,,,Knights,Navy , White,
Rudyard HS,Rudyard,4,99,,,,,Bulldogs,Orange , Black,
Harbor Springs High School,Harbor Springs,4,100,50,4,,,Rams,Orange , Black,
Central Lake HS - high_school,Central Lake,4,101,,,,,Trojans,Royal Blue , Orange,
Gaylord St Mary High School - high school,Gaylord St Mary,4,102,51,4,,,Snowbirds,Blue , White,
Hillman HS,Hillman,4,103,52,4,,,Tigers,Orange , Black,
Alcona HS,Alcona,4,104,,,,,Tigers,Blue , Gold,
Frankfort-Elberta Area HS,Frankfort,4,105,53,4,,,Panthers,Purple , Gold,
Marion HS,Marion,4,106,,,,,Eagles,Maroon , White,
Dickenson Township Park - Brethren High School,Brethren,4,107,,,,,Bobcats,Columbia Blue,Navy,White
Muskegon Western Michigan Christian HS,Muskegon Western Michigan Christian,4,108,54,4,,,Warriors,Forest Green , White,
Beal City HS,Beal City,4,109,55,4,,,Aggies,Blue , White,
Breckenridge HS,Breckenridge,4,110,,,,,Huskies,Blue , Gold,
Fowler HS,Fowler,4,111,56,4,,,Eagles,Blue , White,
Lansing Christian HS - high school,Lansing Christian,4,112,,,,,Pilgrims,Black , Gold,
New Buffalo HS,New Buffalo,4,113,,,,,Bison,Royal Blue , Gold,
Lawrence HS,Lawrence,4,114,57,4,,,Tigers,Purple , White,
Martin HS,Martin,4,115,,,,,Clippers,Maroon , White,
Mendon High School,Mendon,4,116,58,4,,,Hornets,Green , White,
Colon High School - high school,Colon,4,117,59,4,,,Magi,Red , White,
East Jackson High School,East Jackson,4,118,,,,,Trojans,Navy Blue , White,
North Adams-Jerome,North Adams-Jerome,4,119,,,,,Rams,Green , White,
Morenci HS,Morenci,4,120,60,4,,,Bulldogs,Maroon , White,
Harbor Beach HS,Harbor Beach,4,121,,,,,Pirates,Orange , Black,
Kingston HS,Kingston,4,122,61,4,,,Cardinals,Red , Black,
Peck HS,Peck,4,123,,,,,Pirates,Red , White,
Genesee HS,Genesee,4,124,63,4,,,Wolves,Green , White,
Sterling Heights - Parkway Christian High School,Sterling Heights Parkway Christian,4,125,13,1,,,Eagles,Royal Blue,Red,White
Waterford Our Lady of the Lakes High School,Waterford Our Lady of the Lakes,4,126,,,,,Tigers,Columbia Blue,White,Navy
Gabriel Richard HS,Riverview Gabriel Richard,4,127,,,,,Pioneers,Burgundy , White,
Plymouth Christian Academy - high school,Plymouth Christian Academy,4,128,64,4,16,,Eagles,Purple,Gold,
CMU - college,,,,,,1,,,,,
Novi HS,,,,,,2,,,,,
Wayne State Univ - college,,,,,,3,,,,,
Sanborn Park - Port Huron - muni,,,,,,4,,,,,
Petoskey High School,,,,,,5,,,,,
Kalamazoo College - college,,,,,,6,,,,,
U of M - college,,,,,,7,,,,,
Sagniaw Valley State - college,,,,,,8,,,,,
Traverse City Central HS - field 1,,,,,,9,,,,,
Cornerstone Baseball Field - college,,,,,,10,,,,,
Adrian College,,,,,,11,,,,,
Indian River Inland Lakes HS,,,,,,13,,,,,
Holton HS,,,,,,14,,,,,
Jackson Lumen Christi HS,,,,,,15,,,,,
Michigan State - Old College Field,,,,,,,1,,,,
St Joseph HS,,,,,,,,,,,
Grandville HS - Field 2 - JV - high school,,,,,,,,,,,
Historic Hamtramck Stadium - Detroit Western,,,,,,,,,,,
