Mapped?,school name,school long name,nickname,place,reg,division,recent conference
,Olivet College,Olivet College,Comets,"Olivet,Michigan",MI,NCAA-3,Michigan Intercollegiate Athletic Association (2022)
,Rochester,Rochester College,Warriors,"Rochester,Michigan",MI,NAIA,Wolverine-Hoosier Athletic Conference (2022)
y,Saginaw Valley State,Saginaw Valley State University,Cardinals,"Saginaw,Michigan",MI,NCAA-2,Great Lakes Intercollegiate Athletic Conference (2022)
,Siena Heights,Siena Heights University,Saints,"Adrian,Michigan",MI,NAIA,Wolverine-Hoosier Athletic Conference (2022)
,Spring Arbor University,Spring Arbor University,Cougars,"Spring Arbor,Michigan",MI,NAIA,Crossroads League (2022)
,St Mary's College.,St Mary's College,--,"Orchard Lake Village,Michigan",MI,--,--
,St. Clair County CC,St. Clair County Community College,Skippers,"Port Huron,Michigan",MI,NJCAA,National Jr College Athletic Association (2022)
,SW Michigan College,Southwestern Michigan College,--,"Dowagiac,Michigan",MI,--,--
,Washtenaw CC.,Washtenaw Community College.,--,"Ann Arbor,Michigan",MI,--,--
y,Wayne State University,Wayne State University,Warriors,"Detroit,Michigan",MI,NCAA-2,Great Lakes Intercollegiate Athletic Conference (2022)
y,Western Michigan,Western Michigan University,Broncos,"Kalamazoo,Michigan",MI,NCAA-1,Mid-American Conference (2022)
