school_name,school_abrv,school_nickname,street_address,city,state,zip_code,ncaa_member_since,hbcu_status,public_private_status,head_coach,division,conference
Canisius College,CC,Golden Griffins/ Griffs,2001 Main Street,Buffalo,NY,14208-1098,9/1/1936,No,Private,Matt Mazurek,I,Metro Atlantic Athletic Conference
Capital University,CU,NCAA Applications Administrators,E Main St & College Ave,Bexley,OH,43209,9/1/1954,No,Private,Scott Manahan,III,Ohio Athletic Conference
Carroll University,Wisconsin,Pioneers,100 N. East Ave.,Waukesha,WI,53186,9/1/1976,No,Private,Stein Rear,III,College Conference of Illinois & Wisconsin
Case Western Reserve University,CWRU,Spartans,10900 Euclid Avenue,Cleveland,OH,44106-7223,9/1/1936,No,Private,Matt Englander,III,University Athletic Association
Catholic University,CATHU,Cardinals,"620 Michigan Avenue, NE",Washington,DC,20064,9/1/1915,No,Private,Ross Natoli,III,Landmark Conference
Centenary College,Louisiana,Ladies & Gents,2911 Centenary Blvd.,P.O.Box 41188,Shreveport,LA,9/1/1952,No,Private,Michael Diaz,III,Southern Collegiate Athletic Conference
Central College,Iowa,Dutch,812 University,Pella,IA,50219,9/1/1966,No,Private,Adam Carey,III,American Rivers Conference
Central Connecticut State University,CCSU,Blue Devils,1615 Stanley Street,New Britain,CT,6050,9/1/1963,No,Public,Charlie Hickey,I,Northeast Conference
University of Central Florida,UCF,Knights,4000 Central Florida Boulevard,P.O. Box 163555,Orlando,FL,9/1/1972,No,Public,Greg Lovelady,I,American Athletic Conference
Central Michigan University,CMU,Chippewas,1200 S Franklin St.,Mount Pleasant,MI,48859,9/1/1926,No,Public,Jacob Sabol,I,Mid-American Conference
University of Central Missouri,UCM,"Mules, Jennies",108 W. South Street,Warrensburg,MO,64093,9/1/1957,No,Public,Kyle Crookes,II,Mid-America Intercollegiate Athletics Association
Christopher Newport University,CNU,Captains,1 Avenue of the Arts,Newport News,VA,23606-3072,9/1/1974,No,Public,John Harvell,III,Coast-To-Coast Athletic Conference
University of Cincinnati,UC,Bearcats,2624 Clifton Ave,Cincinnati,OH,45221,9/1/1919,No,Public,Jordan Bischel,I,American Athletic Conference
Claremont McKenna-Harvey Mudd-Scripps Colleges,CMS,"Stags, Athenas",500 E 9th Street,Claremont,CA,91711,9/1/1959,No,Private,Bill Walkenbach,III,Southern California Intercollegiate Athletic Conf.
Clark Atlanta University,CAU,Panthers,"223 James P. Brawley Dr., SW.",Atlanta,GA,30314,9/1/1952,Yes,Private,Kentaus Carter,II,Southern Intercol. Ath. Conf.
Clark University,Massachusetts,NCAA Applications Administrators,950 Main St,Worcester,MA,1610,9/1/1955,No,Private,Billy Cather,III,New England Women's and Men's Athletic Conference
Clarkson University,CU,Golden Knights,8 Clarkson Avenue,Potsdam,NY,13699,9/1/1928,No,Private,Jim Kane,III,Liberty League
Clemson University,CU,Tigers,201 Sikes Hall,Clemson,SC,29634,9/1/1912,No,Public,Erik Bakich,I,Atlantic Coast Conference
Coastal Carolina University,CCU,Chanticleers,"132 Chanticleer Drive, West",Conway,SC,29528,9/1/1985,No,Public,Gary Gilmore,I,Sun Belt Conference
Coe College,COE,Kohawks,1220 First Avenue NE,Cedar Rapids,IA,52402-5092,9/1/1920,No,Private,Steve Cook,III,American Rivers Conference
Colby College,COL,Mules,4900 Mayflower Hill,Waterville,ME,04901-8849,9/1/1944,No,Private,Jesse Woods,III,New England Small College Athletic Conference
Colby-Sawyer College,CSC,Chargers,541 Main Street,New London,NH,3257,9/1/1982,No,Private,Tom White,III,Great Northeast Athletic Conference
Colorado School of Mines,Mines,Orediggers,1500 Illinois Street,Golden,CO,80401,9/1/1940,No,Public,Robert Bales,II,Rocky Mountain Athletic Conference
Columbia University-Barnard College,CU,Lions,West 116 St and Broadway,New York,NY,10027,9/1/1909,No,Private,Brett Boretti,I,The Ivy League
Columbus State University,CSU,Cougars,4225 University Avenue,Columbus,GA,31907-5645,9/1/1972,No,Public,Greg Appleton,II,Peach Belt Conference
Concordia University Chicago,CUC,Cougars,7400 Augusta Street,River Forest,IL,60305-1499,9/1/1980,No,Private,Kolin Conner,III,Northern Athletics Collegiate Conference
University of Connecticut,UConn,Huskies,352 Mansfield Rd,Storrs,CT,6269,9/1/1910,No,Public,Jim Penders,I,Big East Conference
Coppin State University,CSU,Eagles,2500 West North Avenue,Baltimore,MD,21216-3698,9/1/1980,Yes,Public,Sherman Reed,I,Mid-Eastern Athletic Conf.
Cornell University,CU,Big Red,300 Day Hall,Ithaca,NY,14853,9/1/1920,No,Private,Daniel J. Pepicelli,I,The Ivy League
Creighton University,CU,Bluejays,2500 California Plaza,Omaha,NE,68178-0001,9/1/1923,No,Private,Ed Servais,I,Big East Conference
Curry College,CC,Colonels,1071 Blue Hill Ave.,Milton,MA,2186,9/1/1972,No,Private,Paul Bortolotti,III,Commonwealth Coast Conference
Davidson College,DC,Wildcats,405 N. Main St,Davidson,NC,28035,9/1/1937,No,Private,Rucker Taylor,I,Atlantic 10 Conference
Davis & Elkins College,D&E,Senators,100 Campus Drive,Elkins,WV,26241-3996,9/1/1982,No,Private,Brett Ripley,II,Mountain East Conference
University of Dayton,UD,Flyers,300 College Park,Dayton,OH,45469-1230,9/1/1951,No,Private,Jayson King,I,Atlantic 10 Conference
Delaware State University,DSU,Hornets,1200 N. Dupont Highway,Dover,DE,19901,9/1/1958,Yes,Public,J.P. Blandin,I,Northeast Conference
Delaware Valley University,DelVal,Aggies,700 East Butler Avenue,Doylestown,PA,18901-2699,9/1/1962,No,Private,Kyle Fleming,III,Middle Atlantic Conference Freedom
University of Delaware,UD,Blue Hens,631 South College Ave,Newark,DE,19716,9/1/1923,No,Public,Greg Mamula,I,Colonial Athletic Association
Delta State University,DSU,"Statesmen, Lady Statesmen",1003 W Sunflower Rd,Cleveland,MS,38733,9/1/1961,No,Public,Rodney Batts,II,Gulf South Conference
Drew University,DREW,NCAA Applications Administrators,36 Madison Avenue,Madison,NJ,7940,9/1/1969,No,Private,Brian Eberly,III,Landmark Conference
University of Dubuque,DBQ,Spartans,2000 University Avenue,Dubuque,IA,52001,9/1/1976,No,Private,Paul Wyczawski,III,American Rivers Conference
Duke University,DU,Blue Devils,Whitford Drive,Durham,NC,27708,9/1/1925,No,Private,Christopher Pollard,I,Atlantic Coast Conference
Earlham College,EC,Quakers,801 National Road West,Richmond,IN,47374,9/1/1982,No,Private,Steve Sakosits,III,Heartland Collegiate Athletic Conference
East Carolina University,ECU,Pirates,East 5th St,Greenville,NC,27858,7/1/1961,No,Public,Cliff Godwin,I,American Athletic Conference
East Stroudsburg University of Pennsylvania,ESU,Warriors,200 Prospect Street,East Stroudsburg,PA,18301,9/1/1961,No,Public,John Kochmansky,II,Pennsylvania State Athletic Conference
East Tennessee State University,ETSU,Buccaneers/ Bucs,1276 Gilbreath Dr.,Johnson City,TN,37614,9/1/1956,No,Public,Joe Pennucci,I,Southern Conference
Eastern Illinois University,EIU,Panthers,600 Lincoln Avenue,Charleston,IL,61920-3099,9/1/1954,No,Public,Jason Anderson,I,Ohio Valley Conference
Eastern Kentucky University,EKU,Colonels,521 Lancaster Avenue,Richmond,KY,40475-3101,9/1/1931,No,Public,Chris Prothro,I,ASUN Conference
Eastern Mennonite University,EMU,Royals,1200 Park Road,Harrisonburg,VA,22802,9/1/1975,No,Private,Adam Posey,III,Old Dominion Athletic Conf.
Eastern Michigan University,EMU,Eagles,900 Oakwood St,Ypsilanti,MI,48197,9/1/1927,No,Public,Robert Britt,I,Mid-American Conference
Montana State University Billings,MSUB,Yellowjackets,1500 University Dr.,Billings,MT,59101,9/1/1980,No,Public,Derek Waddoups,II,Great Northwest Athletic Conference
Eastern New Mexico University,ENMU,Greyhounds,ENMU Station 2,1500 S Avenue K,Portales,NM,9/1/1985,No,Public,Riley Price,II,Lone Star Conference
Eckerd College,EC,Tritons,4200 54th Avenue South,St. Petersburg,FL,33711,9/1/1967,No,Private,Josh Beauregard,II,Sunshine State Conference
Elizabethtown College,ETOWN,NCAA Applications Administrators,1 Alpha Dr,Elizabethtown,PA,17022,9/1/1954,No,Private,Adam Sheibley,III,Landmark Conference
Elmira College,EC,Soaring Eagles,1 Park Place,Elmira,NY,14901,9/1/1970,No,Private,Anthony Goncalves,III,Empire 8
Emory & Henry College,E&H,Wasps,30461 Garnand Dr,Emory,VA,24327,9/1/1973,No,Private,Trey McCall,II,South Atlantic Conference
University of Evansville,UE,Purple Aces,1800 Lincoln Avenue,Evansville,IN,47722,9/1/1951,No,Private,Wes Carroll,I,Missouri Valley Conference
Fairfield University,FU,Stags,1073 North Benson Road,Fairfield,CT,6824,9/1/1958,No,Private,Bill Currier,I,Metro Atlantic Athletic Conference
"Fairleigh Dickinson University, Florham",FDU,Devils,285 Madison Avenue,Madison,NJ,7940,9/1/1963,No,Private,Jamie Quinn,III,Middle Atlantic Conference Freedom
"Fairleigh Dickinson University, Metropolitan Campus",FDU,Knights,1000 River Road,Teaneck,NJ,7666,9/1/1963,No,Private,Emanuel Roman-Castillo,I,Northeast Conference
Ferrum College,FC,Panthers,590 Ferrum Mountain Road,Ferrum,VA,24088,9/1/1985,No,Private,Ryan Brittle,III,Old Dominion Athletic Conf.
Florida A&M University,FAMU,Rattlers,1500 S Martin Luther KIng Jr Blvd,Tallahassee,FL,32307,9/1/1952,Yes,Public,Jamey Shouppe,I,Southwestern Athletic Conf.
Florida Atlantic University,FAU,Owls,777 Glades Road,Boca Raton,FL,33431-0991,9/1/1982,No,Public,John McCormack,I,Conference USA
Florida Institute of Technology,FT,Panthers,150  W. University Blvd.,Melbourne,FL,32901,9/1/1979,No,Private,Jeff Tam,II,Sunshine State Conference
Florida International University,FIU,Golden Panthers,11200 SW 8th Street (GPA),Miami,FL,33199,9/1/1975,No,Public,Rich Witten,I,Conference USA
Florida Southern College,FSC,"Moccasins, Mocs",111 Lake Hollingsworth Dr.,Lakeland,FL,33801,9/1/1957,No,Private,Lance Niekro,II,Sunshine State Conference
Florida State University,FSU,Seminoles,222 S. Copeland St,Tallahassee,FL,32306,9/1/1949,No,Public,Link Jarrett,I,Atlantic Coast Conference
University of Florida,UF,Gators,226 Tigert Hall,Gainesville,FL,32611,9/1/1922,No,Public,Kevin O'Sullivan,I,Southeastern Conference
Fordham University,FU,Rams,441 East Fordham Road,Rose Hill Gym,Bronx,NY,9/1/1923,No,Private,Kevin Leighton,I,Atlantic 10 Conference
Framingham State University,FSU,Rams,100 State Street,Framingham,MA,1701,9/1/1971,No,Public,Sean Callahan,III,Massachusetts State Collegiate Athletic Conference
Franklin & Marshall College,F&M,Diplomats,637 College Ave,Lancaster,PA,17603,9/1/1906,No,Private,Ryan Horning,III,Centennial Conference
Franklin Pierce University,FPU,Ravens,40 University Dr,Rindge,NH,3461,9/1/1986,No,Private,Mike Chambers,II,Northeast-10 Conference
The State University of New York at Fredonia,FSU,Blue Devils,280 Central Avenue,Fredonia,NY,14063,9/1/1963,No,Public,Jordan Basile,III,State University of New York Athletic Conference
Frostburg State University,FSU,Bobcats,101 Braddock Rd.,Frostburg,MD,21532-1099,9/1/1977,No,Public,Anthony Williams,II,Mountain East Conference
Gallaudet University,GU or GAL,Bison,800 Florida Ave NE,Washington,DC,20002,9/1/1957,No,Private,Curtis Pride,III,United East Conference
George Mason University,GMU,Patriots,4400 University Drive,Fairfax,VA,22030,9/1/1968,No,Public,Shawn Camp,I,Atlantic 10 Conference
George Washington University,GWU,Colonials,"1918 F Street, NW",Washington,DC,20052,9/1/1939,No,Private,Gregg Ritchie,I,Atlantic 10 Conference
Georgetown University,GU,Hoyas,3700 O St NW,Washington,DC,20057,9/1/1926,No,Private,Edwin Thompson,I,Big East Conference
Georgia Southern University,GSU,Eagles,1332 Southern Drive,Statesboro,GA,30460,9/1/1968,No,Public,Rodney Hennon,I,Sun Belt Conference
Georgia State University,GSU,Panthers,33 Gilmer St,Atlanta,GA,30303,9/1/1964,No,Public,Brad Stromdahl,I,Sun Belt Conference
Georgia Institute of Technology,GT,Yellow Jackets,225 North Ave,Atlanta,GA,30332,9/1/1947,No,Public,Danny Hall,I,Atlantic Coast Conference
University of Georgia,UGA,Bulldogs,220 S Jackson St,Athens,GA,30602,9/1/1913,No,Public,Wes Johnson,I,Southeastern Conference
Gettysburg College,GC,Bullets,300 North Washington Street,Box 400,Gettysburg,PA,9/1/1929,No,Private,Cory Beddick,III,Centennial Conference
Rowan University,RU,Profs,201 Mullica Hill Road,Glassboro,NJ,08028-1701,9/1/1963,No,Public,Mike Dickson,III,New Jersey Athletic Conference
Gonzaga University,GU,Bulldogs/ Zags,E 502 Boone Ave,Spokane,WA,99258,9/1/1938,No,Private,Mark Machtolf,I,West Coast Conference
Grambling State University,GSU,Tigers,403 Main Street,P. O. Box 4252,Grambling,LA,9/1/1951,Yes,Public,Davin Pierre,I,Southwestern Athletic Conf.
Grand Valley State University,GVSU,Lakers,4099 Calder Dr,Allendale,MI,49401,9/1/1975,No,Public,Jordan Keur,II,Great Lakes Intercollegiate Athletic Conference
Greensboro College,GC,Pride,815 West Market Street,Greensboro,NC,27401-1875,9/1/1974,No,Private,Christopher Fenisey,III,USA South Athletic Conference
Grove City College,GRO,Wolverines,100 Campus Drive,Grove City,PA,16127,9/1/1958,No,Private,Matt Royer,III,Presidents' Athletic Conference
Hamilton College,HAM,Continentals,198 College Hill Road,Clinton,NY,13323,9/1/1916,No,Private,Tim Byrnes,III,New England Small College Athletic Conference
Hamline University,HU,Pipers,1536 Hewitt Avenue,St. Paul,MN,55104,9/1/1951,No,Private,Jim Weyandt,III,Minnesota Intercollegiate Athletic Conference
Hampden-Sydney College,HSC,Tigers,College Road,Hampden-Sydney,VA,23943,9/1/1957,No,Private,Jeff Kinne,III,Old Dominion Athletic Conf.
University of Hartford,UH,Hawks,200 Bloomfield Avenue,Sports Center,West Hartford,CT,9/1/1962,No,Private,Steve Malinowski,I,Independent
Haverford College,HAV,Fords,370 Lancaster Avenue,Haverford,PA,19041-1392,9/1/1906,No,Private,Dave Beccaria,III,Centennial Conference
"University of Hawaii, Manoa",UH,Rainbow Warriors/ Rainbow Wahine,2500 Campus Road,Honolulu,HI,96822,9/1/1946,No,Public,Rich Hill,I,Big West Conference
Heidelberg University,BERG,Student Princes,310 East Market Street,Tiffin,OH,44883-2462,9/1/1954,No,Private,Chad Fitzgerald,III,Ohio Athletic Conference
Hillsdale College,HC,Chargers ,33 East College,Hillsdale,MI,49242-1298,9/1/1984,No,Private,Tom Vessella,II,Great Midwest Athletic Conference
Hiram College,HC,Terriers,11715 Garfield Rd,Hiram,OH,44234,9/1/1955,No,Private,Phil Brua,III,North Coast Athletic Conference
Hobart and William Smith Colleges,HOB/WSC,Statesmen / Herons,337 Pulteney Street,Geneva,NY,14456,9/1/1952,No,Private,Brad Cook,III,Liberty League
Hofstra University,HU,Pride,100 Hofstra University,Hempstead,NY,11549,9/1/1947,No,Private,Frank Catalanotto,I,Colonial Athletic Association
College of the Holy Cross,HC,Crusaders,1 College St,Worcester,MA,1610,9/1/1938,No,Private,Edward Kahovec,I,Patriot League
Hope College,HOPE,Flying Dutchmen/Flying Dutch,100 E 8th St,Suite 260,Holland,MI,9/1/1957,No,Private,Stu Fritz,III,Michigan Intercol. Ath. Assn.
Houston Christian University,HCU,Huskies,7502 Fondren Road,Houston,TX,77074,9/1/2011,No,Private,Lance Berkman,I,Southland Conference
University of Houston,UH,Cougars,212 E. Cullen Building,Houston,TX,77204,9/1/1949,No,Public,Todd Whitting,I,American Athletic Conference
Benedictine University,Illinois,Eagles,5700 College Road,Lisle,IL,60532-0900,9/1/1962,No,Private,Adam Smith,III,Northern Athletics Collegiate Conference
Illinois State University,ISU,Redbirds,702 W College Ave,Normal,IL,61761,9/1/1939,No,Public,Steve Holm,I,Missouri Valley Conference
Illinois Wesleyan University,IWU,Titans,1312 N Park St,Bloomington,IL,61702,9/1/1977,No,Private,Dennis Martel,III,College Conference of Illinois & Wisconsin
University of Illinois Urbana-Champaign,U of I,Fighting Illini,601 E. John Street,Champaign,IL,61820,9/1/1914,No,Public,Dan Hartleb,I,Big Ten Conference
University of Illinois Chicago,UIC,Flames,601 S. Morgan,Chicago,IL,60607,9/1/1968,No,Public,Sean McDermott,I,Missouri Valley Conference
Immaculata University,IU,Mighty Macs,1145 W. King Rd,Immaculata Dr,PA,19345,9/1/1982,No,Private,Josh Copskey,III,Atlantic East Conference
Indiana State University,ISU,Sycamores,210 N 7th St,Terre Haute,IN,47809,9/1/1963,No,Public,Mitch Hannahs,I,Missouri Valley Conference
"Indiana University, Bloomington",IU,Hoosiers,107 S Indiana Ave,Bloomington,IN,47405,9/1/1909,No,Public,Jeff Mercer,I,Big Ten Conference
Indiana University of Pennsylvania,IUP,Crimson Hawks,1011 South Drive,Indiana,PA,15705-1077,9/1/1963,No,Public,Steve Kline,II,Pennsylvania State Athletic Conference
Purdue University Fort Wayne,IPFW,Mastodons,2101 East Coliseum Blvd,Fort Wayne,IN,46805-1499,9/1/1976,No,Public,Doug Schreiber,I,Horizon League
Iona University,IC,Gaels,715 North Avenue,New Rochelle,NY,10801,9/1/1952,No,Private,Conor Burke,I,Metro Atlantic Athletic Conference
University of Iowa,UI,Hawkeyes,101 Jessup Hall,Iowa City,IA,52242,9/1/1908,No,Public,Rick Heller,I,Big Ten Conference
Ithaca College,IC,Bombers,953 Danby Road,Ithaca,NY,14850,9/1/1936,No,Private,David Valesente,III,Liberty League
Jackson State University,JSU,Tigers,1400 J.R. Lynch Street,17810,Jackson,MS,9/1/1964,Yes,Public,Omar Johnson,I,Southwestern Athletic Conf.
Jacksonville State University,JSU,Gamecocks,700 Pelham Road North,Jacksonville,AL,36265-1602,9/1/1971,No,Public,Jim Case,I,ASUN Conference
Jacksonville University,JU,Dolphins,2800 University Blvd. N.,Jacksonville,FL,32211-3394,9/1/1964,No,Private,Chris Hayes,I,ASUN Conference
James Madison University,JMU,Dukes,800 S Main St,Harrisonburg,VA,22807,9/1/1969,No,Public,Marlin Ikenberry,I,Sun Belt Conference
New Jersey City University,NJCU,Gothic Knights,2039 Kennedy Blvd.,Jersey City,NJ,07305-1597,9/1/1962,No,Public,Jeremiah Smith,III,New Jersey Athletic Conference
Johns Hopkins University,JHU,Blue Jays,3400 N. Charles St.,Baltimore,MD,21218-2684,9/1/1912,No,Private,Bob Babb,III,Centennial Conference
Juniata College,JUN,Eagles,1700 Moore Street,Huntingdon,PA,16652,9/1/1953,No,Private,Pat Chrisopher,III,Landmark Conference
Kalamazoo College,KC,Hornets,1200 Academy Street,Kalamazoo,MI,49006,9/1/1938,No,Private,Michael Ott,III,Michigan Intercol. Ath. Assn.
Kansas State University,KSU,Wildcats,919 Mid-Campus Dr,Manhattan,KS,66506,9/1/1922,No,Public,Pete Hughes,I,Big 12 Conference
University of Kansas,KU,Jayhawks,1450 Jayhawk Bldg.,Lawrence,KS,66045,9/1/1908,No,Public,Dan Fitzgerald,I,Big 12 Conference
Keene State College,KSC,Owls,229 Main Street,Keene,NH,03435-0000,9/1/1972,No,Public,Justin Blood,III,Little East Conference
Kent State University,KSU,Golden Flashes,800 E Summit St,Kent,OH,44240,9/1/1937,No,Public,Jeffrey Duncan,I,Mid-American Conference
Kentucky State University,KSU,Thorobreds,400 East Main St.,Frankfort,KY,40601,9/1/1951,Yes,Public,Robert Henry,II,Southern Intercol. Ath. Conf.
Kentucky Wesleyan College,KWC,Panthers,3000 Frederica Street,Owensboro,KY,42301,9/1/1958,No,Private,Todd Lillpop,II,Great Midwest Athletic Conference
University of Kentucky,UK,Wildcats,South Limestone,Lexington,KY,40506,9/1/1936,No,Public,Nick Mingione,I,Southeastern Conference
King's College,Pennsylvania,Monarchs,133 N River St,Wilkes-Barre,PA,18711,9/1/1958,No,Private,Jerry Greeley,III,Middle Atlantic Conference Freedom
Kutztown University of Pennsylvania,KU,Golden Bears,15200 Kutztown Road,P O Box 730,Kutztown,PA,9/1/1964,No,Public,Eric Folmar,II,Pennsylvania State Athletic Conference
Lafayette College,LC,Leopards,High Street,Easton,PA,18042,9/1/1908,No,Private,A.J. Miller,I,Patriot League
Lamar University,LU,Cardinals,4400 S M L King Jr Pkwy,Beaumont,TX,77705,9/1/1957,No,Public,William E. Davis,I,Southland Conference
Le Moyne College,LEM,Dolphins,1419 Salt Springs Road,Syracuse,NY,13214-1399,9/1/1955,No,Private,Scott Cassidy,II,Northeast-10 Conference
LeMoyne-Owen College,LOC,Magicians,807 Walker Ave.,Memphis,TN,38126,9/1/1958,Yes,Private,Johnny Rudd,II,Southern Intercol. Ath. Conf.
Lebanon Valley College,LVC,Flying Dutchmen,101 N. College Avenue,Annville,PA,17003-1400,9/1/1951,No,Private,Jonas Fester,III,Middle Atlantic Conference Commonwealth
Lehigh University,LU,Mountain Hawks,641 Taylor Street,Bethlehem,PA,18015,9/1/1906,No,Private,Sean Leary,I,Patriot League
Liberty University,LU,Flames,1971 University Boulevard,Lynchburg,VA,24515,9/1/1981,No,Private,Scott Jackson,I,ASUN Conference
Lincoln University,Pennsylvania,Lions,1570 Baltimore Pike,Lincoln University,PA,19352,9/1/1951,Yes,Public,Anthony Pla,II,East Coast Conference
University of West Alabama,UWA,Tigers,Highway 11 North,Livingston,AL,35470,9/1/1973,No,Public,Vacant,II,Gulf South Conference
Lock Haven University of Pennsylvania,LHU,Bald Eagles,401 N Fairview St,Lock Haven,PA,17745,9/1/1939,No,Public,Heath Stover,II,Pennsylvania State Athletic Conference
Long Island University,LIU,Sharks,720 Northern Blvd,Brookville,NY,11548,9/1/1956,No,Private,Dan Pirillo,I,Northeast Conference
Longwood University,LU,Lancers,201 High Street,Farmville,VA,23909-1899,9/1/1978,No,Public,Chad Oxendine,I,Big South Conference
Loras College,LOR,Duhawks,1450 Alta Vista,Dubuque,IA,52004,9/1/1986,No,Private,Carl Tebon,III,American Rivers Conference
Louisiana State University,LSU,Tigers,156 Thomas Boyd Hall,Baton Rouge,LA,70803,9/1/1936,No,Public,Jay Johnson,I,Southeastern Conference
University of Louisville,UofL,Cardinals,2301 South 3rd Street,Louisville,KY,40292,9/1/1947,No,Public,Dan McDonnell,I,Atlantic Coast Conference
University of Massachusetts Lowell,UML,River Hawks,1 University Avenue,Lowell,MA,1854,9/1/1975,No,Public,Ken Harring,I,America East Conference
Loyola Marymount University,LMU,Lions,1 Loyola Marymount University Dr,Los Angeles,CA,90045,9/1/1947,No,Private,Nathan Choate,I,West Coast Conference
Luther College,LUT,Norse,700 College Drive,Decorah,IA,52101-1045,9/1/1953,No,Private,Bryan Nikkel,III,American Rivers Conference
Lycoming College,Lyco,Warriors,One College Place,Williamsport,PA,17701-5192,9/1/1951,No,Private,Rick Oliveri,III,Middle Atlantic Conference Freedom
University of Lynchburg,LYN,Hornets,1501 Lakeside Drive,Lynchburg,VA,24501-3199,9/1/1974,No,Private,Lucas Jones,III,Old Dominion Athletic Conf.
Macalester College,Mac,Scots,1600 Grand Avenue,St. Paul,MN,55105,9/1/1958,No,Private,Matt Parrington,III,Minnesota Intercollegiate Athletic Conference
"University of Maine, Farmington",UMF,Beavers,224 Main St.,Farmington,ME,4938,9/1/1995,No,Public,Christopher Bessey,III,North Atlantic Conference
University of Maine,UMaine,Black Bears,168 College Avenue,Orono,ME,4469,9/1/1952,No,Public,Nicholas Derba,I,America East Conference
Manhattan College,MC,Jaspers,4513 Manhattan College Pkwy,The Bronx,NY,10471,9/1/1928,No,Private,David Miller,I,Metro Atlantic Athletic Conference
"Minnesota State University, Mankato",MSU,Mavericks,South Rd and Ellis Ave,Mankato,MN,56001,9/1/1954,No,Public,Matt Magers,II,Northern Sun Intercollegiate Conference
Mansfield University of Pennsylvania,MU,"Mountaineers, Mounties",5 Swan Street,Mansfield,PA,16933,9/1/1972,No,Public,Andrew Chalot,II,Pennsylvania State Athletic Conference
Marist College,MC,Red Foxes,3399 North Road,Poughkeepsie,NY,12601-1387,9/1/1968,No,Private,Lance Ratchford,I,Metro Atlantic Athletic Conference
Marshall University,MU,The Herd,1 John Marshall Drive,P.O. Box 1360,Huntington,WV,9/1/1950,No,Public,Greg Beals,I,Sun Belt Conference
"University of Maryland, Baltimore County",UMBC,Retrievers,1000 Hilltop Circle,Baltimore,MD,21250-0000,9/1/1969,No,Public,Liam Bowen,I,America East Conference
"University of Maryland, College Park",UMD,Terrapins/ Terps,7950 Baltimore Ave,College Park,MD,20742,9/1/1919,No,Public,Matt Swope,I,Big Ten Conference
University of Maryland Eastern Shore,UMES,Hawks,1 College Backbone Rd,Princess Anne,MD,21853,9/1/1956,Yes,Public,Shawn Phillips,I,Northeast Conference
Marymount University,Virginia,NCAA Applications Administrators,2807 North Glebe Road,Arlington,VA,22207-4299,9/1/1982,No,Private,Mike Cassidy,III,Atlantic East Conference
Maryville University of Saint Louis,MU,Saints,650 Maryville University Dr.,St. Louis,MO,63141-7299,9/1/1978,No,Private,Patrick Evers,II,Great Lakes Valley Conference
Maryville College,Tennessee,Scots,502 E. Lamar Alexander Parkway,Maryville,TN,37804-5907,9/1/1965,No,Private,Clint Helton,III,Collegiate Conference of the South
"University of Massachusetts, Amherst",UMass,Minutemen,181 Presidents Dr,Amherst,MA,1003,9/1/1912,No,Public,Matt Reynolds,I,Atlantic 10 Conference
McNeese State University,MSU,Cowboys and Cowgirls,4205 Ryan St.,Lake Charles,LA,70609,9/1/1965,No,Public,Justin Hill,I,Southland Conference
University of Memphis,UofM,Tigers,Southern Ave,Memphis,TN,38152,9/1/1952,No,Public,Kerrick Jackson,I,American Athletic Conference
Mercer University,MU,Bears,1501 Mercer University Drive,Macon,GA,31207,9/1/1957,No,Private,Craig Gibson,I,Southern Conference
Merrimack College,MC,Warriors,315 Turnpike Street,North Andover,MA,1845,9/1/1954,No,Private,Brian Murphy,I,Northeast Conference
Messiah University,Mess,Falcons,1 University Avenue,Mechanicsburg,PA,17055,9/1/1981,No,Private,Phillip Shallenberger,III,Middle Atlantic Conference Commonwealth
Methodist University,MU,Monarchs,5400 Ramsey Street,Fayetteville,NC,28311-1420,9/1/1974,No,Private,Tom Austin,III,USA South Athletic Conference
Metropolitan State University of Denver,MSUD,Roadrunners,890 Auraria Pkwy,Denver,CO,80204,9/1/1982,No,Public,Ryan Strain,II,Rocky Mountain Athletic Conference
Miami University,Ohio,RedHawks,501 E. High Street,Oxford,OH,45056,9/1/1920,No,Public,Daniel (Danny) Hayden,I,Mid-American Conference
University of Miami,Florida,Hurricanes,1250 Memorial Drive,Coral Gables,FL,33146,9/1/1936,No,Private,Gino DiMare,I,Atlantic Coast Conference
Michigan State University,MSU,Spartans,426 Auditorium Rd.,East Lansing,MI,48824,9/1/1919,No,Public,Jake Boss,I,Big Ten Conference
University of Michigan,UM,Wolverines,503 Thompson St,Ann Arbor,MI,48109,9/1/1916,No,Public,Tracy Smith,I,Big Ten Conference
Middle Tennessee State University,MTSU,Blue Raiders,1301 East Main Street,Murfreesboro,TN,37132,9/1/1953,No,Public,Jerry Meyers,I,Conference USA
Middlebury College,MID,Panthers,14 Old Chapel Road,Middlebury,VT,5753,9/1/1922,No,Private,Mike Leonard,III,New England Small College Athletic Conference
Millsaps College,MIL,Majors,1701 N. State Street,Jackson,MS,39210,9/1/1965,No,Private,Jim Page,III,Southern Athletic Association
University of Minnesota Duluth,UMD,Bulldogs,515 Darland Administration Bldg,Duluth,MN,55812,9/1/1956,No,Public,Bob Rients,II,Northern Sun Intercollegiate Conference
"University of Minnesota, Twin Cities",UMN,Golden Gophers/ Gophers,100 Church Street SE,Minneapolis,MN,55455,9/1/1906,No,Public,John R. Anderson,I,Big Ten Conference
Mississippi College,MC,"Choctaws, Lady Choctaws",200 South Capitol Street,P.O. Box 4049,Clinton,MS,9/1/1948,No,Private,Jeremy Haworth,II,Gulf South Conference
