date,time,conference,game,loc_1,road_team,road_score,home_team,home_score
"Wednesday, May 24",12:30 pm,Mid-American Conference,1,"Portage County, OH",Western Michigan,4,Kent State,6
"Wednesday, May 24",6:00 pm,Mid-American Conference,2,"Portage County, OH",Ball State,3,Central Michigan,0
"Tuesday, May 23",2:30 pm,Missouri Valley Conference,1,"Terre Haute, IN",Belmont,5,Illinois-Chicago,10
"Tuesday, May 23",6:00 pm,Missouri Valley Conference,2,"Terre Haute, IN",Valparaiso,6,Murray State,11
"Wednesday, May 24",9:00 pm,Missouri Valley Conference,3,"Terre Haute, IN",Evansville,7,Southern Illinois,3
"Wednesday, May 24",12:30 pm,Missouri Valley Conference,4,"Terre Haute, IN",Valparaiso,9,Belmont,10
"Wednesday, May 24",4:00 pm,Missouri Valley Conference,5,"Terre Haute, IN",Illinois-Chicago,5,Indiana State,8
"Wednesday, May 24",7:30 pm,Missouri Valley Conference,6,"Terre Haute, IN",Murray State,,Missouri State,
"Thursday, May 25",9:00 pm,Missouri Valley Conference,7,"Terre Haute, IN",TBA,,Southern Illinois,
"Thursday, May 25",7:30 pm,Missouri Valley Conference,10,"Terre Haute, IN",TBA,,Evansville,
"Thursday, May 25",4:30 pm,Mountain West Conference,1,"Fresno, CA",Air Force,,San Diego State,
"Thursday, May 25",9:00 pm,Mountain West Conference,2,"Fresno, CA",Fresno State,,San Jose State,
"Wednesday, May 24",11:00 am,Northeast Conference,1,"Wappingers Falls, NY",UMES,0,Fairleigh Dickinson,2
"Wednesday, May 24",3:00 pm,Northeast Conference,2,"Wappingers Falls, NY",Long Island,2,Sacred Heart,23
"Wednesday, May 24",7:00 pm,Northeast Conference,3,"Wappingers Falls, NY",UMES,,TBA,
"Thursday, May 25",11:00 am,Northeast Conference,4,"Wappingers Falls, NY",TBA,,Central Connecticut,
"Thursday, May 25",3:00 pm,Northeast Conference,5,"Wappingers Falls, NY",TBA,,Wagner,
"Wednesday, May 24",10:00 am,Ohio Valley Conference,1,"Marion, IL",Southern Indiana,4,Eastern Illinois,5
"Wednesday, May 24",1:30 pm,Ohio Valley Conference,2,"Marion, IL",SIU Edwardsville,0,Tennessee Tech,4
"Wednesday, May 24",5:00 pm,Ohio Valley Conference,3,"Marion, IL",Eastern Illinois,7,Southeast Missouri State,6
"Wednesday, May 24",8:30 pm,Ohio Valley Conference,4,"Marion, IL",Tennessee Tech,,Tennessee-Martin,
"Thursday, May 25",12:00 pm,Ohio Valley Conference,5,"Marion, IL",TBA,,Morehead State,
"Thursday, May 25",4:00 pm,Ohio Valley Conference,6,"Marion, IL",TBA,,Little Rock,
"Tuesday, May 23",1:00 pm,Pacific-12 Conference,1,"Scottsdale, AZ",Arizona,12,Arizona State,3
"Tuesday, May 23",5:30 pm,Pacific-12 Conference,2,"Scottsdale, AZ",UCLA,4,Southern California,6
"Tuesday, May 23",10:00 am,Pacific-12 Conference,3,"Scottsdale, AZ",California,2,Oregon,3
"Wednesday, May 24",1:00 pm,Pacific-12 Conference,4,"Scottsdale, AZ",Oregon State,12,Arizona,13
"Wednesday, May 24",5:30 pm,Pacific-12 Conference,5,"Scottsdale, AZ",Washington,4,UCLA,17
"Wednesday, May 24",10:00 am,Pacific-12 Conference,6,"Scottsdale, AZ",Stanford,,California,
"Thursday, May 25",1:00 pm,Pacific-12 Conference,7,"Scottsdale, AZ",Arizona State,,Oregon State,
"Thursday, May 25",5:30 pm,Pacific-12 Conference,8,"Scottsdale, AZ",Southern California,,Washington,
"Thursday, May 25",10:00 am,Pacific-12 Conference,9,"Scottsdale, AZ",Oregon,,Stanford,
"Saturday, May 13",4:00 pm,Patriot League,,,Navy,0,Bucknell,2
"Saturday, May 13",6:00 pm,Patriot League,,,Lafayette,7,Army,5
"Saturday, May 13",6:00 pm,Patriot League,,,Navy,6,Bucknell,7
"Sunday, May 14",12:00 pm,Patriot League,,,Lafayette,6,Army,15
"Sunday, May 14",4:00 pm,Patriot League,,If Necessary,Lafayette,1,Army,5
"Sunday, May 21",1:00 pm,Patriot League,1,"West Point, NY",Bucknell,5,Army,20
"Monday, May 22",1:00 pm,Patriot League,2,"West Point, NY",Bucknell,6,Army,21
"Tuesday, May 23",10:30 am,Southeastern Conference,1,"Hoover, AL",Georgia,0,South Carolina,9
"Tuesday, May 23",2:00 pm,Southeastern Conference,2,"Hoover, AL",Texas A&M,3,Tennessee,0
"Tuesday, May 23",6:45 pm,Southeastern Conference,3,"Hoover, AL",Alabama,4,Kentucky,0
"Tuesday, May 23",9:00 pm,Southeastern Conference,4,"Hoover, AL",Missouri,4,Auburn,10
"Wednesday, May 24",10:30 am,Southeastern Conference,5,"Hoover, AL",South Carolina,3,LSU,10
"Wednesday, May 24",2:00 pm,Southeastern Conference,6,"Hoover, AL",Texas A&M,5,Arkansas,6
"Wednesday, May 24",6:45 pm,Southeastern Conference,7,"Hoover, AL",Alabama,0,Florida,0
"Wednesday, May 24",9:00 pm,Southeastern Conference,8,"Hoover, AL",Auburn,,Vanderbilt,
"Wednesday, May 24",3:00 pm,Southern Conference,1,"Greenville, SC",The Citadel,5,VMI,2
"Wednesday, May 24",7:00 pm,Southern Conference,2,"Greenville, SC",Western Carolina,,UNC Greensboro,
"Thursday, May 25",3:00 pm,Southern Conference,3,"Greenville, SC",TBA,,East Tennessee State,
"Thursday, May 25",7:00 pm,Southern Conference,4,"Greenville, SC",TBA,,Wofford,
"Friday, May 26",9:00 pm,Southern Conference,5,"Greenville, SC",TBA,,Samford,
"Friday, May 26",12:30 pm,Southern Conference,6,"Greenville, SC",TBA,,Mercer,
"Tuesday, May 23",7:00 pm,Southland Conference,1,"Lake Charles, LA",Texas A&M-Corpus Christi,0,McNeese,4
"Wednesday, May 24",12:00 pm,Southland Conference,3,"Lake Charles, LA",Northwestern State,2,Incarnate Word,1
"Wednesday, May 24",3:30 pm,Southland Conference,4,"Lake Charles, LA",New Orleans,4,Lamar,1
"Wednesday, May 24",7:00 pm,Southland Conference,2,"Lake Charles, LA",McNeese,,Nicholls,
"Wednesday, May 24",9:00 pm,Southwest Athletic Conference,1,"Atlanta, GA",Florida A&M,9,Texas Southern,1
"Wednesday, May 24",12:00 pm,Southwest Athletic Conference,2,"Atlanta, GA",Southern,4,Bethune-Cookman,2
"Wednesday, May 24",3:00 pm,Southwest Athletic Conference,3,"Atlanta, GA",Prairie View,1,Alabama State,11
"Wednesday, May 24",6:00 pm,Southwest Athletic Conference,4,"Atlanta, GA",Jackson State,0,Grambling,0
"Wednesday, May 24",1:05 pm,Summit,1,"Fargo, ND",Omaha,2,Oral Roberts,9
"Wednesday, May 24",7:05 pm,Summit,2,"Fargo, ND",South Dakota State,,North Dakota State,
"Tuesday, May 23",4:00 pm,Sun Belt Conference,1,"Montgomery, AL",Old Dominion,1,James Madison,2
"Tuesday, May 23",7:30 pm,Sun Belt Conference,2,"Montgomery, AL",Georgia Southern,5,Georgia State,8
"Wednesday, May 24",10:00 am,Sun Belt Conference,3,"Montgomery, AL",Appalachian State,9,Troy,10
"Wednesday, May 24",2:30 pm,Sun Belt Conference,4,"Montgomery, AL",James Madison,1,Southern Miss,7
"Wednesday, May 24",5:00 pm,Sun Belt Conference,5,"Montgomery, AL",Georgia State,4,Coastal Carolina,5
"Wednesday, May 24",8:30 pm,Sun Belt Conference,6,"Montgomery, AL",Texas State,,Louisiana,
"Wednesday, May 24",6:00 pm,West Coast Conference,1,"Las Vegas, NV",Gonzaga,2,Santa Clara,4
"Wednesday, May 24",10:20 am,West Coast Conference,2,"Las Vegas, NV",Saint Mary's,,San Diego,
"Thursday, May 25",6:00 pm,West Coast Conference,3,"Las Vegas, NV",TBA,,Loyola Marymount,
"Thursday, May 25",10:20 am,West Coast Conference,4,"Las Vegas, NV",TBA,,Portland,
"Tuesday, May 23",4:00 pm,Western Athletic Conference,1,"Mesa, AZ",California Baptist,4,Abilene Christian,5
"Tuesday, May 23",7:00 pm,Western Athletic Conference,2,"Mesa, AZ",UT Rio Grande Valley,14,UT Arlington,4
"Wednesday, May 24",12:00 pm,Western Athletic Conference,3,"Mesa, AZ",Seattle,6,Utah Valley,16
"Wednesday, May 24",3:00 pm,Western Athletic Conference,4,"Mesa, AZ",UT Arlington,8,California Baptist,4
"Wednesday, May 24",7:00 pm,Western Athletic Conference,5,"Mesa, AZ",Abilene Christian,,Sam Houston,
"Wednesday, May 24",10:00 am,Western Athletic Conference,6,"Mesa, AZ",UT Rio Grande Valley,,Grand Canyon,
