School Name,NCES School ID,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified
Airport Senior High School,260198003939,Monroe County,11330 GRAFTON RD,CARLETON,MI,48117,9392,(734)654-6208,41,Rural: Fringe,No,No,No,†,739,41.79,17.68,283,19,–
AkronFairgrove JrSr High School,260201003946,Tuscola County,PO Box 217,Fairgrove,MI,48733,217,(989)693-6112,42,Rural: Distant,No,No,Yes,Yes,169,8.36,20.22,97,17,–
Alanson Public School,262181005875,Emmet County,7400 NORTH ST,ALANSON,MI,49706,9247,(231)548-2261,42,Rural: Distant,No,Yes,Yes,Yes,232,18.17,12.77,159,16,–
Alba School,260204003949,Antrim County,5935 ELM ST,ELMIRA,MI,49730,8303,(231)584-2000,43,Rural: Remote,No,No,Yes,Yes,97,6.26,15.5,71,13,–
Alcona Community High School,260216003955,Alcona County,51 N BARLOW RD,HARRISVILLE,MI,48740,9606,(989)736-8534,42,Rural: Distant,No,Yes,Yes,Yes,402,41.9,9.59,225,20,–
Alger Maximum Correctional Facility,260000107831,Alger County,PO Box 600,Munising,MI,49862,600,(906)387-5000,33,Town: Remote,No,No,No,†,0,0,†,–,–,–
Algonac Alternative Education,260219008684,St. Clair County,9541 PHELPS RD,CLAY,MI,48001,4753,(810)794-4911,21,Suburb: Large,No,No,Yes,Yes,25,1,25,18,0,–
Algonac JuniorSenior High School,260219003960,St. Clair County,5200 TAFT RD,CLAY,MI,48001,4701,(810)794-4911,21,Suburb: Large,No,Yes,No,†,678,31.1,21.8,265,28,–
Allegan Alternative High School,260222000110,Allegan County,550 5TH ST,ALLEGAN,MI,49010,1670,(269)673-5433,32,Town: Distant,No,No,Yes,Yes,111,6,18.5,69,4,–
Allegan County Area Technical and Education Center,268010000445,Allegan County,2891 116TH AVE,ALLEGAN,MI,49010,9004,(269)512-7800,41,Rural: Fringe,No,No,No,†,0,20,†,–,–,–
Allegan High School,260222003966,Allegan County,550 5TH ST,ALLEGAN,MI,49010,1698,(269)673-7002,32,Town: Distant,No,No,No,†,691,31,22.29,282,35,–
Allen Park Community School,260252001018,Wayne County,14700 MOORE AVE,ALLEN PARK,MI,48101,1692,(313)827-2660,21,Suburb: Large,No,No,Yes,Yes,109,8.33,13.09,59,5,–
Allen Park High School,260252003971,Wayne County,18401 CHAMPAIGN RD,ALLEN PARK,MI,48101,2210,(313)827-1200,21,Suburb: Large,No,No,No,†,1130,53.85,20.98,313,44,–
Allendale High School,260255003976,Ottawa County,10760 68TH AVE,ALLENDALE,MI,49401,8904,(616)892-5585,21,Suburb: Large,No,No,No,†,778,33.29,23.37,180,29,–
Alma Senior High School,260264003980,Gratiot County,1500 PINE AVE,ALMA,MI,48801,1275,(989)463-3111,32,Town: Distant,No,No,No,†,605,35.51,17.04,278,32,–
Almont High School,260267003982,Lapeer County,4701 HOWLAND RD,ALMONT,MI,48003,8035,(810)798-8595,41,Rural: Fringe,No,No,No,†,432,20.42,21.16,88,19,–
Alpena High School,260273003984,Alpena County,3303 SOUTH THIRD AVE,ALPENA,MI,49707,3307,(989)358-5200,33,Town: Remote,No,No,No,†,1154,49.2,23.46,492,56,–
Alternative Educational Academy of Iosco County,260103408339,Iosco County,40 W M 55,TAWAS CITY,MI,48763,9286,(989)362-2575,41,Rural: Fringe,Yes,No,Yes,No,153,6.25,24.48,129,6,–
Alternative Educational Academy of Ogemaw County,260109208670,Ogemaw County,2389 S M 76,West Branch,MI,48661,,(989)362-3006,43,Rural: Remote,Yes,No,Yes,No,129,3.98,32.41,111,6,–
American International Academy High SchoolMiddle Schooll,260098608795,Wayne County,28955 ROSEWOOD ST,INKSTER,MI,48141,1656,(734)713-5525,21,Suburb: Large,Yes,No,Yes,Yes,221,7,31.57,206,3,–
Anchor Bay High School,260279003997,St. Clair County,6319 COUNTY LINE RD,IRA,MI,48023,1003,(586)648-2525,41,Rural: Fringe,No,No,No,†,1879,74.14,25.34,354,51,–
Ann Arbor Learning Community,260022201181,Washtenaw County,4377 TEXTILE RD,YPSILANTI,MI,48197,9018,(734)477-0340,21,Suburb: Large,Yes,No,Yes,Yes,39,1.75,22.29,21,0,–
Annapolis High School,261161004618,Wayne County,4650 CLIPPERT ST,DEARBORN HEIGHTS,MI,48125,2737,(313)203-3300,21,Suburb: Large,No,No,No,†,725,32.43,22.36,489,37,–
Apollo Center,261899007843,Oakland County,2029 NORTH MILFORD RD,HIGHLAND,MI,48357,3815,(248)684-8134,21,Suburb: Large,No,No,No,†,8,14.9,0.54,†,†,†
Arbor Preparatory High School,260098908273,Washtenaw County,6800 Hitchingham Road,Ypsilanti,MI,48197,,(734)961-9700,41,Rural: Fringe,Yes,No,Yes,Yes,300,17.93,16.73,170,11,–
Armada Continuing Education Center,260324008269,Macomb County,23211 PROSPECT AVE,ARMADA,MI,48005,4621,(586)784-2400,42,Rural: Distant,No,No,Yes,Yes,16,1.73,9.25,7,1,–
Armada High School,260324004042,Macomb County,23655 ARMADA CENTER RD,ARMADA,MI,48005,2701,(586)784-2400,42,Rural: Distant,No,No,No,†,576,31.9,18.06,98,12,–
Arthur Hill High School,263039006656,Saginaw County,3115 MACKINAW ST,SAGINAW,MI,48602,3221,(989)399-5800,13,City: Small,No,No,Yes,Yes,778,34,22.88,624,31,–
Arts Academy in the Woods,260027301308,Macomb County,32101 Caroline,Fraser,MI,48026,,(586)294-0391,21,Suburb: Large,Yes,No,Yes,Yes,303,15.71,19.29,157,14,–
Arts and Technology Academy of Pontiac,260026701403,Oakland County,888 ENTERPRISE DR,PONTIAC,MI,48341,3167,(248)452-9309,13,City: Small,Yes,No,Yes,Yes,775,28.7,27,624,10,–
Ascent High School,260001708240,Huron County,200 NORTH BARRIE RD,BAD AXE,MI,48413,9147,(989)269-9938,33,Town: Remote,No,No,Yes,Yes,44,1.19,36.97,33,2,–
Asher School,263234001932,Wayne County,14101 LEROY ST,SOUTHGATE,MI,48195,2052,(734)246-4633,21,Suburb: Large,No,No,Yes,Yes,232,8.33,27.85,160,4,–
Ashley High School,260348004046,Gratiot County,PO Box 6,Ashley,MI,48806,6,(989)847-2514,42,Rural: Distant,No,No,Yes,Yes,81,5.17,15.67,49,2,–
Athens High School,263426006976,Oakland County,4333 John R Road,Troy,MI,48085,3681,(248)823-2900,13,City: Small,No,No,Yes,No,1575,89.8,17.54,258,19,–
Athens JuniorSenor High School,260351004048,Calhoun County,300 EAST HOLCOMB ST,ATHENS,MI,49011,9784,(269)729-5414,42,Rural: Distant,No,No,Yes,Yes,267,17.38,15.36,87,3,–
Atherton Jr Sr High School,260354004051,Genesee County,3354 SOUTH GENESEE RD,BURTON,MI,48519,1426,(810)591-9184,21,Suburb: Large,No,No,Yes,Yes,385,22.6,17.04,342,24,–
Atherton Vern Van Y Educational Center,260354004053,Genesee County,2400 CLARICE AVE,BURTON,MI,48519,1011,(810)591-0850,21,Suburb: Large,No,No,Yes,Yes,55,2.02,27.23,50,1,–
Atlanta Community Schools,260357004057,Montmorency County,10500 COUNTY ROAD 489,ATLANTA,MI,49709,8000,(989)785-4842,43,Rural: Remote,No,No,Yes,Yes,262,14.1,18.58,148,23,–
Au GresSims High School,260360004059,Arenac County,PO Box 648,Au Gres,MI,48703,,(989)876-7157,43,Rural: Remote,No,No,Yes,Yes,126,6.14,20.52,68,5,–
Avondale High School,260369004067,Oakland County,2800 WAUKEGAN ST,AUBURN HILLS,MI,48326,3261,(248)537-6100,21,Suburb: Large,No,No,No,†,1037,61.29,16.92,485,44,–
Bad Axe High School,260001703918,Huron County,200 NORTH BARRIE RD,BAD AXE,MI,48413,9147,(989)269-9593,33,Town: Remote,No,No,Yes,Yes,407,29.61,13.75,156,50,–
Baldwin Senior High School,260381004068,Lake County,525 4TH ST,BALDWIN,MI,49304,9518,(231)745-4683,43,Rural: Remote,No,No,Yes,Yes,114,7.5,15.2,102,8,–
Bangor Career Academy,260387007447,Van Buren County,801 W ARLINGTON ST,BANGOR,MI,49013,1108,(269)427-6800,42,Rural: Distant,No,No,Yes,Yes,127,5.28,24.05,100,2,–
Bangor High School,260387004072,Van Buren County,801 WEST ARLINGTON ST,BANGOR,MI,49013,1108,(269)427-6844,42,Rural: Distant,No,No,No,†,278,16.26,17.1,171,14,–
Bangor Township Virtual School,260390008729,Bay County,4091 N EUCLID AVE,Bay City,MI,48706,2406,(989)684-8121,23,Suburb: Small,No,No,Yes,Yes,162,69.7,2.32,85,5,–
Baraga Maximum Correctional Facility,260000107857,Baraga County,13924 WADAGA RD,BARAGA,MI,49908,9204,(906)353-7070,43,Rural: Remote,No,No,No,†,0,0,†,–,–,–
Baraga School,260399004084,Baraga County,210 LYONS ST,BARAGA,MI,49908,9430,(906)353-6661,43,Rural: Remote,No,No,Yes,Yes,334,22.84,14.62,197,18,–
Bark RiverHarris JrSr High School,260402004088,Menominee County,PO Box 350,Harris,MI,49845,350,(906)466-5321,43,Rural: Remote,No,No,Yes,Yes,342,18.01,18.99,148,23,–
Barry ISD Special Education,268014001323,Barry County,555 WEST WOODLAWN AVE,HASTINGS,MI,49058,1038,(269)945-9545,32,Town: Distant,No,No,No,†,43,12,3.58,40,0,–
Bates,261203008866,Washtenaw County,2704 BAKER RD,DEXTER,MI,48130,1535,(734)424-4100,21,Suburb: Large,No,Yes,No,†,0,2,†,–,–,–
Bath High School,260417004090,Clinton County,6175 E Clark Road,Bath,MI,48808,310,(517)641-6724,21,Suburb: Large,No,No,Yes,Yes,320,14.99,21.35,120,5,–
Battle Creek Area Learning Center,260027501616,Calhoun County,765 UPTON AVE,SPRINGFIELD,MI,49037,4850,(269)565-2460,23,Suburb: Small,Yes,No,Yes,Yes,158,7,22.57,128,6,–
Battle Creek Central High School,260000503830,Calhoun County,100 VAN BUREN ST W,BATTLE CREEK,MI,49017,3050,(269)213-3500,13,City: Small,No,No,Yes,Yes,1126,55,20.47,710,30,–
Battle Creek MathSci Center,260000500477,Calhoun County,171 Michigan Ave W,Battle Creek,MI,49017,,(269)965-9440,13,City: Small,No,Yes,No,†,0,13,†,–,–,–
Bay City Academy Farragut Campus,260100008333,Bay County,301 N FARRAGUT ST,BAY CITY,MI,48708,6599,(989)414-8254,13,City: Small,Yes,No,Yes,Yes,338,18.1,18.67,255,21,–
Bay City Adult EducationCTP,260426002049,Bay County,4155 MONITOR RD,BAY CITY,MI,48706,9211,(989)686-4770,23,Suburb: Small,No,No,Yes,Yes,48,0,†,33,2,–
Bay City Central High School,260426004094,Bay County,1624 COLUMBUS AVE,BAY CITY,MI,48708,6827,(989)893-9541,13,City: Small,No,No,Yes,Yes,1162,64.8,17.93,652,52,–
Bay City Eastern High School,260426000800,Bay County,201 WOODSIDE LN,BAY CITY,MI,48708,5546,(989)895-5550,13,City: Small,No,Yes,Yes,Yes,155,7.5,20.67,116,5,–
Bay City Western High School,260426004113,Bay County,500 WEST MIDLAND RD,AUBURN,MI,48611,9300,(989)662-4481,23,Suburb: Small,No,No,No,†,1172,51.4,22.8,269,26,–
Bay Pines Center,260000407876,Delta County,2425 NORTH 30TH ST,ESCANABA,MI,49829,9203,(517)335-3541,41,Rural: Fringe,No,No,No,†,15,0,†,3,0,–
BayArenac Community High School,260006700463,Bay County,805 LANGSTAFF ST,ESSEXVILLE,MI,48732,1367,(989)893-8811,23,Suburb: Small,Yes,No,Yes,Yes,175,5,35,148,0,–
Beacon Day Treatment Center,263234001188,Wayne County,12601 MCCANN ST,SOUTHGATE,MI,48195,2331,(313)551-2790,21,Suburb: Large,No,No,Yes,Yes,119,23,5.17,92,6,–
Beal City High School,260429007510,Isabella County,3180 WEST BEAL CITY RD,MOUNT PLEASANT,MI,48858,8774,(989)644-3944,42,Rural: Distant,No,No,Yes,No,402,17.01,23.63,92,14,–
Bear Lake High School,260432004118,Manistee County,7748 CODY ST,BEAR LAKE,MI,49614,9789,(231)864-3133,43,Rural: Remote,No,No,Yes,Yes,129,5.46,23.63,75,12,–
Beaver Island Community School,260435004123,Charlevoix County,37895 KINGS HWY,BEAVER ISLAND,MI,49782,5142,(231)448-2744,43,Rural: Remote,No,No,No,†,58,9.64,6.02,21,2,–
Beaverton JuniorSenior High School,260444004125,Gladwin County,PO Box 529,Beaverton,MI,48612,529,(989)246-3010,42,Rural: Distant,No,Yes,Yes,Yes,449,24.54,18.3,247,26,–
Bedford Senior High School,260447004128,Monroe County,8285 Jackman Rd,Temperance,MI,48182,9165,(734)850-6100,41,Rural: Fringe,No,No,No,†,1375,73.71,18.65,300,45,–
Beecher High School,260450004133,Genesee County,1386 WEST COLDWATER RD,FLINT,MI,48505,4817,(810)591-9281,21,Suburb: Large,No,No,Yes,Yes,298,10.6,28.11,276,14,–
Beekman Center,262115000043,Ingham County,2901 WABASH RD,LANSING,MI,48910,4898,(517)755-1170,12,City: Midsize,No,No,Yes,Yes,91,12.39,7.34,52,4,–
Behavioral Education Center,268098507807,Van Buren County,30 SOUTH WALNUT ST,BANGOR,MI,49013,1350,(269)427-7961,42,Rural: Distant,No,No,No,†,41,9,4.56,21,1,–
Belding High School,260453004142,Ionia County,850 HALL ST,BELDING,MI,48809,2214,(616)794-4900,32,Town: Distant,No,No,No,†,578,28.58,20.22,239,31,–
Bellaire MiddleHigh School,260462004147,Antrim County,204 WEST FORREST HOME AVE,BELLAIRE,MI,49615,9565,(231)533-8015,43,Rural: Remote,No,No,Yes,Yes,172,12.86,13.37,63,7,–
Bellamy Creek Correctional Facility,260000107890,Ionia County,1727 WEST BLUEWATER HWY,IONIA,MI,48846,8647,(616)527-2510,32,Town: Distant,No,No,No,†,8,0,†,†,†,†
Belleville High School,263456007030,Wayne County,501 WEST COLUMBIA AVE,BELLEVILLE,MI,48111,2611,(734)697-9133,21,Suburb: Large,No,No,No,†,1790,76.5,23.4,793,70,–
Bellevue JrSr High School,260465004150,Eaton County,576 LOVE HWY,BELLEVUE,MI,49021,9301,(269)763-9413,42,Rural: Distant,No,No,Yes,Yes,283,12.5,22.64,132,6,–
Bendle High School,260474004152,Genesee County,2283 EAST SCOTTWOOD AVE,BURTON,MI,48529,1798,(810)591-5103,21,Suburb: Large,No,Yes,Yes,Yes,339,19.4,17.47,289,14,–
Benjamin Carson High School of Science and Medicine,260110308271,Wayne County,571 Mack Avenue,Detroit,MI,48201,,(313)494-1805,11,City: Large,No,No,Yes,Yes,187,18,10.39,155,0,–
Benjamin Franklin Middle School,260001503882,Wayne County,33555 ANNAPOLIS ST,WAYNE,MI,48184,2478,(734)419-2402,21,Suburb: Large,No,No,Yes,Yes,685,43.1,15.89,456,12,–
Bentley High School BOLD Academy,260480008508,Genesee County,1150 N BELSAY RD,BURTON,MI,48509,1693,(810)591-9516,21,Suburb: Large,No,No,Yes,Yes,35,23.2,1.51,27,2,–
Bentley Senior High School,260480004160,Genesee County,1150 NORTH BELSAY RD,BURTON,MI,48509,1659,(810)591-9516,21,Suburb: Large,No,No,Yes,Yes,250,13.1,19.08,184,26,–
Benton Harbor High School,260483004162,Berrien County,870 COLFAX AVE,BENTON HARBOR,MI,49022,7409,(269)605-1200,23,Suburb: Small,No,Yes,Yes,Yes,475,25,19,451,10,–
Benzie Academy,260495008155,Benzie County,9300 HOMESTEAD RD,BENZONIA,MI,49616,9661,(231)882-4497,43,Rural: Remote,No,No,Yes,Yes,94,1.79,52.51,70,3,–
Benzie Central Sr High School,260495004182,Benzie County,9300 HOMESTEAD RD,BENZONIA,MI,49616,9661,(231)882-4497,43,Rural: Remote,No,No,No,†,330,16.89,19.54,157,9,–
Berkley High School,260501004187,Oakland County,2325 CATALPA DR,BERKLEY,MI,48072,1851,(248)837-8100,21,Suburb: Large,No,No,Yes,No,1259,71.7,17.56,215,9,–
Berrien County Juvenile Center,268016000464,Berrien County,379 WEST GLENLORD RD,SAINT JOSEPH,MI,49085,9123,(269)471-7725,41,Rural: Fringe,No,No,No,†,19,4,4.75,16,0,–
Berrien Springs Discovery Academy,260543001563,Berrien County,242 SYLVESTER AVE,BERRIEN SPRGS,MI,49103,,(269)471-2593,31,Town: Fringe,No,No,Yes,Yes,85,3,28.33,58,2,–
Berrien Springs High School,260543004199,Berrien County,PO Box 130,BERRIEN SPRINGS,MI,49103,1126,(269)471-1748,31,Town: Fringe,No,Yes,No,†,527,29.67,17.76,239,28,–
Berrien Springs Virtual Academy,260543008175,Berrien County,PO Box 130,Berrien Springs,MI,49103,,(269)473-0500,31,Town: Fringe,No,No,No,†,125,6.62,18.88,77,1,–
Bert Goens Learning Center,268098500729,Van Buren County,490 SOUTH PAW PAW ST,LAWRENCE,MI,49064,9328,(269)674-8091,42,Rural: Distant,No,No,No,†,75,28.82,2.6,35,2,–
Bethany Based School,261644000878,Kent County,901 EASTERN AVE NE,GRAND RAPIDS,MI,49503,1201,(616)245-7708,12,City: Midsize,No,No,No,†,21,2.4,8.75,12,0,–
Big Bay De Noc School,260569004202,Delta County,8928 OO 25 RD,COOKS,MI,49817,,(906)252-4500,43,Rural: Remote,No,No,Yes,Yes,175,8.94,19.57,102,3,–
Big Rapids High School,260578004205,Mecosta County,21175 15 MILE RD,BIG RAPIDS,MI,49307,8844,(231)796-7651,41,Rural: Fringe,No,No,Yes,No,650,29.2,22.26,240,27,–
Big Rapids Virtual School,260578000643,Mecosta County,14980 215TH AVE,BIG RAPIDS,MI,49307,9224,(231)796-3489,41,Rural: Fringe,No,No,Yes,Yes,139,2,69.5,89,6,–
Birch Run High School,260582004210,Saginaw County,12450 CHURCH ST,BIRCH RUN,MI,48415,8759,(989)624-9392,41,Rural: Fringe,No,No,No,†,618,27.07,22.83,245,32,–
Birch Run Progressive High School,260582007768,Saginaw County,12450 CHURCH ST,BIRCH RUN,MI,48415,8759,(989)624-9392,41,Rural: Fringe,No,No,Yes,Yes,22,0.75,29.33,13,1,–
Black River Public School MiddleHigh,260011400705,Ottawa County,491 COLUMBIA AVE,HOLLAND,MI,49423,4838,(616)355-0055,13,City: Small,Yes,No,Yes,No,508,40.17,12.65,95,9,–
Blended Learning Academies Credit Recovery High School,260107208593,Clinton County,1754 E CLARK RD,LANSING,MI,48906,1020,(517)574-4667,41,Rural: Fringe,Yes,No,Yes,Yes,123,6,20.5,83,1,–
Blended Learning Academies Credit Recovery High School Liv,260107209013,Wayne County,30218 PLYMOUTH RD,LIVONIA,MI,48150,2117,(248)425-5868,13,City: Small,Yes,No,Yes,No,18,2,9,11,0,–
Blissfield High School,260600004229,Lenawee County,630 SOUTH LANE ST,BLISSFIELD,MI,49228,1278,(517)486-2148,31,Town: Fringe,No,No,No,†,355,22.7,15.64,102,8,–
Bloomfield Hills High School,260609008480,Oakland County,4200 ANDOVER RD,BLOOMFIELD TOWNSHIP,MI,48302,2000,(248)341-5600,21,Suburb: Large,No,No,No,†,1715,108.67,15.78,216,21,–
Bloomingdale Middle and High School,260627004247,Van Buren County,PO Box 217,Bloomingdale,MI,49026,217,(269)521-3910,42,Rural: Distant,No,No,Yes,Yes,589,36.34,16.21,403,44,–
Blossomland Learning Center,268016000466,Berrien County,711 SAINT JOSEPH AVE,BERRIEN SPRINGS,MI,49103,1583,(269)473-2600,31,Town: Fringe,No,No,No,†,135,26,5.19,82,7,–
Blue Water Middle College Academy,260099208258,St. Clair County,323 Erie Street,Port Huron,MI,48061,5805,(810)989-5800,23,Suburb: Small,Yes,No,Yes,No,296,19.22,15.4,119,2,–
Boyne City High School,260650004252,Charlevoix County,1035 BOYNE AVE,BOYNE CITY,MI,49712,9110,(231)439-8100,33,Town: Remote,No,No,No,†,436,25.52,17.08,132,9,–
Boyne Falls Public School,260651004255,Charlevoix County,PO Box 356,Boyne Falls,MI,49713,356,(231)549-2211,41,Rural: Fringe,No,Yes,Yes,Yes,178,17.06,10.43,107,13,–
Boys To Men Group Home,261995008878,Kalamazoo County,6025 LITCHFIELD LN,KALAMAZOO,MI,49009,9128,(269)254-8444,22,Suburb: Midsize,No,No,No,†,0,0,†,–,–,–
Bozymowski Center,268072000621,Macomb County,11870 ELDORADO DR,STERLING HEIGHTS,MI,48312,3943,(586)939-5391,21,Suburb: Large,No,No,No,†,243,64,3.8,117,9,–
Bradford Academy,260028401644,Oakland County,24218 GARNER ST,SOUTHFIELD,MI,48033,2900,(248)351-0000,13,City: Small,Yes,Yes,Yes,Yes,1067,50.2,21.25,931,22,–
Branch Area Careers Center,268018000473,Branch County,366 MORSE ST,COLDWATER,MI,49036,1480,(517)279-5722,32,Town: Distant,No,No,No,†,0,21,†,–,–,–
Brandon High School,260657004257,Oakland County,1025 SOUTH ORTONVILLE RD,ORTONVILLE,MI,48462,8739,(248)627-1820,41,Rural: Fringe,No,No,No,†,774,36,21.5,240,25,–
Brandywine Innovation Academy,260660000469,Berrien County,1830 S 3RD ST,NILES,MI,49120,4002,(269)683-8805,21,Suburb: Large,No,No,Yes,Yes,84,2,42,50,3,–
Brandywine Senior High School,260660004262,Berrien County,1700 BELL RD,NILES,MI,49120,4670,(269)683-4800,41,Rural: Fringe,No,No,No,†,382,19.5,19.59,152,16,–
Breckenridge High School,260663004263,Gratiot County,PO Box 217,Breckenridge,MI,48615,217,(989)842-3182,42,Rural: Distant,No,No,Yes,Yes,331,19.46,17.01,154,22,–
Breithaupt Career and Technical Center,260110300086,Wayne County,9300 HUBBELL ST,DETROIT,MI,48228,2325,(313)866-9550,11,City: Large,No,No,No,†,0,13,†,–,–,–
Brethren High School,262001005681,Manistee County,4400 NORTH HIGH BRIDGE RD,BRETHREN,MI,49619,,(231)477-5353,43,Rural: Remote,No,No,Yes,Yes,182,11.16,16.31,124,7,–
Bridge Academy,260030608968,Wayne County,3120 CARPENTER ST,HAMTRAMCK,MI,48212,3323,(313)462-6100,21,Suburb: Large,Yes,No,Yes,Yes,413,5.75,71.83,410,0,–
Bridge Academy of Southwest Michigan,260113609001,Berrien County,499 WEST MAIN ST,BENTON HARBOR,MI,49022,3622,(616)218-2204,23,Suburb: Small,Yes,No,Yes,Yes,72,3.5,20.57,58,0,–
Bridge Alternative High School,260687007925,Livingston County,125 SOUTH CHURCH ST,BRIGHTON,MI,48116,1652,(810)299-4046,22,Suburb: Midsize,No,No,Yes,Yes,76,5.8,13.1,37,7,–
Bridgeport High School,260678004274,Saginaw County,4691 BEARCAT BLVD,Bridgeport,MI,48722,9581,(989)777-3100,22,Suburb: Midsize,No,Yes,Yes,Yes,564,27.15,20.77,477,7,–
Bridgman High School,260684004281,Berrien County,9964 GAST RD,BRIDGMAN,MI,49106,9750,(269)466-0223,23,Suburb: Small,No,No,Yes,No,275,19.6,14.03,75,10,–
Brighton High School,260687004283,Livingston County,7878 BRIGHTON RD,BRIGHTON,MI,48116,7762,(810)299-4100,22,Suburb: Midsize,No,No,No,†,1963,102.8,19.1,193,16,–
Brimley Area School,260690004291,Chippewa County,7134 SOUTH M 221,BRIMLEY,MI,49715,9299,(906)248-3218,42,Rural: Distant,No,No,Yes,Yes,484,34.79,13.91,205,241,–
Britton Deerfield SchoolsBritton Building,260693008119,Lenawee County,201 College Avenue,Britton,MI,49229,,(517)451-4581,42,Rural: Distant,No,No,Yes,Yes,276,14,19.71,113,19,–
