ProperName,PopularName,ProperName_Score,PopularName_Score,MHSAA_SchoolId,SchoolInfo_Index,School_Name,City
midland high school,Midland,100,46,4370,831,midland high school,MIDLAND
okemos high school,Okemos,100,42,4371,931,okemos high school,OKEMOS
fowler high school,Fowler,100,42,4372,426,fowler high school,FOWLER
romeo high school,Romeo,100,36,4373,1051,romeo high school,WASHINGTON
harper woods high school,Harper Woods,100,56,4377,518,harper woods high school,HARPER WOODS
milford high school,Milford,100,46,4378,834,milford high school,HIGHLAND
garber high school,Essexville Garber,100,49,4380,447,garber high school,ESSEXVILLE
holland high school,Holland,100,46,4381,556,holland high school,HOLLAND
north branch high school,North Branch,100,60,4385,890,north branch high school,North Branch
owosso high school,Owosso,100,53,4387,955,owosso high school,OWOSSO
stevenson high school,Livonia Stevenson,100,53,4388,1127,stevenson high school,LIVONIA
annapolis high school,Dearborn Heights Annapolis,100,61,4390,45,annapolis high school,DEARBORN HEIGHTS
grand ledge high school,Grand Ledge,100,53,4391,475,grand ledge high school,GRAND LEDGE
north muskegon high school,North Muskegon,100,60,4392,900,north muskegon high school,MUSKEGON
catholic central high school,Grand Rapids Catholic Central,100,63,4393,1340,catholic central high school,NOVI
white cloud high school,White Cloud,100,53,4394,1285,white cloud high school,White Cloud
osborn high school,Detroit Osborn,100,56,4395,942,osborn high school,DETROIT
south lyon high school,South Lyon,100,50,4399,1096,south lyon high school,SOUTH LYON
valley lutheran high school,Saginaw Valley Lutheran,100,54,4404,1457,valley lutheran high school,SAGINAW
concord high school,Concord,100,46,4405,287,concord high school,Concord
ishpeming high school,Ishpeming,100,53,4406,613,ishpeming high school,ISHPEMING
byron area high school,Byron,100,36,4409,159,byron area high school,BYRON
center line high school,Center Line,100,53,4410,212,center line high school,Center Line
olivet high school,Olivet,100,46,4412,933,olivet high school,OLIVET
lincoln high school,Ypsilanti Lincoln,100,55,4416,729,lincoln high school,WARREN
carrollton high school,Carrollton,100,56,4419,194,carrollton high school,SAGINAW
waterford kettering high school,Waterford Kettering,100,68,4421,1244,waterford kettering high school,WATERFORD
parchment high school,Parchment,100,53,4422,961,parchment high school,KALAMAZOO
loy norrix high school,Kalamazoo Loy Norrix,100,48,4424,755,loy norrix high school,KALAMAZOO
hemlock high school,Hemlock,100,55,4425,535,hemlock high school,Hemlock
grandville high school,Grandville,100,56,4426,484,grandville high school,GRANDVILLE
saline high school,Saline,100,44,4427,1069,saline high school,SALINE
the leelanau school,Glen Arbor The Leelanau School,100,65,4428,1450,the leelanau school,GLEN ARBOR
buchanan high school,Buchanan,100,58,4433,150,buchanan high school,BUCHANAN
sturgis high school,Sturgis,100,46,4434,1133,sturgis high school,STURGIS
brown city high school,Brown City,100,50,4435,149,brown city high school,Brown City
fruitport high school,Fruitport,100,53,4436,442,fruitport high school,FRUITPORT
morley stanwood high school,Morley Stanwood,100,62,4437,849,morley stanwood high school,MORLEY
jeffers high school,Painesdale Jeffers,100,53,4445,626,jeffers high school,Painesdale
south haven high school,South Haven,100,69,4446,1093,south haven high school,SOUTH HAVEN
central high school,Grand Rapids Central,100,62,4447,214,central high school,GRAND RAPIDS
rochester high school,Rochester,100,55,4449,1047,rochester high school,ROCHESTER HILLS
hartland high school,Hartland,100,50,4450,527,hartland high school,HARTLAND
royal oak high school,Royal Oak,100,47,4456,1058,royal oak high school,ROYAL OAK
kalkaska high school,Kalkaska,100,50,4457,648,kalkaska high school,Kalkaska
constantine high school,Constantine,100,59,4460,290,constantine high school,CONSTANTINE
fraser high school,Fraser,100,46,4461,433,fraser high school,FRASER
pine river area high school,LeRoy Pine River,100,50,4462,989,pine river area high school,LEROY
fordson high school,Dearborn Fordson,100,56,4465,423,fordson high school,DEARBORN
western international high school,Detroit Western,100,53,4468,1277,western international high school,DETROIT
benton harbor high school,Benton Harbor,100,58,4469,103,benton harbor high school,BENTON HARBOR
oxford high school,Oxford,100,42,4470,958,oxford high school,OXFORD
lake shore high school,St Clair Shores Lake Shore,100,48,4471,680,lake shore high school,SAINT CLAIR SHORES
grand rapids christian high school,Grand Rapids Christian,100,68,4473,1369,grand rapids christian high school,GRAND RAPIDS
portland high school,Portland,100,50,4477,1007,portland high school,PORTLAND
perry high school,Perry,100,40,4478,976,perry high school,PERRY
menominee high school,Menominee,100,53,4479,811,menominee high school,MENOMINEE
lake fenton high school,Lake Fenton,100,53,4480,676,lake fenton high school,Linden
west iron county high school,West Iron County,100,59,4481,1267,west iron county high school,IRON RIVER
roscommon high school,Roscommon,100,53,4483,1056,roscommon high school,ROSCOMMON
plainwell high school,Plainwell,100,53,4488,996,plainwell high school,PLAINWELL
springport high school,Springport,100,56,4489,1112,springport high school,SPRINGPORT
blissfield high school,Blissfield,100,56,4491,121,blissfield high school,BLISSFIELD
williamston high school,Williamston,100,59,4493,1294,williamston high school,WILLIAMSTON
northwest high school,Jackson Northwest,100,67,4494,910,northwest high school,JACKSON
calumet high school,Calumet,100,46,4495,169,calumet high school,CALUMET
ottawa hills high school,Grand Rapids Ottawa Hills,100,54,4498,949,ottawa hills high school,GRAND RAPIDS
fowlerville high school,Fowlerville,100,59,4499,427,fowlerville high school,FOWLERVILLE
lawton high school,Lawton,100,48,4500,703,lawton high school,LAWTON
dearborn high school,Dearborn,100,50,4502,323,dearborn high school,DEARBORN
fulton high school,Fulton,100,42,4504,444,fulton high school,MIDDLETON
muskegon high school,Muskegon,100,50,4507,864,muskegon high school,MUSKEGON
utica high school,Utica,100,44,4509,1202,utica high school,Utica
harper creek high school,Battle Creek Harper Creek,100,62,4512,517,harper creek high school,BATTLE CREEK
jefferson high school,Monroe Jefferson,100,53,4513,627,jefferson high school,NEWPORT
ashley high school,Ashley,100,45,4514,55,ashley high school,Ashley
cedar springs high school,Cedar Springs,100,58,4515,207,cedar springs high school,CEDAR SPRINGS
litchfield high school,Litchfield,100,56,4517,748,litchfield high school,LITCHFIELD
union high school,Grand Rapids Union,100,61,4518,1188,union high school,GRAND RAPIDS
frankfort high school,Frankfort,100,53,4519,431,frankfort high school,FRANKFORT
garden city high school,Garden City,100,53,4529,448,garden city high school,GARDEN CITY
michigan school for the deaf,Flint Michigan School For The Deaf,100,74,4532,828,michigan school for the deaf,FLINT
bear lake high school,Bear Lake,100,48,4534,86,bear lake high school,BEAR LAKE
reading high school,Reading,100,62,4535,1021,reading high school,READING
frankenmuth high school,Frankenmuth,100,59,4536,430,frankenmuth high school,FRANKENMUTH
belleville high school,Belleville,100,56,4538,96,belleville high school,BELLEVILLE
grant high school,Grant,100,40,4539,485,grant high school,GRANT
mercy high school,Farmington Hills Mercy,100,60,4542,1404,mercy high school,FARMINGTON HILLS
clawson high school,Clawson,100,46,4543,257,clawson high school,Clawson
grosse pointe north high school,Grosse Pointe North,100,64,4545,497,grosse pointe north high school,GROSSE POINTE WOODS
jw sexton high school,Lansing Sexton,100,55,4546,641,jw sexton high school,LANSING
riverview community high school,Riverview,100,52,4547,1041,riverview community high school,RIVERVIEW
marshall high school,Marshall,100,58,4548,791,marshall high school,MARSHALL
east grand rapids high school,East Grand Rapids,100,61,4557,366,east grand rapids high school,GRAND RAPIDS
mona shores high school,Muskegon Mona Shores,100,58,4559,838,mona shores high school,MUSKEGON
