PopularName,SchoolId,Classification,ProperName,NickName,matches
grosse pointe woods university liggett,3860,C,university liggett hs,Knights,"arts academy in the woods, compass pointe"
saginaw arts & sciences academy,3861,C,saginaw arts & sciences academy,Dragons,"saginaw arts and sciences academy, 54th street academy"
ann arbor central academy,3862,D,central academy hs,Falcons,"central academy, academy 21"
bay city john glenn,3863,B,john glenn hs,Bobcats,"bay city academy farragut campus, carson city correctional facility"
paw paw,3864,B,paw paw hs,Red Wolves,paw paw high school
holland black river,3865,C,black river hs,Rats,"black river public school middlehigh, grand river preparatory high school"
bridgeport,3866,B,bridgeport hs,Bearcats,"bridgeport high school, bridgeport baptist academy"
boyne city concord academy,3867,D,concord academy boyne,Kestrels,"concord academy boyne, academy 21"
coldwater,3868,A,coldwater hs,Cardinals,coldwater high school
detroit southeastern,3869,B,southeastern hs,Jungaleers,"covenant house academy detroit central site, covenant house academy detroit east site"
kingsley,3870,B,kingsley area hs,Stags,"kingsley area high school, kingsley montgomery school"
white lake lakeland,3871,A,lakeland hs,Eagles,"ackerson lake community education, gull lake virtual partnership"
new haven merritt middle school,3872,,merritt academy middle school,,"academy for business and technology high school, actech high school"
homer,3873,C,homer hs,Trojans,"homer community high school, calhoun county juvenile home"
big rapids crossroads academy,3874,D,crossroads charter academy,Cougars,"54th street academy, academy 21"
laingsburg,3875,C,laingsburg hs,Wolfpack,"laingsburg high school, laingsburg christian school"
southfield bradford academy,3876,C,bradford academy hs,Bulldogs,"bradford academy, academy 21"
berrien springs,3877,B,berrien springs hs,Shamrocks,"berrien springs discovery academy, berrien springs high school"
dewitt,3878,A,dewitt hs,Panthers,dewitt high school
bad axe,3879,C,bad axe hs,Hatchets,bad axe high school
warren fitzgerald,3880,A,fitzgerald hs,Spartans,"fitzgerald senior high school, fitzgerald virtual academy"
academy of health & science,3881,,academy of health & science,,"academy 21, academy for business and technology high school"
lansing everett,3882,A,everett hs,Vikings,"east lansing high school, nextech high school of lansing"
ubly,3883,C,ubly hs,Bearcats,ubly community jrsr high school
wayne memorial,3884,A,wayne memorial hs,Zebras,"wayne memorial high school, ea johnson memorial hs"
hamilton,3885,B,hamilton hs,Hawkeyes,"hamilton flex, hamilton high school"
interlochen,3886,,interlochen arts academy,,"interlochen early childhood and innovation center, interlochen arts academy"
portage central,3887,A,portage central hs,Mustangs,"portage central high school, battle creek central high school"
muskegon catholic central,3888,D,muskegon catholic central hs,Crusaders,"muskegon catholic central, central academy"
brooklyn columbia central,3889,B,columbia central hs,Golden Eagles,"central academy, central michigan correctional facility"
wyandotte mt carmel,3890,,mt carmel hs,Comets,"mt morris education and community center, mt pleasant senior high school"
whittemore-prescott,3891,C,whittemore-prescott hs,Cardinals,whittemoreprescott jrsr high school
niles,3892,B,niles hs,Vikings,"niles cedar lane, niles comm schools adult education"
detroit mumford,3893,A,mumford hs,Mustangs,"covenant house academy detroit central site, covenant house academy detroit east site"
mason county central,3894,C,mason county central hs,Spartans,"mason county central hs, allegan county area technical and education center"
madison heights bishop foley,3895,C,bishop foley catholic hs,Ventures,madison school
hart lakeshore academy,3896,,lakeshore public academy,,"academic and career education academy, academy 21"
grosse ile,3897,B,grosse ile hs,Red Devils,"grosse ile high school, grosse pointe north high school"
delton kellogg,3898,C,delton kellogg hs,Panthers,"thornapple kellogg high school, wk kellogg preparatory high school"
pittsford,3899,D,pittsford hs,Wildcats,pittsford area high school
colon,3900,D,colon community hs,Magi,colon high school
oscoda,3901,C,oscoda hs,Owls,oscoda area high school
rogers city,3902,D,rogers city hs,Hurons,"rogers city high school, bay city academy farragut campus"
marine city,3903,B,marine city hs,Mariners,"marine city high school, bay city academy farragut campus"
sterling heights bethesda christian,3904,,bethesda christian hs,,"algoma christian school, faith christian school"
big rapids,3905,B,big rapids hs,Cardinals,"big rapids high school, big rapids virtual school"
vicksburg,3906,B,vicksburg hs,Bulldogs,"vicksburg high school, vicksburg pathways high school"
detroit weston preparatoy academy,3907,,weston preparatory academy,Wildcats,"54th street academy, academy 21"
ferndale university,3908,B,university hs,Eagles,"grand rapids university preparatory academy, university high school academy"
trenton,3909,A,trenton hs,Trojans,trenton high school
clinton,3910,C,clinton hs,Redwolves,"clinton county education center, clinton high school"
detroit st martin deporres,3911,,st martin de porres hs,,"covenant house academy detroit central site, covenant house academy detroit east site"
chelsea,3912,B,chelsea hs,Bulldogs,chelsea high school
benton harbor countryside academy,3913,D,countryside academy,Cougars,"54th street academy, academy 21"
algonac,3914,B,algonac hs,Muskrats,"algonac alternative education, algonac juniorsenior high school"
centreville,3915,C,centreville hs,Bulldogs,"centreville adult education, centreville jr sr high school"
dearborn heights robichaud,3916,B,robichaud hs,Bulldogs,link learning grand rapids alger heights
adrian madison,3917,B,madison hs,Trojans,"adrian community high school, madison academy high school"
tawas,3918,C,tawas area hs,Braves,tawas area high school
burton centerpoint christian,3919,D,centerpoint christian academy,Lions,flex high burton
carney-nadeau,3920,D,carney-nadeau hs,Wolves,carneynadeau public school
central montcalm,3921,B,central montcalm hs,Hornets,"central montcalm middle high school, link learning stantoncentral montcalm"
boyne falls,3922,D,boyne falls hs,Loggers,"boyne falls public school, boyne city high school"
troy,3923,A,troy hs,Colts,troy high school
paradise whitefish township,3924,D,whitefish township community school,Rockets,whitefish township school
marshall academy,3925,D,marshall academy hs,Griffons,"marshall academy, academic and career education academy"
chesaning,3926,B,chesaning hs,Indians,"chesaning union high school, chesaning union schools alternative education"
bloomfield hills lahser,3927,,lahser hs,Knights,
elk rapids,3928,B,elk rapids hs,Elks,"elk rapids high school, big rapids high school"
warren woods tower,3929,A,warren woods-tower hs,Titans,"warren woods tower high school, harper woods virtual academy"
st joseph michigan lutheran,3930,D,michigan lutheran hs,Titans,"michigan mathematics and science academy dequindre, southern michigan center for science industry smcsi"
shelby,3931,C,shelby hs,Tigers,shelby high school
ann arbor huron,3932,A,huron hs,River Rats,"ann arbor learning community, arbor preparatory high school"
novi,3933,A,novi hs,Wildcats,"novi high school, novi virtual school"
croswell-lexington,3934,B,croswell-lexington hs,Pioneers,croswelllexington high school
shepherd morey public school,3935,,morey public school academy,Malamutes,"academy for business and technology high school, actech high school"
lansing christian,3936,D,lansing christian hs,Pilgrims,"nextech high school of lansing, the early college lansing community college"
detroit murray-wright,3937,,murray-wright hs,,"covenant house academy detroit central site, covenant house academy detroit east site"
clinton township chippewa valley,3938,A,chippewa valley hs,Big Reds,"burt township school, clinton high school"
detroit finney,3939,,finney hs,Highlanders,"covenant house academy detroit central site, covenant house academy detroit east site"
eastpointe,3940,B,eastpointe hs,Shamrocks,"eastpointe alternative center, eastpointe high school"
melvindale academy for business & tech,3941,D,academy for business & tech,Gators,"54th street academy, academy 21"
portland st patrick,3942,D,st patrick hs,Shamrocks,"st charles community middlehigh school, st clair county intervention academy"
new boston huron,3943,A,huron hs,Chiefs,"huron ai center frcs frhs program, huron area technical center"
sand creek,3944,C,sand creek hs,Aggies,"sand creek high school, battle creek area learning center"
ecorse,3945,C,ecorse hs,Raiders,ecorse community high school
powers north central,3946,D,north central hs,Jets,"battle creek central high school, central michigan correctional facility"
troy athens,3947,A,athens hs,Red  Hawks,"athens high school, athens juniorsenor high school"
eau claire,3948,C,eau claire hs,Fighting Beavers,"way eau claire, eau claire high school"
pickford,3949,D,pickford hs,Panthers,pickford public schools
ferndale,3950,B,ferndale hs,Eagles,ferndale high school
battle creek family altar christian,3951,,family altar christian,,"sand creek high school, algoma christian school"
comstock park,3952,B,comstock park hs,Panthers,"comstock park flex academy, comstock park high school"
detroit universal academy,3953,C,universal academy,Eagles,"universal academy, academy 21"
maple city glen lake,3954,C,glen lake hs,Lakers,"ackerson lake community education, bay city academy farragut campus"
harrison township l'anse creuse,3955,A,l'anse creuse hs,Lancers,"burt township school, harrison center"
chassell,3956,D,chassell hs,Panthers,chassell k12 school
ann arbor skyline,3957,A,skyline hs,Eagles,"ann arbor learning community, arbor preparatory high school"
detroit construction trades,3958,,mich inst for const trades & technology,,"covenant house academy detroit central site, covenant house academy detroit southwest site"
redford union,3959,B,redford union hs,Panthers,"redford union high school, redford union virtual learning"
river rouge,3960,A,river rouge hs,Panthers,"river rouge alternative virtual academy, river rouge high school"
cedarville,3961,D,cedarville hs,Islanders,cedarville school
dexter,3962,A,dexter hs,Dreadnaughts,"dexter alternative school, dexter high school"
wyoming potter's house christian,3963,C,the potter's house christian hs,Pumas,"vestaburg community alternative education school wyoming, wyoming high school"
webberville,3964,D,webberville community hs,Spartans,webberville high school
saginaw buena vista,3965,,buena vista hs,Knights,"saginaw arts and sciences academy, saginaw correctional facility"
gobles,3966,C,gobles hs,Tigers,"gobles high school, gobles virtual academy"
midland dow,3967,A,hh dow hs,Chargers,"hh dow high school, midland high school"
petersburg summerfield,3968,D,summerfield hs,Bulldogs,summerfield juniorsenior high school
mason,3969,A,mason hs,Bulldogs,"mason county central hs, mason high school"
st clair shores lakeview,3970,A,lakeview hs,Huskies,"st charles community middlehigh school, st clair county intervention academy"
three oaks river valley,3971,D,river valley hs,Mustangs,"black river public school middlehigh, chippewa valley adult and mohegan alt educ"
clinton township clintondale,3972,B,clintondale hs,Dragons,
burton st thomas more academy,3973,,st thomas more academy,Crusaders,"54th street academy, academy 21"
leland,3974,D,leland hs,Comets,leland public school
houghton lake,3975,C,houghton lake hs,Bobcats,"houghton lake community education, houghton lake jrsr high school"
allen park cabrini,3976,C,cabrini hs,Monarchs,"allen park community school, chandler park academy high school"
iron mountain,3977,C,iron mountain hs,Mountaineers,"iron mountain high school, west iron county high school"
harrison,3978,C,harrison community hs,Hornets,"gus harrison correctional facility, harrison alternative education"
international academy of flint,3979,C,international academy of flint,Phoenix,"international academy, international academy of flint k12"
grand blanc,3980,A,grand blanc hs,Bobcats,"grand blanc community high school, covenant house academy grand rapids"
manistique,3981,C,manistique hs,Emeralds,manistique middle and high school
gladwin,3982,B,gladwin hs,Flying G's,"claregladwin area school, gladwin community alternative hs"
allegan,3983,B,allegan hs,Tigers,"allegan alternative high school, allegan county area technical and education center"
haslett,3984,A,haslett hs,Vikings,haslett high school
new buffalo,3985,C,new buffalo hs,Bison,"new buffalo senior high school, new beginnings alternative high school"
adrian,3986,B,adrian hs,Maples,"adrian community high school, adrian high school"
alma,3987,B,alma hs,Panthers,alma senior high school
decatur,3988,C,decatur hs,Raiders,decatur jr sr high school
dearborn riverside academy west,3989,C,dearborn riverside academy-west,Wildcats,"riverside academy, 54th street academy"
bloomfield hills brother rice,3990,A,brother rice hs,Warriors,
flushing,3991,A,flushing hs,Raiders,flushing high school
st clair shores south lake,3992,B,south lake hs,Cavaliers,"capstone academy charter school sda south campus, virtual learning academyof st clair county"
st ignace,3993,C,st ignace hs,Saints,"ace, st ignace juvenile detention facility"
east martin christian,3994,,east martin christian hs,Crusaders,"covenant house academy detroit east site, east english village preparatory academy"
montrose,3995,C,montrose hill-mccloy hs,Rams,montrose alternative education center
orchard lake st mary's,3996,B,st mary preparatory hs,Eaglets,"ackerson lake community education, houghton lake community education"
mount clemens,3997,C,mt clemens hs,Battling Bathers,"mount clemens center for lifelong learning, mount clemens high school"
romulus,3998,B,romulus hs,Eagles,"romulus adult education alternative, romulus senior high school"
taylor trillium academy,3999,D,trillium academy,TAHS,"trillium academy, academic and career education academy"
hastings,4000,B,hastings hs,Saxons,hastings high school
hillsdale will carleton academy,4001,D,will carleton academy,Cougars,"eton academy, 54th street academy"
galesburg-augusta,4002,C,galesburg-augusta hs,Rams,"galesburgaugusta alternative education, galesburgaugusta high school"
lansing catholic,4003,B,lansing catholic hs,Cougars,"east lansing high school, nextech high school of lansing"
grosse pointe south,4004,A,grosse pointe south hs,Blue Devils,"grosse pointe south high school, capstone academy charter school sda south campus"
milan,4005,B,milan hs,Big Reds,"milan alternative education, milan high school"
newport lutheran south,4006,,lutheran hs south,Saints,"capstone academy charter school sda south campus, huron valley lutheran high school"
hazel park,4007,B,hazel park hs,Vikings,"hazel park high school, allen park community school"
burton bendle,4008,C,bendle hs,Tigers,
flint powers catholic,4009,B,powers catholic hs,Chargers,"international academy of flint k12, bishop foley catholic high school"
auburn hills avondale,4010,A,avondale hs,Yellow Jackets,"kenowa hills pathways high school, rochester hills christian school"
lansing waverly,4011,A,waverly hs,Warriors,"east lansing high school, nextech high school of lansing"
fremont,4012,B,fremont hs,Packers,fremont high school
vandercook lake,4013,C,vandercook lake hs,Jayhawks,"vandercook lake high school, vandercook lake virtual academy"
dryden,4014,D,dryden hs,Cardinals,dryden high school
byron center,4015,A,byron center hs,Bulldogs,"byron center charter school, byron center high school"
escanaba,4016,B,escanaba hs,Eskymos,"escanaba juniorsenior high school, escanaba student success center"
grand rapids kent occupational,4017,,kent occupational hs,,
grandville calvin christian,4018,C,calvin christian hs,Squires,grandville calvin christian high school
battle creek lakeview,4019,A,lakeview hs,Spartans,"battle creek area learning center, battle creek central high school"
kalamazoo christian,4020,C,kalamazoo christian hs,Comets,"kalamazoo christian school, kalamazoo christian schools"
gwinn,4021,C,gwinn hs,Modeltowners,gwinn middlehigh school
grand rapids gateway,4022,,gateway hs,,"covenant house academy grand rapids, gateway to collegemott community college"
traverse city college prep academy,4023,,traverse city college prep academy,Knights,"54th street academy, academy 21"
hanover-horton,4024,C,hanover-horton hs,Comets,hanoverhorton high school
norway,4025,D,norway hs,Knights,norway high school
jackson,4026,A,jackson hs,Vikings,"east jackson secondary school, jackson area career center"
marenisco,4027,,marenisco hs,,wakefieldmarenisco school
detroit riverside,4028,,riverside academy,,"covenant house academy detroit central site, covenant house academy detroit east site"
deerfield,4029,,deerfield hs,,britton deerfield schoolsbritton building
sterling heights stevenson,4030,A,utica stevenson hs,Titans,"link learning grand rapids alger heights, sterling heights senior hs"
grand rapids covenant christian,4031,C,covenant christian hs,Chargers,
battle creek central,4032,A,central hs,Bearcats,"battle creek central high school, battle creek area learning center"
marquette,4033,A,marquette hs,Redmen/Redettes,"marquette branch prison, marquette senior high school"
byron center zion christian,4034,D,zion christian hs,Mountaineers,"allegan county area technical and education center, apollo center"
st joseph,4035,A,st joseph hs,Bears,"st joseph high school, link learning st louis"
battle creek pennfield,4036,B,pennfield hs,Panthers,"battle creek area learning center, bellamy creek correctional facility"
bellaire,4037,D,bellaire hs,Eagles,bellaire middlehigh school
waterford mt zion christian,4038,,mt zion christian school,,
st clair,4039,B,st clair hs,Saints,"st clair county intervention academy, st clair high school"
walled lake northern,4040,A,walled lake northern hs,Knights,"walled lake northern high school, ackerson lake community education"
saginaw swan valley,4041,B,swan valley hs,Vikings,"chippewa valley adult and mohegan alt educ, maple valley jrsr high school"
lansing eastern,4042,B,eastern hs,Quakers,"bay city eastern high school, east lansing high school"
covert,4043,D,covert hs,Bulldogs,covert high school
coopersville,4044,A,coopersville hs,Broncos,coopersville high school
ludington,4045,B,ludington hs,Orioles,ludington high school
redford bishop borgess,4046,,bishop borgess hs,,bishop foley catholic high school
rochester hills stoney creek,4047,A,stoney creek hs,Cougars,rochester community schools virtual campus
muskegon reeths-puffer,4048,A,reeths-puffer hs,Rockets,"muskegon community education center, muskegon county juvenile transition center"
wyoming kelloggsville,4049,B,kelloggsville hs,Rockets,vestaburg community alternative education school wyoming
plymouth,4050,A,plymouth hs,Wildcats,"plymouth high school, plymouth christian academy"
new haven,4051,C,new haven hs,Rockets,"new haven high school, grand haven cyber school"
clarkston,4052,A,clarkston hs,Wolves,"clarkston high school, clarkston junior high school"
comstock,4053,C,comstock hs,Colts,"comstock compass high school, comstock high school"
britton-macon,4054,,britton-macon hs,Tories,britton deerfield schoolsbritton building
saugatuck,4055,C,saugatuck hs,Trailblazers,saugatuck high school
cadillac heritage christian,4056,,cadillac heritage christian school,,cadillac heritage christian school
tekonsha,4057,D,tekonsha hs,Indians,tekonsha schools
lawrence,4058,D,lawrence hs,Tigers,lawrence jrsr high school
cadillac,4059,A,cadillac hs,Vikings,"cadillac innovation high school, cadillac senior high school"
marysville,4060,B,marysville hs,Vikings,marysville high school
capac,4061,C,capac hs,Chiefs,"capac jrsr high school, capac virtual education program"
kent city algoma christian,4062,,algoma christian school,Knights,"city middlehigh, dollar baytamarack city area k12 school"
manistee,4063,B,manistee hs,Chippewas,"manistee isd center programs, manistee middle high school"
farwell,4064,C,farwell area hs,Eagles,"farwell high school, farwell timberland alternative high school"
birmingham groves,4065,A,wylie e groves hs,Falcons,"wylie e groves high school, brightmont academy birmingham"
ogemaw heights,4066,B,ogemaw heights hs,Falcons,"ogemaw heights high school, alternative educational academy of ogemaw county"
merrill,4067,C,merrill hs,Vandals,"link learning merrill, merrill high school"
lincoln park,4068,A,lincoln park hs,Railsplitters,"lincoln park high school, allen park community school"
southfield christian,4069,D,southfield christian hs,Eagles,"southfield christian school, southfield high school for the arts and technology"
standish-sterling,4070,B,standish-sterling hs,Panthers,"sterling heights senior hs, standishsterling central jrsr high school"
utica eisenhower,4071,A,utica eisenhower hs,Eagles,
harper woods trinity,4072,,trinity catholic hs,,"the harper woods college and career institute, warren woods tower high school"
addison,4073,C,addison hs,Panthers,addison high school
kingston,4074,C,kingston hs,Cardinals,kingston high school
boyne city,4075,B,boyne city hs,Ramblers,"boyne city high school, bay city academy farragut campus"
saginaw michigan lutheran seminary,4076,D,michigan lutheran seminary,Cardinals,"michigan lutheran seminary, michigan cyber academy"
new baltimore anchor bay,4077,A,anchor bay hs,Tars,"bay pines center, new beginnings alternative high school"
onaway,4078,D,onaway area hs,Cardinals,onaway senior high school
davison,4079,A,davison hs,Cardinals,"davison alternative education, davison high school"
warren mott,4080,A,warren mott hs,Marauders,"warren mott high school, mott middle college high school"
detroit southwestern,4081,,southwestern hs,Prospectors,"covenant house academy detroit central site, covenant house academy detroit east site"
petoskey,4082,A,petoskey hs,Northmen,"concord academy petoskey, petoskey high school"
flint central academy,4083,,flint central academy,,"central academy, academic and career education academy"
ishpeming westwood,4084,C,westwood hs,Patriots,
bloomfield hills marian,4085,B,marian hs,Mustangs,
whitmore lake,4086,C,whitmore lake hs,Trojans,"whitmore lake high school, ackerson lake community education"
bloomfield hills academy of the sacred heart,4087,D,academy of the sacred heart,Gazelles,"academy of the sacred heart, 54th street academy"
whitmore lake maxey training school,4088,,maxey training school,,"actech high school, addison high school"
st clair riverview east,4089,,riverview east hs,,"covenant house academy detroit east site, east english village preparatory academy"
flint hamady,4090,B,hamady hs,Hawks,"flex high north flint, flint cultural center academy"
bridgman,4091,C,bridgman hs,Bees,bridgman high school
holt lutheran,4092,,holt lutheran school hs,Hawks,"holt senior high school, huron valley lutheran high school"
port huron northern,4093,A,port huron northern hs,Huskies,"port huron northern high school, huron ai center frcs frhs program"
detroit northern,4094,,northern hs,,"covenant house academy detroit central site, covenant house academy detroit east site"
gaylord,4095,A,gaylord hs,Blue Devils,gaylord high schoolvoc bldg
vassar,4096,C,vassar hs,Vulcans,vassar senior high school
bay city all saints,4097,D,all saints catholic hs,Cougars,"bay city academy farragut campus, carson city correctional facility"
kent city,4098,C,kent city hs,Eagles,"kent city alternative high school, kent city high school"
albion,4099,,albion hs,Wildcats,
detroit mackenzie,4100,,mackenzie hs,,"covenant house academy detroit central site, covenant house academy detroit east site"
tecumseh,4101,B,tecumseh hs,Indians,"tecumseh high school, tecumseh virtual academy"
greenville,4102,A,greenville hs,Yellow Jackets,greenville senior high school
north farmington,4103,A,north farmington hs,Raiders,"north farmington high school, farmington central high school"
ovid-elsie,4104,B,ovid-elsie hs,Marauders,"ovidelsie comm edalt hs, ovidelsie high school"
posen,4105,D,posen hs,Vikings,posen consolidated high school
peck,4106,D,peck community hs,Pirates,peck jrsr high school
deckerville,4107,D,deckerville community hs,Eagles,deckerville community high school
kingsford,4108,B,kingsford hs,Flivvers,kingsford high school
monroe st mary catholic central,4109,C,st mary catholic central hs,Falcons/Kestrels,"central academy, central high school"
hancock,4110,C,hancock hs,Bulldogs,hancock middlehigh school
rochester hills lutheran northwest,4111,C,lutheran northwest hs,Crusaders,"northwest high school, rochester high school"
jonesville,4112,C,jonesville hs,Comets,"jonesville high school, jonesville pathways"
jackson lumen christi,4113,C,lumen christi hs,Titans,"jackson isd local based special education programs, jackson preparatory early college"
muskegon western michigan christian,4114,C,western michigan christian hs,Warriors,"michigan cyber academy, michigan online school"
livonia franklin,4115,A,franklin hs,Patriots,"benjamin franklin middle school, livonia career technical center"
charlotte,4116,B,charlotte hs,Orioles,"charlotte early middle college, charlotte public schools project success"
bay city western,4117,A,bay city western hs,Warriors,"bay city western high school, bay city academy farragut campus"
auburn hills oakland christian,4118,D,oakland christian hs,Lancers,auburn hills christian school
detroit chadsey,4119,,chadsey hs,,"covenant house academy detroit central site, covenant house academy detroit east site"
otsego baptist,4120,,otsego baptist academy,,"otsego west campus high school, berean baptist academy"
brethren,4121,D,brethren hs,Bobcats,brethren high school
highland park community,4122,,highland park community hs,Polar Bears,"cedar street community and family center, consolidated community school services"
oak park,4123,A,oak park hs,Knights,"oak park high school, oak park virtual academy"
harper woods bishop gallagher,4124,,bishop gallagher hs,,"harper academy, the harper woods college and career institute"
caro,4125,B,caro hs,Tigers,"caro alternative high school, caro high school"
jenison,4126,A,jenison hs,Wildcats,"jenison high school, jenison international academy"
stephenson,4127,D,stephenson hs,Eagles,stephenson area public school
st johns,4128,A,st johns hs,Redwings,"st johns high school, link learning st louis"
johannesburg-lewiston,4129,C,johannesburg-lewiston hs,Cardinals,johannesburglewiston high school
dearborn heights star international,4130,B,star international academy,Falcons,"american international academy high schoolmiddle schooll, dearborn high school"
detroit u of d jesuit,4131,A,u of d jesuit hs,Cubs,"academy of science math and technology early college high sc, academy of the americas high school"
new lothrop,4132,C,new lothrop hs,Hornets,"new lothrop high school, new beginnings alternative high school"
suttons bay,4133,D,suttons bay hs,Norsemen,"suttons bay senior high school, suttons bay virtual school"
ann arbor pioneer,4134,A,pioneer hs,Pioneers,"ann arbor learning community, arbor preparatory high school"
walker west michigan academy of environmental science,4135,,west michigan academy of envir science,Eagles,"west mi academy of environmental science, 54th street academy"
inkster,4136,,inkster hs,Vikings,
clio,4137,B,clio hs,Mustangs,"clio area high school, clio community high school"
sterling heights,4138,A,sterling heights hs,Stallions,"sterling heights senior hs, dearborn heights virtual academy"
harper woods notre dame,4139,,notre dame hs,,"harper academy, the harper woods college and career institute"
monroe,4140,A,monroe hs,Trojans,"monroe county education center, monroe county middle college"
detroit midtown academy,4141,,detroit midtown academy,Magic,"academic and career education academy, academy 21"
salem,4142,A,salem hs,Rocks,salem high school
ottawa lake whiteford,4143,C,whiteford hs,Bobcats,"ackerson lake community education, houghton lake community education"
mackinaw city,4144,D,mackinaw city hs,Comets,"mackinaw city k12 school, bay city academy farragut campus"
gaylord st mary,4145,D,st mary cathedral hs,Snowbirds,"gaylord high schoolvoc bldg, st charles community middlehigh school"
saline washtenaw christian,4146,,washtenaw christian academy,Wildcats,"washtenaw alliance for virtual education, washtenaw county youth center educational programs"
clare,4147,B,clare hs,Pioneers,"clare high school, clare pioneer high school"
napoleon,4148,C,napoleon hs,Pirates,napoleon high school
hart,4149,B,hart hs,Pirates,"byron center charter school, crossroads charter academy 712"
zeeland east,4150,A,zeeland east hs,Chix,"zeeland east high school, covenant house academy detroit east site"
warren lincoln,4151,B,lincoln hs,Abes,"lincoln alternative high school, lincoln developmental center"
schoolcraft,4152,C,schoolcraft hs,Eagles,"deltaschoolcraft area center, link learning schoolcraft"
detroit international academy,4153,D,detroit international academy,Lady Pink Panthers,"international academy, detroit international academy for young women"
carson city-crystal,4154,C,carson city-crystal hs,Eagles,"bay city academy farragut campus, benjamin carson high school of science and medicine"
walled lake western,4155,A,walled lake western hs,Warriors,"walled lake western high school, ackerson lake community education"
detroit cleveland intermediate,4156,,cleveland intermediate hs,Trojans,"covenant house academy detroit southwest site, detroit collegiate preparatory high school at northwestern"
detroit denby,4157,B,edwin denby hs,Tars,"covenant house academy detroit central site, covenant house academy detroit east site"
linden,4158,A,linden hs,Eagles,"lake lindenhubbell schools, linden high school"
remus chippewa hills,4159,B,chippewa hills hs,Warriors,"chippewa correctional facility, chippewa valley adult and mohegan alt educ"
grand rapids south christian,4160,B,south christian hs,Sailors,"capstone academy charter school sda south campus, grand rapids university preparatory academy"
hudsonville unity christian,4161,B,unity christian hs,Crusaders,
baldwin,4162,D,baldwin community schools,Panthers,baldwin senior high school
east lansing,4163,A,east lansing hs,Trojans,"east lansing high school, covenant house academy detroit east site"
flint northwestern,4164,,flint northwestern hs,Jaguars,"detroit collegiate preparatory high school at northwestern, flint cultural center academy"
kalamazoo central,4165,A,kalamazoo central hs,Maroon Giants,"kalamazoo central high school, battle creek central high school"
lake orion,4166,A,lake orion hs,Dragons,"lake orion community high school, lake orion baptist school"
marine city cardinal mooney,4167,D,cardinal mooney catholic hs,Cardinals,city middlehigh
eaton rapids,4168,B,eaton rapids hs,Greyhounds,"eaton rapids high school, big rapids high school"
port hope,4169,,port hope community hs,Bluestars,"hope academic academy, hope academy of west michigan"
evart,4170,C,evart hs,Wildcats,evart high school
montague,4171,B,montague hs,Wildcats,montague high school
mattawan,4172,A,mattawan hs,Wildcats,mattawan high school
battle creek st philip,4173,D,st philip catholic central hs,Fighting Tigers,"battle creek area learning center, bellamy creek correctional facility"
detour,4174,D,detour hs,Raiders,"detour arts and technology academy, detour high school"
hamtramck st florian,4175,,st florian hs,Rockets,"st charles community middlehigh school, st clair county intervention academy"
ionia,4176,B,ionia hs,Bulldogs,"ionia county career center, ionia high school"
grand rapids northpointe christian,4177,C,northpointe christian hs,Mustangs,"big rapids high school, elk rapids high school"
detroit kettering,4178,,kettering hs,Pioneers,"covenant house academy detroit central site, covenant house academy detroit east site"
detroit country day,4179,B,detroit country day hs,Yellowjackets,"detroit country day school, detroit country day school"
