ProperName,PopularName,ProperName_Score,PopularName_Score,MHSAA_SchoolId,SchoolInfo_Index,School_Name,City
delton kellogg high school,Delton Kellogg,98,56,3898,330,deltonkellogg high school,DELTON
pittsford high school,Pittsford,89,46,3899,995,pittsford area high school,PITTSFORD
colon community high school,Colon,94,44,3900,266,clio community high school,CLIO
oscoda high school,Oscoda,88,40,3901,268,cody high school,DETROIT
rogers city high school,Rogers City,100,53,3902,1050,rogers city high school,ROGERS CITY
marine city high school,Marine City,100,53,3903,783,marine city high school,MARINE CITY
bethesda christian high school,Sterling Heights Bethesda Christian,84,62,3904,1439,south christian high school,BYRON CENTER
big rapids high school,Big Rapids,100,50,3905,114,big rapids high school,BIG RAPIDS
vicksburg high school,Vicksburg,100,53,3906,1217,vicksburg high school,VICKSBURG
weston preparatory academy,Detroit Weston Preparatoy Academy,86,64,3907,639,joy preparatory academy,DETROIT
university high school,Ferndale University,100,51,3908,1195,university high school,FERNDALE
trenton high school,Trenton,100,46,3909,1176,trenton high school,TRENTON
clinton high school,Clinton,100,48,3910,261,clinton high school,CLINTON
st martin de porres high school,Detroit St Martin dePorres,73,51,3911,793,martin high school,MARTIN
chelsea high school,Chelsea,100,46,3912,238,chelsea high school,CHELSEA
countryside academy,Benton Harbor Countryside Academy,76,58,3913,1139,sunrise academy,ELK RAPIDS
algonac high school,Algonac,86,45,3914,38,almont high school,ALMONT
centreville high school,Centreville,88,53,3915,222,centreville jr sr high school,Centreville
robichaud high school,Dearborn Heights Robichaud,86,66,3916,1044,robichaud senior high school,DEARBORN HEIGHTS
madison high school,Adrian Madison,100,56,3917,766,madison high school,MADISON HEIGHTS
tawas area high school,Tawas,100,44,3918,1147,tawas area high school,TAWAS CITY
centerpoint christian academy,Burton CenterPoint Christian,82,55,3919,1420,novi christian academy,NOVI
carney-nadeau high school,Carney-Nadeau,82,51,3920,191,carneynadeau public school,Carney
central montcalm high school,Central Montcalm,89,65,3921,220,central montcalm middle high school,STANTON
boyne falls high school,Boyne Falls,83,50,3922,127,boyne falls public school,Boyne Falls
troy high school,Troy,100,30,3923,1182,troy high school,Troy
whitefish township community school,Paradise Whitefish Township,83,62,3924,1288,whitefish township school,PARADISE
marshall academy high school,Marshall Academy,84,88,3925,765,madison academy high school,Burton
chesaning high school,Chesaning,88,54,3926,239,chesaning union high school,CHESANING
lahser high school,Bloomfield Hills Lahser,91,67,3927,683,laker high school,PIGEON
elk rapids high school,Elk Rapids,100,50,3928,391,elk rapids high school,ELK RAPIDS
warren woods-tower high school,Warren Woods Tower,97,62,3929,1237,warren woods tower high school,Warren
michigan lutheran high school,St Joseph Michigan Lutheran,83,61,3930,1464,west michigan lutheran school,WYOMING
shelby high school,Shelby,100,42,3931,1084,shelby high school,SHELBY
huron high school,Ann Arbor Huron,100,51,3932,581,huron high school,ANN ARBOR
novi high school,Novi,100,36,3933,913,novi high school,NOVI
croswell-lexington high school,Croswell-Lexington,98,64,3934,313,croswelllexington high school,CROSWELL
morey public school academy,Shepherd Morey Public School,71,67,3935,867,nah tah wahsh public school academy,WILSON
lansing christian high school,Lansing Christian,86,59,3936,1456,unity christian high school,HUDSONVILLE
murray-wright high school,Detroit Murray-Wright,76,51,3937,143,brighton high school,BRIGHTON
chippewa valley high school,Clinton Township Chippewa Valley,100,48,3938,245,chippewa valley high school,CLINTON TWP
finney high school,Detroit Finney,83,48,3939,734,linden high school,LINDEN
eastpointe high school,Eastpointe,100,67,3940,376,eastpointe high school,EASTPOINTE
academy for business & tech,Melvindale Academy for Business & Tech,70,56,3941,3,academy for business and technology high school,MELVINDALE
st patrick high school,Portland St Patrick,87,51,3942,1447,st patrick school,PORTLAND
huron high school,New Boston Huron,100,46,3943,581,huron high school,ANN ARBOR
sand creek high school,Sand Creek,100,50,3944,1070,sand creek high school,SAND CREEK
ecorse high school,Ecorse,86,44,3945,251,clare high school,CLARE
north central high school,Powers North Central,88,51,3946,1004,portage central high school,PORTAGE
athens high school,Troy Athens,100,47,3947,56,athens high school,Troy
eau claire high school,Eau Claire,100,67,3948,382,eau claire high school,Eau Claire
pickford high school,Pickford,90,45,3949,1048,rockford high school,ROCKFORD
ferndale high school,Ferndale,100,50,3950,411,ferndale high school,FERNDALE
family altar christian,Battle Creek Family Altar Christian,64,55,3951,1357,faith christian school,CLINTON TOWNSHIP
comstock park high school,Comstock Park,100,58,3952,284,comstock park high school,COMSTOCK PARK
universal academy,Detroit Universal Academy,100,71,3953,1193,universal academy,DETROIT
glen lake high school,Maple City Glen Lake,90,48,3954,500,gull lake high school,RICHLAND
l'anse creuse high school,Harrison Township L'Anse Creuse,81,48,3955,1070,sand creek high school,SAND CREEK
chassell high school,Chassell,84,52,3956,574,howell high school,HOWELL
skyline high school,Ann Arbor Skyline,100,49,3957,1089,skyline high school,ANN ARBOR
mich inst for const trades & technology,Detroit Construction Trades,56,54,3958,1100,southfield high school for the arts and technology,SOUTHFIELD
redford union high school,Redford Union,100,58,3959,1022,redford union high school,Redford
river rouge high school,River Rouge,100,53,3960,1036,river rouge high school,River Rouge
cedarville high school,Cedarville,88,67,3961,316,dansville high school,DANSVILLE
dexter high school,Dexter,100,47,3962,345,dexter high school,DEXTER
the potter's house christian high school,Wyoming Potter's House Christian,75,53,3963,1439,south christian high school,BYRON CENTER
webberville community high school,Webberville,91,59,3964,328,deckerville community high school,DECKERVILLE
buena vista high school,Saginaw Buena Vista,82,56,3965,85,beal city high school,MOUNT PLEASANT
gobles high school,Gobles,100,55,3966,464,gobles high school,Gobles
hh dow high school,Midland Dow,100,53,3967,544,hh dow high school,MIDLAND
summerfield high school,Petersburg Summerfield,81,46,3968,814,merrill high school,MERRILL
mason high school,Mason,100,55,3969,798,mason high school,MASON
lakeview high school,St Clair Shores Lakeview,100,52,3970,688,lakeview high school,LAKEVIEW
river valley high school,Three Oaks River Valley,89,51,3971,1038,river valley middlehigh school,THREE OAKS
clintondale high school,Clinton Township Clintondale,100,52,3972,263,clintondale high school,CLINTON TOWNSHIP
st thomas more academy,Burton St Thomas More Academy,67,58,3973,516,harper academy,Harper Woods
leland high school,Leland,95,38,3974,682,lakeland high school,WHITE LAKE
houghton lake high school,Houghton Lake,91,51,3975,572,houghton lake jrsr high school,HOUGHTON LAKE
cabrini high school,Allen Park Cabrini,100,50,3976,1332,cabrini high school,ALLEN PARK
iron mountain high school,Iron Mountain,100,58,3977,609,iron mountain high school,IRON MOUNTAIN
harrison community high school,Harrison,100,61,3978,522,harrison community high school,Harrison
international academy of flint,International Academy of Flint,94,84,3979,601,international academy of flint k12,FLINT
grand blanc high school,Grand Blanc,87,50,3980,474,grand haven high school,GRAND HAVEN
manistique high school,Manistique,82,50,3981,776,manistee middle high school,MANISTEE
gladwin high school,Gladwin,100,46,3982,461,gladwin high school,GLADWIN
allegan high school,Allegan,100,46,3983,33,allegan high school,ALLEGAN
haslett high school,Haslett,100,55,3984,529,haslett high school,HASLETT
new buffalo high school,New Buffalo,87,44,3985,872,new buffalo senior high school,NEW BUFFALO
adrian high school,Adrian,100,50,3986,17,adrian high school,ADRIAN
alma high school,Alma,91,50,3987,1067,salem high school,CANTON
decatur high school,Decatur,92,38,3988,334,detour high school,DeTour Village
dearborn riverside academy-west,Dearborn Riverside Academy West,71,67,3989,1039,riverside academy,DUNDEE
brother rice high school,Bloomfield Hills Brother Rice,100,63,3990,1331,brother rice high school,BLOOMFIELD HILLS
flushing high school,Flushing,100,50,3991,422,flushing high school,FLUSHING
south lake high school,St Clair Shores South Lake,100,49,3992,1094,south lake high school,SAINT CLAIR SHORES
st ignace high school,St Ignace,82,50,3993,1069,saline high school,SALINE
east martin christian high school,East Martin Christian,82,62,3994,1465,western michigan christian high school,NORTON SHORES
montrose hill-mccloy high school,Montrose,81,43,3995,552,hillmccloy high school,Montrose
st mary preparatory high school,Orchard Lake St Mary's,89,48,3996,1150,taylor preparatory high school,TAYLOR
mt clemens high school,Mount Clemens,94,58,3997,854,mount clemens high school,MOUNT CLEMENS
romulus high school,Romulus,84,36,3998,1053,romulus senior high school,ROMULUS
trillium academy,Taylor Trillium Academy,100,72,3999,1179,trillium academy,TAYLOR
hastings high school,Hastings,100,50,4000,530,hastings high school,HASTINGS
will carleton academy,Hillsdale Will Carleton Academy,74,67,4001,1293,will carleton charter school academy,HILLSDALE
galesburg-augusta high school,Galesburg-Augusta,98,62,4002,446,galesburgaugusta high school,GALESBURG
lansing catholic high school,Lansing Catholic,91,56,4003,1320,austin catholic high school,CHESTERFIELD
grosse pointe south high school,Grosse Pointe South,100,64,4004,498,grosse pointe south high school,GROSSE POINTE FARMS
milan high school,Milan,100,38,4005,833,milan high school,MILAN
lutheran high school south,Newport Lutheran South,92,49,4006,1401,lutheran high school north,MACOMB
hazel park high school,Hazel Park,100,50,4007,532,hazel park high school,HAZEL PARK
bendle high school,Burton Bendle,100,50,4008,98,bendle high school,BURTON
powers catholic high school,Flint Powers Catholic,92,58,4009,1462,west catholic high school,GRAND RAPIDS
avondale high school,Auburn Hills Avondale,100,52,4010,62,avondale high school,AUBURN HILLS
waverly high school,Lansing Waverly,84,53,4011,106,berkley high school,BERKLEY
fremont high school,Fremont,100,46,4012,438,fremont high school,FREMONT
vandercook lake high school,Vandercook Lake,100,62,4013,1208,vandercook lake high school,JACKSON
dryden high school,Dryden,100,42,4014,357,dryden high school,DRYDEN
byron center high school,Byron Center,100,67,4015,161,byron center high school,BYRON CENTER
escanaba high school,Escanaba,82,50,4016,1064,saginaw high school,SAGINAW
kent occupational high school,Grand Rapids Kent Occupational,82,55,4017,665,kent innovation high school,GRAND RAPIDS
calvin christian high school,Grandville Calvin Christian,86,73,4018,1346,covenant christian high school,GRAND RAPIDS
lakeview high school,Battle Creek Lakeview,100,63,4019,688,lakeview high school,LAKEVIEW
kalamazoo christian high school,Kalamazoo Christian,91,76,4020,1387,kalamazoo christian school,KALAMAZOO
gwinn high school,Gwinn,89,40,4021,461,gladwin high school,GLADWIN
gateway high school,Grand Rapids Gateway,84,59,4022,879,newaygo high school,Newaygo
traverse city college prep academy,Traverse City College Prep Academy,69,58,4023,325,dearborn newcomer college prep academy,DEARBORN
hanover-horton high school,Hanover-Horton,98,56,4024,512,hanoverhorton high school,HORTON
norway high school,Norway,100,43,4025,911,norway high school,NORWAY
jackson high school,Jackson,100,52,4026,619,jackson high school,JACKSON
marenisco high school,Marenisco,87,54,4027,785,marion high school,Marion
riverside academy,Detroit Riverside,100,53,4028,1039,riverside academy,DUNDEE
deerfield high school,Deerfield,82,54,4029,345,dexter high school,DEXTER
utica stevenson high school,Sterling Heights Stevenson,88,69,4030,1127,stevenson high school,LIVONIA
covenant christian high school,Grand Rapids Covenant Christian,100,60,4031,1346,covenant christian high school,GRAND RAPIDS
central high school,Battle Creek Central,100,65,4032,214,central high school,GRAND RAPIDS
marquette high school,Marquette,86,50,4033,788,marquette senior high school,MARQUETTE
zion christian high school,Byron Center Zion Christian,89,58,4034,1469,zion christian school,BYRON CENTER
st joseph high school,St Joseph,100,47,4035,1119,st joseph high school,SAINT JOSEPH
pennfield high school,Battle Creek Pennfield,86,57,4036,974,pennfield senior high school,BATTLE CREEK
bellaire high school,Bellaire,87,55,4037,94,bellaire middlehigh school,BELLAIRE
mt zion christian school,Waterford Mt Zion Christian,93,56,4038,1469,zion christian school,BYRON CENTER
st clair high school,St Clair,100,45,4039,1116,st clair high school,SAINT CLAIR
walled lake northern high school,Walled Lake Northern,100,65,4040,1230,walled lake northern high school,Commerce Twp
swan valley high school,Saginaw Swan Valley,100,60,4041,1144,swan valley high school,SAGINAW
eastern high school,Lansing Eastern,100,60,4042,373,eastern high school,ADA
covert high school,Covert,100,62,4043,308,covert high school,COVERT
coopersville high school,Coopersville,100,61,4044,294,coopersville high school,COOPERSVILLE
ludington high school,Ludington,100,53,4045,756,ludington high school,LUDINGTON
bishop borgess high school,Redford Bishop Borgess,73,55,4046,464,gobles high school,Gobles
stoney creek high school,Rochester Hills Stoney Creek,100,57,4047,1129,stoney creek high school,ROCHESTER HILLS
reeths-puffer high school,Muskegon Reeths-Puffer,98,52,4048,1026,reethspuffer high school,MUSKEGON
kelloggsville high school,Wyoming Kelloggsville,100,52,4049,654,kelloggsville high school,Wyoming
plymouth high school,Plymouth,100,50,4050,998,plymouth high school,CANTON
new haven high school,New Haven,100,50,4051,873,new haven high school,New Haven
clarkston high school,Clarkston,100,53,4052,255,clarkston high school,CLARKSTON
comstock high school,Comstock,100,50,4053,282,comstock high school,KALAMAZOO
britton-macon high school,Britton-Macon,80,45,4054,142,bridgman high school,BRIDGMAN
saugatuck high school,Saugatuck,100,53,4055,1076,saugatuck high school,SAUGATUCK
cadillac heritage christian school,Cadillac Heritage Christian,100,79,4056,1333,cadillac heritage christian school,CADILLAC
tekonsha high school,Tekonsha,84,58,4057,56,athens high school,Troy
lawrence high school,Lawrence,89,55,4058,701,lawrence jrsr high school,LAWRENCE
cadillac high school,Cadillac,85,50,4059,165,cadillac senior high school,CADILLAC
marysville high school,Marysville,100,56,4060,795,marysville high school,MARYSVILLE
capac high school,Capac,87,50,4061,174,capac jrsr high school,MUSSEY
algoma christian school,Kent City Algoma Christian,100,57,4062,1316,algoma christian school,KENT CITY
manistee high school,Manistee,85,47,4063,776,manistee middle high school,MANISTEE
farwell area high school,Farwell,88,46,4064,407,farwell high school,FARWELL
wylie e groves high school,Birmingham Groves,100,47,4065,1305,wylie e groves high school,BEVERLY HILLS
ogemaw heights high school,Ogemaw Heights,100,60,4066,929,ogemaw heights high school,West Branch
merrill high school,Merrill,100,46,4067,814,merrill high school,MERRILL
lincoln park high school,Lincoln Park,100,56,4068,730,lincoln park high school,LINCOLN PARK
southfield christian high school,Southfield Christian,92,77,4069,1439,south christian high school,BYRON CENTER
standish-sterling high school,Standish-Sterling,80,48,4070,1122,standishsterling central jrsr high school,STANDISH
utica eisenhower high school,Utica Eisenhower,88,55,4071,390,eisenhower high school,SHELBY TOWNSHIP
trinity catholic high school,Harper Woods Trinity,87,58,4072,1320,austin catholic high school,CHESTERFIELD
addison high school,Addison,100,77,4073,14,addison high school,ADDISON
kingston high school,Kingston,100,57,4074,671,kingston high school,KINGSTON
boyne city high school,Boyne City,100,50,4075,126,boyne city high school,BOYNE CITY
michigan lutheran seminary,Saginaw Michigan Lutheran Seminary,100,77,4076,1407,michigan lutheran seminary,SAGINAW
anchor bay high school,New Baltimore Anchor Bay,100,52,4077,43,anchor bay high school,IRA
onaway area high school,Onaway,89,45,4078,1147,tawas area high school,TAWAS CITY
davison high school,Davison,100,62,4079,321,davison high school,DAVISON
warren mott high school,Warren Mott,100,53,4080,1233,warren mott high school,WARREN
southwestern high school,Detroit Southwestern,96,52,4081,1098,southeastern high school,Detroit
petoskey high school,Petoskey,100,50,4082,979,petoskey high school,PETOSKEY
flint central academy,Flint Central Academy,83,72,4083,213,central academy,ANN ARBOR
westwood high school,Ishpeming Westwood,100,62,4084,1279,westwood high school,ISHPEMING
marian high school,Bloomfield Hills Marian,94,63,4085,17,adrian high school,ADRIAN
whitmore lake high school,Whitmore Lake,100,58,4086,1291,whitmore lake high school,WHITMORE LAKE
academy of the sacred heart,Bloomfield Hills Academy of the Sacred Heart,100,68,4087,1314,academy of the sacred heart,BLOOMFIELD HILLS
maxey training school,Whitmore Lake Maxey Training School,72,67,4088,785,marion high school,Marion
riverview east high school,St Clair Riverview East,100,53,4089,1042,riverview east high school,MARINE CITY
hamady high school,Flint Hamady,89,57,4090,49,armada high school,ARMADA
bridgman high school,Bridgman,100,50,4091,142,bridgman high school,BRIDGMAN
holt lutheran school high school,Holt Lutheran,75,46,4092,1457,valley lutheran high school,SAGINAW
port huron northern high school,Port Huron Northern,100,64,4093,1002,port huron northern high school,PORT HURON
northern high school,Detroit Northern,100,53,4094,903,northern high school,GRAND RAPIDS
gaylord high school,Gaylord,92,40,4095,1149,taylor high school,TAYLOR
vassar high school,Vassar,86,60,4096,399,evart high school,EVART
all saints catholic high school,Bay City All Saints,86,57,4097,1320,austin catholic high school,CHESTERFIELD
kent city high school,Kent City,100,47,4098,663,kent city high school,KENT CITY
albion high school,Albion,89,50,4099,38,almont high school,ALMONT
mackenzie high school,Detroit Mackenzie,83,50,4100,688,lakeview high school,LAKEVIEW
tecumseh high school,Tecumseh,100,50,4101,1154,tecumseh high school,TECUMSEH
greenville high school,Greenville,91,52,4102,484,grandville high school,GRANDVILLE
north farmington high school,North Farmington,100,64,4103,897,north farmington high school,FARMINGTON HILLS
ovid-elsie high school,Ovid-Elsie,98,45,4104,953,ovidelsie high school,ELSIE
posen high school,Posen,86,36,4105,39,alpena high school,ALPENA
peck community high school,Peck,89,30,4106,277,community high school,ANN ARBOR
deckerville community high school,Deckerville,100,57,4107,328,deckerville community high school,DECKERVILLE
kingsford high school,Kingsford,100,53,4108,668,kingsford high school,KINGSFORD
st mary catholic central high school,Monroe St Mary Catholic Central,100,61,4109,1444,st mary catholic central high school,MONROE
hancock high school,Hancock,86,55,4110,510,hancock middlehigh school,HANCOCK
lutheran northwest high school,Rochester Hills Lutheran Northwest,82,61,4111,910,northwest high school,JACKSON
jonesville high school,Jonesville,100,62,4112,637,jonesville high school,JONESVILLE
lumen christi high school,Jackson Lumen Christi,85,55,4113,1400,lumen christi catholic school,JACKSON
western michigan christian high school,Muskegon Western Michigan Christian,100,64,4114,1465,western michigan christian high school,NORTON SHORES
franklin high school,Livonia Franklin,100,54,4115,432,franklin high school,LIVONIA
charlotte high school,Charlotte,86,50,4116,193,caro high school,CARO
bay city western high school,Bay City Western,100,59,4117,81,bay city western high school,AUBURN
oakland christian high school,Auburn Hills Oakland Christian,91,64,4118,1422,oakland christian school,AUBURN HILLS
chadsey high school,Detroit Chadsey,86,60,4119,55,ashley high school,Ashley
otsego baptist academy,Otsego Baptist,83,53,4120,1362,fostoria baptist academy,FOSTORIA
brethren high school,Brethren,100,50,4121,137,brethren high school,BRETHREN
highland park community high school,Highland Park Community,82,61,4122,416,flat rock community high school,FLAT ROCK
oak park high school,Oak Park,100,43,4123,915,oak park high school,OAK PARK
bishop gallagher high school,Harper Woods Bishop Gallagher,75,60,4124,1086,shepherd high school,SHEPHERD
caro high school,Caro,100,38,4125,193,caro high school,CARO
jenison high school,Jenison,100,77,4126,628,jenison high school,JENISON
stephenson high school,Stephenson,93,50,4127,1127,stevenson high school,LIVONIA
st johns high school,St Johns,100,43,4128,1118,st johns high school,SAINT JOHNS
johannesburg-lewiston high school,Johannesburg-Lewiston,98,68,4129,633,johannesburglewiston high school,Johannesburg
star international academy,Dearborn Heights Star International,100,60,4130,1123,star international academy,DEARBORN HEIGHTS
u of d jesuit high school,Detroit U of D Jesuit,76,56,4131,1015,quest high school,North Branch
new lothrop high school,New Lothrop,100,53,4132,874,new lothrop high school,New Lothrop
suttons bay high school,Suttons Bay,87,52,4133,1141,suttons bay senior high school,Suttons Bay
pioneer high school,Ann Arbor Pioneer,100,50,4134,992,pioneer high school,ANN ARBOR
west michigan academy of envir science,Walker West Michigan Academy of Environmental Science,82,75,4135,1268,west mi academy of environmental science,GRAND RAPIDS
inkster high school,Inkster,84,44,4136,373,eastern high school,ADA
clio high school,Clio,91,40,4137,261,clinton high school,CLINTON
sterling heights high school,Sterling Heights,78,67,4138,929,ogemaw heights high school,West Branch
notre dame high school,Harper Woods Notre Dame,82,59,4139,899,north lake high school,SAINT CLAIR SHORES
monroe high school,Monroe,100,42,4140,842,monroe high school,MONROE
detroit midtown academy,Detroit Midtown Academy,69,63,4141,340,detroit public safety academy,DETROIT
salem high school,Salem,100,50,4142,1067,salem high school,CANTON
whiteford high school,Ottawa Lake Whiteford,100,62,4143,1289,whiteford high school,OTTAWA LAKE
mackinaw city high school,Mackinaw City,89,59,4144,761,mackinaw high school,SAGINAW
st mary cathedral high school,Gaylord St Mary,91,48,4145,1443,st mary cathedral school,GAYLORD
washtenaw christian academy,Saline Washtenaw Christian,100,64,4146,1460,washtenaw christian academy,SALINE
clare high school,Clare,100,50,4147,251,clare high school,CLARE
napoleon high school,Napoleon,100,57,4148,868,napoleon high school,Napoleon
hart high school,Hart,100,44,4149,523,hart high school,HART
zeeland east high school,Zeeland East,100,56,4150,1312,zeeland east high school,ZEELAND
lincoln high school,Warren Lincoln,100,54,4151,729,lincoln high school,WARREN
schoolcraft high school,Schoolcraft,100,59,4152,1079,schoolcraft high school,SCHOOLCRAFT
detroit international academy,Detroit International Academy,87,80,4153,1123,star international academy,DEARBORN HEIGHTS
carson city-crystal high school,Carson City-Crystal,98,61,4154,197,carson citycrystal high school,Carson City
walled lake western high school,Walled Lake Western,100,64,4155,1231,walled lake western high school,COMMERCE TOWNSHIP
cleveland intermediate high school,Detroit Cleveland Intermediate,76,51,4156,1312,zeeland east high school,ZEELAND
edwin denby high school,Detroit Denby,85,50,4157,331,denby high school,Detroit
linden high school,Linden,100,50,4158,734,linden high school,LINDEN
chippewa hills high school,Remus Chippewa Hills,100,52,4159,243,chippewa hills high school,REMUS
south christian high school,Grand Rapids South Christian,100,61,4160,1439,south christian high school,BYRON CENTER
unity christian high school,Hudsonville Unity Christian,100,57,4161,1456,unity christian high school,HUDSONVILLE
baldwin community schools,Baldwin,84,46,4162,60,atlanta community schools,ATLANTA
east lansing high school,East Lansing,100,56,4163,371,east lansing high school,EAST LANSING
flint northwestern high school,Flint Northwestern,82,53,4164,910,northwest high school,JACKSON
kalamazoo central high school,Kalamazoo Central,100,65,4165,643,kalamazoo central high school,KALAMAZOO
lake orion high school,Lake Orion,87,56,4166,683,laker high school,PIGEON
cardinal mooney catholic high school,Marine City Cardinal Mooney,80,56,4167,1338,cardinal mooney catholic,MARINE CITY
eaton rapids high school,Eaton Rapids,100,56,4168,379,eaton rapids high school,EATON RAPIDS
port hope community high school,Port Hope,90,43,4169,1005,portage community high school,PORTAGE
evart high school,Evart,100,50,4170,399,evart high school,EVART
montague high school,Montague,100,50,4171,844,montague high school,MONTAGUE
mattawan high school,Mattawan,100,50,4172,801,mattawan high school,MATTAWAN
st philip catholic central high school,Battle Creek St Philip,86,59,4173,1444,st mary catholic central high school,MONROE
detour high school,DeTour,100,33,4174,334,detour high school,DeTour Village
st florian high school,Hamtramck St Florian,86,54,4175,1121,st louis high school,SAINT LOUIS
ionia high school,Ionia,100,36,4176,606,ionia high school,IONIA
