MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
harper woods chandler park,3858,B,Chandler Park Academy,Eagles,"harper academy, progress park",
inkster academy,3859,,Academy of Inkster,,"academic and career education academy, academy 21",
grosse pointe woods university liggett,3860,C,University Liggett HS,Knights,"arts academy in the woods, compass pointe",
saginaw arts & sciences academy,3861,C,Saginaw Arts & Sciences Academy,Dragons,"saginaw arts and sciences academy, 54th street academy",
ann arbor central academy,3862,D,Central Academy HS,Falcons,"central academy, academy 21",
bay city john glenn,3863,B,John Glenn HS,Bobcats,"bay city academy farragut campus, carson city correctional facility",
paw paw,3864,B,Paw Paw HS,Red Wolves,paw paw high school,
holland black river,3865,C,Black River HS,Rats,"black river public school middlehigh, grand river preparatory high school",
bridgeport,3866,B,Bridgeport HS,Bearcats,"bridgeport high school, bridgeport baptist academy",
boyne city concord academy,3867,D,Concord Academy Boyne,Kestrels,"concord academy boyne, academy 21",
coldwater,3868,A,Coldwater HS,Cardinals,coldwater high school,
detroit southeastern,3869,B,Southeastern HS,Jungaleers,"covenant house academy detroit central site, covenant house academy detroit east site",
kingsley,3870,B,Kingsley Area HS,Stags,"kingsley area high school, kingsley montgomery school",
white lake lakeland,3871,A,Lakeland HS,Eagles,"ackerson lake community education, gull lake virtual partnership",
new haven merritt middle school,3872,,Merritt Academy Middle School,,"academy for business and technology high school, actech high school",
homer,3873,C,Homer HS,Trojans,"homer community high school, calhoun county juvenile home",
big rapids crossroads academy,3874,D,Crossroads Charter Academy,Cougars,"54th street academy, academy 21",
laingsburg,3875,C,Laingsburg HS,Wolfpack,"laingsburg high school, laingsburg christian school",
southfield bradford academy,3876,C,Bradford Academy HS,Bulldogs,"bradford academy, academy 21",
berrien springs,3877,B,Berrien Springs HS,Shamrocks,"berrien springs discovery academy, berrien springs high school",
dewitt,3878,A,DeWitt HS,Panthers,dewitt high school,
bad axe,3879,C,Bad Axe HS,Hatchets,bad axe high school,
warren fitzgerald,3880,A,Fitzgerald HS,Spartans,"fitzgerald senior high school, fitzgerald virtual academy",
academy of health & science,3881,,Academy of Health & Science,,"academy 21, academy for business and technology high school",
lansing everett,3882,A,Everett HS,Vikings,"east lansing high school, nextech high school of lansing",
ubly,3883,C,Ubly HS,Bearcats,ubly community jrsr high school,
wayne memorial,3884,A,Wayne Memorial HS,Zebras,"wayne memorial high school, ea johnson memorial hs",
hamilton,3885,B,Hamilton HS,Hawkeyes,"hamilton flex, hamilton high school",
interlochen,3886,,Interlochen Arts Academy,,"interlochen early childhood and innovation center, interlochen arts academy",
portage central,3887,A,Portage Central HS,Mustangs,"portage central high school, battle creek central high school",
muskegon catholic central,3888,D,Muskegon Catholic Central HS,Crusaders,"muskegon catholic central, central academy",
brooklyn columbia central,3889,B,Columbia Central HS,Golden Eagles,"central academy, central michigan correctional facility",
wyandotte mt carmel,3890,,Mt Carmel HS,Comets,"mt morris education and community center, mt pleasant senior high school",
whittemore-prescott,3891,C,Whittemore-Prescott HS,Cardinals,whittemoreprescott jrsr high school,
niles,3892,B,Niles HS,Vikings,"niles cedar lane, niles comm schools adult education",
detroit mumford,3893,A,Mumford HS,Mustangs,"covenant house academy detroit central site, covenant house academy detroit east site",
mason county central,3894,C,Mason County Central HS,Spartans,"mason county central hs, allegan county area technical and education center",
madison heights bishop foley,3895,C,Bishop Foley Catholic HS,Ventures,madison school,
hart lakeshore academy,3896,,Lakeshore Public Academy,,"academic and career education academy, academy 21",
grosse ile,3897,B,Grosse Ile HS,Red Devils,"grosse ile high school, grosse pointe north high school",
delton kellogg,3898,C,Delton Kellogg HS,Panthers,"thornapple kellogg high school, wk kellogg preparatory high school",
pittsford,3899,D,Pittsford HS,Wildcats,pittsford area high school,
colon,3900,D,Colon Community HS,Magi,colon high school,
oscoda,3901,C,Oscoda HS,Owls,oscoda area high school,
rogers city,3902,D,Rogers City HS,Hurons,"rogers city high school, bay city academy farragut campus",
marine city,3903,B,Marine City HS,Mariners,"marine city high school, bay city academy farragut campus",
sterling heights bethesda christian,3904,,Bethesda Christian HS,,"algoma christian school, faith christian school",
big rapids,3905,B,Big Rapids HS,Cardinals,"big rapids high school, big rapids virtual school",
vicksburg,3906,B,Vicksburg HS,Bulldogs,"vicksburg high school, vicksburg pathways high school",
detroit weston preparatoy academy,3907,,Weston Preparatory Academy,Wildcats,"54th street academy, academy 21",
ferndale university,3908,B,University HS,Eagles,"grand rapids university preparatory academy, university high school academy",
trenton,3909,A,Trenton HS,Trojans,trenton high school,
clinton,3910,C,Clinton HS,Redwolves,"clinton county education center, clinton high school",
detroit st martin deporres,3911,,St Martin De Porres HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
chelsea,3912,B,Chelsea HS,Bulldogs,chelsea high school,
benton harbor countryside academy,3913,D,Countryside Academy,Cougars,"54th street academy, academy 21",
algonac,3914,B,Algonac HS,Muskrats,"algonac alternative education, algonac juniorsenior high school",
centreville,3915,C,Centreville HS,Bulldogs,"centreville adult education, centreville jr sr high school",
dearborn heights robichaud,3916,B,Robichaud HS,Bulldogs,link learning grand rapids alger heights,
adrian madison,3917,B,Madison HS,Trojans,"adrian community high school, madison academy high school",
tawas,3918,C,Tawas Area HS,Braves,tawas area high school,
burton centerpoint christian,3919,D,CenterPoint Christian Academy,Lions,flex high burton,
carney-nadeau,3920,D,Carney-Nadeau HS,Wolves,carneynadeau public school,
central montcalm,3921,B,Central Montcalm HS,Hornets,"central montcalm middle high school, link learning stantoncentral montcalm",
boyne falls,3922,D,Boyne Falls HS,Loggers,"boyne falls public school, boyne city high school",
troy,3923,A,Troy HS,Colts,troy high school,
paradise whitefish township,3924,D,Whitefish Township Community School,Rockets,whitefish township school,
marshall academy,3925,D,Marshall Academy HS,Griffons,"marshall academy, academic and career education academy",
chesaning,3926,B,Chesaning HS,Indians,"chesaning union high school, chesaning union schools alternative education",
bloomfield hills lahser,3927,,Lahser HS,Knights,,
elk rapids,3928,B,Elk Rapids HS,Elks,"elk rapids high school, big rapids high school",
warren woods tower,3929,A,Warren Woods-Tower HS,Titans,"warren woods tower high school, harper woods virtual academy",
st joseph michigan lutheran,3930,D,Michigan Lutheran HS,Titans,"michigan mathematics and science academy dequindre, southern michigan center for science industry smcsi",
shelby,3931,C,Shelby HS,Tigers,shelby high school,
ann arbor huron,3932,A,Huron HS,River Rats,"ann arbor learning community, arbor preparatory high school",
novi,3933,A,Novi HS,Wildcats,"novi high school, novi virtual school",
croswell-lexington,3934,B,Croswell-Lexington HS,Pioneers,croswelllexington high school,
shepherd morey public school,3935,,Morey Public School Academy,Malamutes,"academy for business and technology high school, actech high school",
lansing christian,3936,D,Lansing Christian HS,Pilgrims,"nextech high school of lansing, the early college lansing community college",
detroit murray-wright,3937,,Murray-Wright HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
clinton township chippewa valley,3938,A,Chippewa Valley HS,Big Reds,"burt township school, clinton high school",
detroit finney,3939,,Finney HS,Highlanders,"covenant house academy detroit central site, covenant house academy detroit east site",
eastpointe,3940,B,Eastpointe HS,Shamrocks,"eastpointe alternative center, eastpointe high school",
melvindale academy for business & tech,3941,D,Academy for Business & Tech,Gators,"54th street academy, academy 21",
portland st patrick,3942,D,St Patrick HS,Shamrocks,"st charles community middlehigh school, st clair county intervention academy",
new boston huron,3943,A,Huron HS,Chiefs,"huron ai center frcs frhs program, huron area technical center",
sand creek,3944,C,Sand Creek HS,Aggies,"sand creek high school, battle creek area learning center",
ecorse,3945,C,Ecorse HS,Raiders,ecorse community high school,
powers north central,3946,D,North Central HS,Jets,"battle creek central high school, central michigan correctional facility",
troy athens,3947,A,Athens HS,Red  Hawks,"athens high school, athens juniorsenor high school",
eau claire,3948,C,Eau Claire HS,Fighting Beavers,"way eau claire, eau claire high school",
pickford,3949,D,Pickford HS,Panthers,pickford public schools,
ferndale,3950,B,Ferndale HS,Eagles,ferndale high school,
battle creek family altar christian,3951,,Family Altar Christian,,"sand creek high school, algoma christian school",
comstock park,3952,B,Comstock Park HS,Panthers,"comstock park flex academy, comstock park high school",
detroit universal academy,3953,C,Universal Academy,Eagles,"universal academy, academy 21",
maple city glen lake,3954,C,Glen Lake HS,Lakers,"ackerson lake community education, bay city academy farragut campus",
harrison township l'anse creuse,3955,A,L'Anse Creuse HS,Lancers,"burt township school, harrison center",
chassell,3956,D,Chassell HS,Panthers,chassell k12 school,
ann arbor skyline,3957,A,Skyline HS,Eagles,"ann arbor learning community, arbor preparatory high school",
detroit construction trades,3958,,Mich Inst for Const Trades & Technology,,"covenant house academy detroit central site, covenant house academy detroit southwest site",
redford union,3959,B,Redford Union HS,Panthers,"redford union high school, redford union virtual learning",
river rouge,3960,A,River Rouge HS,Panthers,"river rouge alternative virtual academy, river rouge high school",
cedarville,3961,D,Cedarville HS,Islanders,cedarville school,
dexter,3962,A,Dexter HS,Dreadnaughts,"dexter alternative school, dexter high school",
wyoming potter's house christian,3963,C,The Potter's House Christian HS,Pumas,"vestaburg community alternative education school wyoming, wyoming high school",
webberville,3964,D,Webberville Community HS,Spartans,webberville high school,
saginaw buena vista,3965,,Buena Vista HS,Knights,"saginaw arts and sciences academy, saginaw correctional facility",
gobles,3966,C,Gobles HS,Tigers,"gobles high school, gobles virtual academy",
midland dow,3967,A,HH Dow HS,Chargers,"hh dow high school, midland high school",
petersburg summerfield,3968,D,Summerfield HS,Bulldogs,summerfield juniorsenior high school,
mason,3969,A,Mason HS,Bulldogs,"mason county central hs, mason high school",
st clair shores lakeview,3970,A,Lakeview HS,Huskies,"st charles community middlehigh school, st clair county intervention academy",
three oaks river valley,3971,D,River Valley HS,Mustangs,"black river public school middlehigh, chippewa valley adult and mohegan alt educ",
clinton township clintondale,3972,B,Clintondale HS,Dragons,,
burton st thomas more academy,3973,,St Thomas More Academy,Crusaders,"54th street academy, academy 21",
leland,3974,D,Leland HS,Comets,leland public school,
houghton lake,3975,C,Houghton Lake HS,Bobcats,"houghton lake community education, houghton lake jrsr high school",
allen park cabrini,3976,C,Cabrini HS,Monarchs,"allen park community school, chandler park academy high school",
iron mountain,3977,C,Iron Mountain HS,Mountaineers,"iron mountain high school, west iron county high school",
harrison,3978,C,Harrison Community HS,Hornets,"gus harrison correctional facility, harrison alternative education",
international academy of flint,3979,C,International Academy of Flint,Phoenix,"international academy, international academy of flint k12",
grand blanc,3980,A,Grand Blanc HS,Bobcats,"grand blanc community high school, covenant house academy grand rapids",
manistique,3981,C,Manistique HS,Emeralds,manistique middle and high school,
gladwin,3982,B,Gladwin HS,Flying G's,"claregladwin area school, gladwin community alternative hs",
allegan,3983,B,Allegan HS,Tigers,"allegan alternative high school, allegan county area technical and education center",
haslett,3984,A,Haslett HS,Vikings,haslett high school,
new buffalo,3985,C,New Buffalo HS,Bison,"new buffalo senior high school, new beginnings alternative high school",
adrian,3986,B,Adrian HS,Maples,"adrian community high school, adrian high school",
alma,3987,B,Alma HS,Panthers,alma senior high school,
decatur,3988,C,Decatur HS,Raiders,decatur jr sr high school,
dearborn riverside academy west,3989,C,Dearborn Riverside Academy-West,Wildcats,"riverside academy, 54th street academy",
bloomfield hills brother rice,3990,A,Brother Rice HS,Warriors,,
flushing,3991,A,Flushing HS,Raiders,flushing high school,
st clair shores south lake,3992,B,South Lake HS,Cavaliers,"capstone academy charter school sda south campus, virtual learning academyof st clair county",
st ignace,3993,C,St Ignace HS,Saints,"ace, st ignace juvenile detention facility",
east martin christian,3994,,East Martin Christian HS,Crusaders,"covenant house academy detroit east site, east english village preparatory academy",
montrose,3995,C,Montrose Hill-McCloy HS,Rams,montrose alternative education center,
orchard lake st mary's,3996,B,St Mary Preparatory HS,Eaglets,"ackerson lake community education, houghton lake community education",
mount clemens,3997,C,Mt Clemens HS,Battling Bathers,"mount clemens center for lifelong learning, mount clemens high school",
romulus,3998,B,Romulus HS,Eagles,"romulus adult education alternative, romulus senior high school",
taylor trillium academy,3999,D,Trillium Academy,TAHS,"trillium academy, academic and career education academy",
hastings,4000,B,Hastings HS,Saxons,hastings high school,
hillsdale will carleton academy,4001,D,Will Carleton Academy,Cougars,"eton academy, 54th street academy",
galesburg-augusta,4002,C,Galesburg-Augusta HS,Rams,"galesburgaugusta alternative education, galesburgaugusta high school",
lansing catholic,4003,B,Lansing Catholic HS,Cougars,"east lansing high school, nextech high school of lansing",
grosse pointe south,4004,A,Grosse Pointe South HS,Blue Devils,"grosse pointe south high school, capstone academy charter school sda south campus",
milan,4005,B,Milan HS,Big Reds,"milan alternative education, milan high school",
newport lutheran south,4006,,Lutheran HS South,Saints,"capstone academy charter school sda south campus, huron valley lutheran high school",
hazel park,4007,B,Hazel Park HS,Vikings,"hazel park high school, allen park community school",
burton bendle,4008,C,Bendle HS,Tigers,,
flint powers catholic,4009,B,Powers Catholic HS,Chargers,"international academy of flint k12, bishop foley catholic high school",
auburn hills avondale,4010,A,Avondale HS,Yellow Jackets,"kenowa hills pathways high school, rochester hills christian school",
lansing waverly,4011,A,Waverly HS,Warriors,"east lansing high school, nextech high school of lansing",
fremont,4012,B,Fremont HS,Packers,fremont high school,
vandercook lake,4013,C,Vandercook Lake HS,Jayhawks,"vandercook lake high school, vandercook lake virtual academy",
dryden,4014,D,Dryden HS,Cardinals,dryden high school,
byron center,4015,A,Byron Center HS,Bulldogs,"byron center charter school, byron center high school",
escanaba,4016,B,Escanaba HS,Eskymos,"escanaba juniorsenior high school, escanaba student success center",
grand rapids kent occupational,4017,,Kent Occupational HS,,,
grandville calvin christian,4018,C,Calvin Christian HS,Squires,grandville calvin christian high school,00643438
battle creek lakeview,4019,A,Lakeview HS,Spartans,"battle creek area learning center, battle creek central high school",
kalamazoo christian,4020,C,Kalamazoo Christian HS,Comets,"kalamazoo christian school, kalamazoo christian schools",
gwinn,4021,C,Gwinn HS,Modeltowners,gwinn middlehigh school,
grand rapids gateway,4022,,Gateway HS,,"covenant house academy grand rapids, gateway to collegemott community college",
traverse city college prep academy,4023,,Traverse City College Prep Academy,Knights,"54th street academy, academy 21",
hanover-horton,4024,C,Hanover-Horton HS,Comets,hanoverhorton high school,
norway,4025,D,Norway HS,Knights,norway high school,
jackson,4026,A,Jackson HS,Vikings,"east jackson secondary school, jackson area career center",
marenisco,4027,,Marenisco HS,,wakefieldmarenisco school,
detroit riverside,4028,,Riverside Academy,,"covenant house academy detroit central site, covenant house academy detroit east site",
deerfield,4029,,Deerfield HS,,britton deerfield schoolsbritton building,
sterling heights stevenson,4030,A,Utica Stevenson HS,Titans,"link learning grand rapids alger heights, sterling heights senior hs",
grand rapids covenant christian,4031,C,Covenant Christian HS,Chargers,,
battle creek central,4032,A,Central HS,Bearcats,"battle creek central high school, battle creek area learning center",
marquette,4033,A,Marquette HS,Redmen/Redettes,"marquette branch prison, marquette senior high school",
byron center zion christian,4034,D,Zion Christian HS,Mountaineers,"allegan county area technical and education center, apollo center",
st joseph,4035,A,St Joseph HS,Bears,"st joseph high school, link learning st louis",
battle creek pennfield,4036,B,Pennfield HS,Panthers,"battle creek area learning center, bellamy creek correctional facility",
bellaire,4037,D,Bellaire HS,Eagles,bellaire middlehigh school,
waterford mt zion christian,4038,,Mt Zion Christian School,,,
st clair,4039,B,St Clair HS,Saints,"st clair county intervention academy, st clair high school",
walled lake northern,4040,A,Walled Lake Northern HS,Knights,"walled lake northern high school, ackerson lake community education",
saginaw swan valley,4041,B,Swan Valley HS,Vikings,"chippewa valley adult and mohegan alt educ, maple valley jrsr high school",
lansing eastern,4042,B,Eastern HS,Quakers,"bay city eastern high school, east lansing high school",
covert,4043,D,Covert HS,Bulldogs,covert high school,
coopersville,4044,A,Coopersville HS,Broncos,coopersville high school,
ludington,4045,B,Ludington HS,Orioles,ludington high school,
redford bishop borgess,4046,,Bishop Borgess HS,,bishop foley catholic high school,00637209
rochester hills stoney creek,4047,A,Stoney Creek HS,Cougars,rochester community schools virtual campus,
muskegon reeths-puffer,4048,A,Reeths-Puffer HS,Rockets,"muskegon community education center, muskegon county juvenile transition center",
wyoming kelloggsville,4049,B,Kelloggsville HS,Rockets,vestaburg community alternative education school wyoming,
plymouth,4050,A,Plymouth HS,Wildcats,"plymouth high school, plymouth christian academy",
new haven,4051,C,New Haven HS,Rockets,"new haven high school, grand haven cyber school",
clarkston,4052,A,Clarkston HS,Wolves,"clarkston high school, clarkston junior high school",
comstock,4053,C,Comstock HS,Colts,"comstock compass high school, comstock high school",
britton-macon,4054,,Britton-Macon HS,Tories,britton deerfield schoolsbritton building,
saugatuck,4055,C,Saugatuck HS,Trailblazers,saugatuck high school,
cadillac heritage christian,4056,,Cadillac Heritage Christian School,,cadillac heritage christian school,02038906
tekonsha,4057,D,Tekonsha HS,Indians,tekonsha schools,
lawrence,4058,D,Lawrence HS,Tigers,lawrence jrsr high school,
cadillac,4059,A,Cadillac HS,Vikings,"cadillac innovation high school, cadillac senior high school",
marysville,4060,B,Marysville HS,Vikings,marysville high school,
capac,4061,C,Capac HS,Chiefs,"capac jrsr high school, capac virtual education program",
kent city algoma christian,4062,,Algoma Christian School,Knights,"city middlehigh, dollar baytamarack city area k12 school",
manistee,4063,B,Manistee HS,Chippewas,"manistee isd center programs, manistee middle high school",
farwell,4064,C,Farwell Area HS,Eagles,"farwell high school, farwell timberland alternative high school",
birmingham groves,4065,A,Wylie E Groves HS,Falcons,"wylie e groves high school, brightmont academy birmingham",
ogemaw heights,4066,B,Ogemaw Heights HS,Falcons,"ogemaw heights high school, alternative educational academy of ogemaw county",
merrill,4067,C,Merrill HS,Vandals,"link learning merrill, merrill high school",
lincoln park,4068,A,Lincoln Park HS,Railsplitters,"lincoln park high school, allen park community school",
southfield christian,4069,D,Southfield Christian HS,Eagles,"southfield christian school, southfield high school for the arts and technology",
standish-sterling,4070,B,Standish-Sterling HS,Panthers,"sterling heights senior hs, standishsterling central jrsr high school",
utica eisenhower,4071,A,Utica Eisenhower HS,Eagles,,
harper woods trinity,4072,,Trinity Catholic HS,,"the harper woods college and career institute, warren woods tower high school",
addison,4073,C,Addison HS,Panthers,addison high school,
kingston,4074,C,Kingston HS,Cardinals,kingston high school,
boyne city,4075,B,Boyne City HS,Ramblers,"boyne city high school, bay city academy farragut campus",
saginaw michigan lutheran seminary,4076,D,Michigan Lutheran Seminary,Cardinals,"michigan lutheran seminary, michigan cyber academy",
new baltimore anchor bay,4077,A,Anchor Bay HS,Tars,"bay pines center, new beginnings alternative high school",
onaway,4078,D,Onaway Area HS,Cardinals,onaway senior high school,
davison,4079,A,Davison HS,Cardinals,"davison alternative education, davison high school",
warren mott,4080,A,Warren Mott HS,Marauders,"warren mott high school, mott middle college high school",
detroit southwestern,4081,,Southwestern HS,Prospectors,"covenant house academy detroit central site, covenant house academy detroit east site",
petoskey,4082,A,Petoskey HS,Northmen,"concord academy petoskey, petoskey high school",
flint central academy,4083,,Flint Central Academy,,"central academy, academic and career education academy",
ishpeming westwood,4084,C,Westwood HS,Patriots,,
bloomfield hills marian,4085,B,Marian HS,Mustangs,,
whitmore lake,4086,C,Whitmore Lake HS,Trojans,"whitmore lake high school, ackerson lake community education",
bloomfield hills academy of the sacred heart,4087,D,Academy Of The Sacred Heart,Gazelles,"academy of the sacred heart, 54th street academy",
whitmore lake maxey training school,4088,,Maxey Training School,,"actech high school, addison high school",
st clair riverview east,4089,,Riverview East HS,,"covenant house academy detroit east site, east english village preparatory academy",
flint hamady,4090,B,Hamady HS,Hawks,"flex high north flint, flint cultural center academy",
bridgman,4091,C,Bridgman HS,Bees,bridgman high school,
holt lutheran,4092,,Holt Lutheran School HS,Hawks,"holt senior high school, huron valley lutheran high school",
port huron northern,4093,A,Port Huron Northern HS,Huskies,"port huron northern high school, huron ai center frcs frhs program",
detroit northern,4094,,Northern HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
gaylord,4095,A,Gaylord HS,Blue Devils,gaylord high schoolvoc bldg,
vassar,4096,C,Vassar HS,Vulcans,vassar senior high school,
bay city all saints,4097,D,All Saints Catholic HS,Cougars,"bay city academy farragut campus, carson city correctional facility",
kent city,4098,C,Kent City HS,Eagles,"kent city alternative high school, kent city high school",
albion,4099,,Albion HS,Wildcats,,
detroit mackenzie,4100,,Mackenzie HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
tecumseh,4101,B,Tecumseh HS,Indians,"tecumseh high school, tecumseh virtual academy",
greenville,4102,A,Greenville HS,Yellow Jackets,greenville senior high school,
north farmington,4103,A,North Farmington HS,Raiders,"north farmington high school, farmington central high school",
ovid-elsie,4104,B,Ovid-Elsie HS,Marauders,"ovidelsie comm edalt hs, ovidelsie high school",
posen,4105,D,Posen HS,Vikings,posen consolidated high school,
peck,4106,D,Peck Community HS,Pirates,peck jrsr high school,
deckerville,4107,D,Deckerville Community HS,Eagles,deckerville community high school,
kingsford,4108,B,Kingsford HS,Flivvers,kingsford high school,
monroe st mary catholic central,4109,C,St Mary Catholic Central HS,Falcons/Kestrels,"central academy, central high school",
hancock,4110,C,Hancock HS,Bulldogs,hancock middlehigh school,
rochester hills lutheran northwest,4111,C,Lutheran Northwest HS,Crusaders,"northwest high school, rochester high school",
jonesville,4112,C,Jonesville HS,Comets,"jonesville high school, jonesville pathways",
jackson lumen christi,4113,C,Lumen Christi HS,Titans,"jackson isd local based special education programs, jackson preparatory early college",
muskegon western michigan christian,4114,C,Western Michigan Christian HS,Warriors,"michigan cyber academy, michigan online school",
livonia franklin,4115,A,Franklin HS,Patriots,"benjamin franklin middle school, livonia career technical center",
charlotte,4116,B,Charlotte HS,Orioles,"charlotte early middle college, charlotte public schools project success",
bay city western,4117,A,Bay City Western HS,Warriors,"bay city western high school, bay city academy farragut campus",
auburn hills oakland christian,4118,D,Oakland Christian HS,Lancers,auburn hills christian school,01614075
detroit chadsey,4119,,Chadsey HS,,"covenant house academy detroit central site, covenant house academy detroit east site",
otsego baptist,4120,,Otsego Baptist Academy,,"otsego west campus high school, berean baptist academy",
brethren,4121,D,Brethren HS,Bobcats,brethren high school,
highland park community,4122,,Highland Park Community HS,Polar Bears,"cedar street community and family center, consolidated community school services",
oak park,4123,A,Oak Park HS,Knights,"oak park high school, oak park virtual academy",
harper woods bishop gallagher,4124,,Bishop Gallagher HS,,"harper academy, the harper woods college and career institute",
caro,4125,B,Caro HS,Tigers,"caro alternative high school, caro high school",
jenison,4126,A,Jenison HS,Wildcats,"jenison high school, jenison international academy",
stephenson,4127,D,Stephenson HS,Eagles,stephenson area public school,
st johns,4128,A,St Johns HS,Redwings,"st johns high school, link learning st louis",
johannesburg-lewiston,4129,C,Johannesburg-Lewiston HS,Cardinals,johannesburglewiston high school,
dearborn heights star international,4130,B,Star International Academy,Falcons,"american international academy high schoolmiddle schooll, dearborn high school",
detroit u of d jesuit,4131,A,U of D Jesuit HS,Cubs,"academy of science math and technology early college high sc, academy of the americas high school",
new lothrop,4132,C,New Lothrop HS,Hornets,"new lothrop high school, new beginnings alternative high school",
suttons bay,4133,D,Suttons Bay HS,Norsemen,"suttons bay senior high school, suttons bay virtual school",
ann arbor pioneer,4134,A,Pioneer HS,Pioneers,"ann arbor learning community, arbor preparatory high school",
walker west michigan academy of environmental science,4135,,West Michigan Academy of Envir Science,Eagles,"west mi academy of environmental science, 54th street academy",
inkster,4136,,Inkster HS,Vikings,,
clio,4137,B,Clio HS,Mustangs,"clio area high school, clio community high school",
sterling heights,4138,A,Sterling Heights HS,Stallions,"sterling heights senior hs, dearborn heights virtual academy",
harper woods notre dame,4139,,Notre Dame HS,,"harper academy, the harper woods college and career institute",
monroe,4140,A,Monroe HS,Trojans,"monroe county education center, monroe county middle college",
detroit midtown academy,4141,,Detroit Midtown Academy,Magic,"academic and career education academy, academy 21",
salem,4142,A,Salem HS,Rocks,salem high school,
ottawa lake whiteford,4143,C,Whiteford HS,Bobcats,"ackerson lake community education, houghton lake community education",
mackinaw city,4144,D,Mackinaw City HS,Comets,"mackinaw city k12 school, bay city academy farragut campus",
gaylord st mary,4145,D,St Mary Cathedral HS,Snowbirds,"gaylord high schoolvoc bldg, st charles community middlehigh school",
saline washtenaw christian,4146,,Washtenaw Christian Academy,Wildcats,"washtenaw alliance for virtual education, washtenaw county youth center educational programs",
clare,4147,B,Clare HS,Pioneers,"clare high school, clare pioneer high school",
napoleon,4148,C,Napoleon HS,Pirates,napoleon high school,
hart,4149,B,Hart HS,Pirates,"byron center charter school, crossroads charter academy 712",
zeeland east,4150,A,Zeeland East HS,Chix,"zeeland east high school, covenant house academy detroit east site",
warren lincoln,4151,B,Lincoln HS,Abes,"lincoln alternative high school, lincoln developmental center",
schoolcraft,4152,C,Schoolcraft HS,Eagles,"deltaschoolcraft area center, link learning schoolcraft",
detroit international academy,4153,D,Detroit International Academy,Lady Pink Panthers,"international academy, detroit international academy for young women",
carson city-crystal,4154,C,Carson City-Crystal HS,Eagles,"bay city academy farragut campus, benjamin carson high school of science and medicine",
walled lake western,4155,A,Walled Lake Western HS,Warriors,"walled lake western high school, ackerson lake community education",
detroit cleveland intermediate,4156,,Cleveland Intermediate HS,Trojans,"covenant house academy detroit southwest site, detroit collegiate preparatory high school at northwestern",
detroit denby,4157,B,Edwin Denby HS,Tars,"covenant house academy detroit central site, covenant house academy detroit east site",
linden,4158,A,Linden HS,Eagles,"lake lindenhubbell schools, linden high school",
remus chippewa hills,4159,B,Chippewa Hills HS,Warriors,"chippewa correctional facility, chippewa valley adult and mohegan alt educ",
grand rapids south christian,4160,B,South Christian HS,Sailors,"capstone academy charter school sda south campus, grand rapids university preparatory academy",
hudsonville unity christian,4161,B,Unity Christian HS,Crusaders,,
baldwin,4162,D,Baldwin Community Schools,Panthers,baldwin senior high school,
east lansing,4163,A,East Lansing HS,Trojans,"east lansing high school, covenant house academy detroit east site",
