Division,Tournament Name,Host,Location,Teams
2,Baseball District 42,Grand Rapids Catholic Central,Grand Rapids Catholic Central,"['Grand Rapids Catholic Central', 'Hudsonville Unity Christian', 'Wyoming Godwin Heights', 'Wyoming Kelloggsville', 'Wyoming Lee']"
2,Baseball District 43,Hamilton,Hamilton HS,"['Hamilton HS', 'Allegan', 'Holland', 'Holland Christian', 'South Haven']"
2,Baseball District 44,Wayland,Phil Regan Field - Wayland,"['Phil Regan Field - Wayland', 'Hopkins', 'Otsego', 'Plainwell', 'Richland Gull Lake']"
2,Baseball District 45,Berrien Springs,Berrien Springs High School - Baseball,"['Berrien Springs High School - Baseball', 'Benton Harbor', 'Edwardsburg', 'Niles', 'Stevensville Lakeshore']"
2,Baseball District 46,Vicksburg,Vicksburg High School (Baseball Game Field),"['Vicksburg High School (Baseball Game Field)', 'Dowagiac', 'Paw Paw', 'Sturgis', 'Three Rivers']"
2,Baseball District 47,Coldwater,CHS Baseball Complex (Lowe Field) - Coldwater,"['CHS Baseball Complex (Lowe Field) - Coldwater', 'Battle Creek Harper Creek', 'Battle Creek Pennfield', 'Marshall', 'Parma Western']"
2,Baseball District 48,Lake Odessa Lakewood,lakewood high school lake odessa - Baseball,"['lakewood high school lake odessa - Baseball', 'Charlotte', 'Eaton Rapids', 'Hastings', 'Olivet']"
2,Baseball District 49,Mason,Mason High School - Baseball,"['Mason High School - Baseball', 'Ann Arbor Father Gabriel Richard', 'Chelsea', 'Pinckney']"
2,Baseball District 50,Adrian,Cliff Nelson Field - Adrian,"['Cliff Nelson Field - Adrian', 'Dundee', 'Milan', 'Tecumseh']"
2,Baseball District 51,Carleton Airport,Airport High School - Carleton (Varsity Baseball Field),"['Airport High School - Carleton (Varsity Baseball Field)', 'Flat Rock', 'Monroe Jefferson', 'New Boston Huron']"
2,Baseball District 52,Trenton,Trenton Baseball Stadium,"['Trenton Baseball Stadium', 'Grosse Ile', 'Riverview', 'Romulus', 'Romulus Summit Academy North']"
2,Baseball District 53,Dearborn Divine Child,Divine Child High School - Dearborn (Baseball Diamond),"['Divine Child High School - Dearborn (Baseball Diamond)', 'Dearborn Heights Annapolis', 'Dearborn Henry Ford Academy', 'Garden City', 'Melvindale']"
2,Baseball District 54,Livonia Clarenceville,Baseball Field - Livonia,"['Baseball Field - Livonia', 'Detroit Cody', 'Detroit Henry Ford', 'Redford Union']"
2,Baseball District 55,Detroit University Prep Art & Design,Detroit University Prep Art & Design,['Detroit University Prep']
2,Baseball District 56,Grosse Pointe Woods University Liggett,"University Liggett School - Baseball - Grosse Pointe Woods, MI 48236","['University Liggett School - Baseball - Grosse Pointe Woods, MI 48236', 'Detroit Denby', 'Detroit East English', 'Harper Woods Chandler Park', 'St Clair Shores South Lake']"
2,Baseball District 57,Hazel Park,Hazel Park High School (Baseball Diamond),"['Hazel Park High School (Baseball Diamond)', 'Center Line', 'Eastpointe', 'Madison Heights Lamphere', 'Warren Fitzgerald']"
2,Baseball District 58,Richmond,Richmond Baseball Facility,"['Richmond Baseball Facility', 'Macomb Lutheran North', 'Marine City', 'Marysville', 'St Clair']"
2,Baseball District 59,North Branch,North Branch High School - Baseball,"['North Branch High School - Baseball', 'Armada', 'Croswell-Lexington', 'Imlay City', 'Yale']"
2,Baseball District 60,Goodrich,Goodrich High School - Baseball,"['Goodrich High School - Baseball', 'Bloomfield Hills Cranbrook Kingswood', 'Detroit Country Day', 'Ortonville Brandon', 'Pontiac Notre Dame Prep']"
2,Baseball District 61,Fowlerville,Gehringer Field - Baseball - Fowlerville,"['Gehringer Field - Baseball - Fowlerville', 'Haslett', 'Lansing Eastern', 'Lansing Sexton', 'Williamston']"
2,Baseball District 62,Owosso,Owosso High School (Baseball Diamond),"['Owosso High School (Baseball Diamond)', 'Corunna', 'Flint Powers Catholic', 'Lake Fenton', 'Linden']"
2,Baseball District 63,Clio,Conlee Field - Clio,"['Conlee Field - Clio', 'Birch Run', 'Flint Hamady', 'Flint Kearsley', 'Frankenmuth']"
2,Baseball District 64,Saginaw Swan Valley,Swan Valley High School - Saginaw,"['Swan Valley High School - Saginaw', 'Bridgeport', 'Carrollton', 'Saginaw Arthur Hill']"
3,Baseball District 65,Negaunee,Irontown Field - Negaunee,"['Irontown Field - Negaunee', 'Calumet', 'Hancock', 'Iron Mountain', 'Ishpeming Westwood']"
3,Baseball District 66,Gladstone,Gladstone Sports Park,"['Gladstone Sports Park', 'Eben Junction Superior Central', 'Manistique', 'Menominee', 'Newberry']"
3,Baseball District 67,Charlevoix,Charlevoix HS,"['Charlevoix HS', 'Boyne City', 'Elk Rapids', 'Kalkaska', 'Mancelona']"
3,Baseball District 68,Houghton Lake,Houghton Lake High School (baseball field),"['Houghton Lake High School (baseball field)', 'Grayling', 'Lake City', 'McBain', 'Roscommon']"
3,Baseball District 69,Hart,Hart Baseball Field,"['Hart Baseball Field', 'Hesperia', 'Mason County Central', 'Morley Stanwood', 'Shelby', 'White Cloud']"
3,Baseball District 70,Traverse City Christian,Traverse City Christian School,"['Traverse City Christian School', 'Benzie Central', 'Manistee', 'Manton', 'Traverse City St Francis']"
3,Baseball District 71,Sanford Meridian,Meridian High School - Baseball - Sanford,"['Meridian High School - Baseball - Sanford', 'Beaverton', 'Oscoda', 'Pinconning', 'Standish-Sterling', 'Tawas']"
3,Baseball District 72,Clare,Brookwood Athletic Complex - Clare,"['Brookwood Athletic Complex - Clare', 'Evart', 'Harrison', 'LeRoy Pine River', 'Reed City', 'Remus Chippewa Hills']"
3,Baseball District 73,Watervliet,Watervliet - Baseball,"['Watervliet - Baseball', 'Bangor', 'Bloomingdale', 'Coloma', 'Hartford']"
3,Baseball District 74,Galesburg-Augusta,Galesburg-Augusta High School - Baseball,"['Galesburg-Augusta High School - Baseball', 'Climax-Scotts', 'Comstock', 'Kalamazoo Christian', 'Parchment']"
3,Baseball District 75,Grandville Calvin Christian,Calvin Christian HS - Baseball - Grandville,"['Calvin Christian HS - Baseball - Grandville', 'Fennville', 'Grand Rapids Covenant Christian', 'Holland Black River', 'Saugatuck']"
3,Baseball District 76,Ravenna,Ravenna Citizen's Field,"[""Ravenna Citizen's Field"", 'Kent City', 'Montague', 'North Muskegon']"
3,Baseball District 77,Hemlock,Hemlock HS Baseball Field,"['Hemlock HS Baseball Field', 'Chesaning', 'Ithaca', 'Ovid-Elsie', 'St Louis']"
3,Baseball District 78,Durand,Durand High School - Baseball (Goudy Field),"['Durand High School - Baseball (Goudy Field)', 'Bath', 'Byron', 'Laingsburg', 'Perry']"
3,Baseball District 79,Vermontville Maple Valley,Maplewood Elementary (Griswald Field) - Vermontville,"['Maplewood Elementary (Griswald Field) - Vermontville', 'Delton Kellogg', 'Lansing Catholic', 'Pewamo-Westphalia', 'Springport']"
3,Baseball District 80,Grand Rapids West Catholic,Grand Rapids West Catholic High School (Baseball Diamond),"['Grand Rapids West Catholic High School (Baseball Diamond)', 'Central Montcalm', 'Grand Rapids NorthPointe Christian', 'Lakeview', 'Saranac']"
3,Baseball District 81,Bridgman,Bridgman HS,"['Bridgman HS', 'Buchanan', 'Cassopolis', 'Lawton', 'Niles Brandywine']"
3,Baseball District 82,Schoolcraft,Schoolcraft High School,"['Schoolcraft High School', 'Bronson', 'Centreville', 'Constantine', 'Union City']"
3,Baseball District 83,Hanover-Horton,Hanover-Horton High School - Baseball,"['Hanover-Horton High School - Baseball', 'Hillsdale', 'Homer', 'Jonesville', 'Quincy']"
3,Baseball District 84,Napoleon,Napoleon High - Baseball,"['Napoleon High - Baseball', 'Brooklyn Columbia Central', 'Jackson Lumen Christi', 'Michigan Center']"
3,Baseball District 85,Grass Lake,Grass Lake High School  - Baseball,"['Grass Lake High School  - Baseball', 'Dansville', 'Leslie', 'Stockbridge']"
3,Baseball District 86,Clinton,Clinton High School - Baseball,"['Clinton High School - Baseball', 'Adrian Madison', 'Hudson', 'Manchester', 'Onsted']"
3,Baseball District 87,Ottawa Lake Whiteford,Whiteford High School - Baseball - Ottawa Lake,"['Whiteford High School - Baseball - Ottawa Lake', 'Blissfield', 'Erie Mason', 'Ida', 'Monroe St Mary Catholic Central']"
3,Baseball District 88,Ann Arbor Greenhills,Concordia University - Ann Arbor,"['Concordia University - Ann Arbor', 'Brighton Charyl Stockwell Prep', 'Canton Prep', 'Dearborn Heights Robichaud', 'Taylor Prep']"
3,Baseball District 89,Detroit Communication Media Arts,Communication & Media Arts High School - Detroit (Stoepel Park),"['Communication & Media Arts High School - Detroit (Stoepel Park)', 'Detroit Jalen Rose Leadership Academy', 'Detroit Loyola']"
3,Baseball District 90,Ecorse,Ecorse High School (Baseball Diamond),"['Ecorse High School (Baseball Diamond)', 'Detroit Cristo Rey', 'Hope of Detroit Academy']"
3,Baseball District 91,Detroit Osborn,Detroit Osborn,"['Detroit Central', 'Detroit Edison', 'Detroit Osborn', 'Detroit Pershing', 'Warren Lincoln']"
3,Baseball District 92,Madison Heights Bishop Foley,Bishop Foley - Baseball - Madison Heights,"['Bishop Foley - Baseball - Madison Heights', 'Clawson', 'Clinton Township Clintondale', 'Madison Heights Madison']"
3,Baseball District 93,Algonac,Algonac High School (Baseball Diamond),"['Algonac High School (Baseball Diamond)', 'Almont', 'Memphis', 'New Haven']"
3,Baseball District 94,Burton Bentley,"Bentley High School (The ""Vuk""  (Named after Coach Jim Vukovich) - Burton","['Bentley High School (The ""Vuk""  (Named after Coach Jim Vukovich) - Burton', 'Burton Atherton', 'Burton Bendle', 'Montrose', 'Mt Morris', 'New Lothrop']"
3,Baseball District 95,Vassar,Vassar High School - Baseball,"['Vassar High School - Baseball', 'Millington', 'Otisville LakeVille Memorial', 'Reese', 'Saginaw Valley Lutheran']"
3,Baseball District 96,Caro,Caro HS,"['Caro HS', 'Bad Axe', 'Cass City', 'Elkton-Pigeon-Bay Port Laker', 'Sandusky']"
4,Baseball District 97,Painesdale Jeffers,Stanton Baseball Field - Atlantic Mine,"['Stanton Baseball Field - Atlantic Mine', 'Ironwood', 'Lake Linden-Hubbell', ""L'Anse"", 'Ontonagon', 'Wakefield-Marenisco']"
4,Baseball District 98,Norway,Norway,"['Bark River-Harris', 'Crystal Falls Forest Park', 'Felch North Dickinson', 'Norway', 'Powers North Central', 'Stephenson']"
4,Baseball District 99,Rudyard,Rudyard Township fields - Baseball,"['Rudyard Township fields - Baseball', 'Brimley', 'Mackinaw City', 'Pellston', 'Pickford']"
4,Baseball District 100,Harbor Springs,Kosequat Field,"['Kosequat Field', 'Alanson ', 'Burt Lake Northern Michigan Christian', 'Harbor Springs Harbor Light Christian', 'Indian River Inland Lakes']"
4,Baseball District 101,Central Lake,Central Lake Gymnasium,"['Central Lake Gymnasium', 'Bellaire', 'East Jordan', 'Ellsworth']"
4,Baseball District 102,Gaylord St Mary,Gaylord St Mary,"['Boyne Falls', 'Gaylord St Mary', 'Johannesburg-Lewiston', 'Mio', 'Wolverine']"
4,Baseball District 103,Hillman,Hillman H.S. - Baseball,"['Hillman H.S. - Baseball', 'Atlanta', 'Onaway', 'Posen', 'Rogers City']"
4,Baseball District 104,Alcona,Alcona High School - Baseball,"['Alcona High School - Baseball', 'Au Gres-Sims', 'Hale', 'St Helen Charlton Heston Academy', 'Whittemore-Prescott']"
4,Baseball District 105,Frankfort,Lockhart Field - Frankfort,"['Lockhart Field - Frankfort', 'Lake Leelanau St Mary', 'Maple City Glen Lake', 'Suttons Bay']"
4,Baseball District 106,Marion,Marion Athletic Complex - Baseball,"['Marion Athletic Complex - Baseball', 'Buckley', 'Fife Lake Forest Area', 'Mesick']"
4,Baseball District 107,Brethren,Brethren,"['Bear Lake', 'Brethren', 'Manistee Catholic Central', 'Mason County Eastern', 'Pentwater']"
4,Baseball District 108,Muskegon Western Michigan Christian,Warrior Field - Norton Shores,"['Warrior Field - Norton Shores', 'Baldwin', 'Blanchard Montabella', 'Holton', 'Muskegon Catholic Central']"
4,Baseball District 109,Beal City,Beal City High School - Baseball - Mt. Pleasant-Beal City,"['Beal City High School - Baseball - Mt. Pleasant-Beal City', 'Coleman', 'Farwell', 'Mount Pleasant Sacred Heart', 'Vestaburg']"
4,Baseball District 110,Breckenridge,Breckenridge Community Schools - Baseball,"['Breckenridge Community Schools - Baseball', 'Merrill', 'Saginaw Michigan Lutheran Seminary', 'Saginaw Nouvel', 'St Charles']"
4,Baseball District 111,Fowler,Fowler High School,"['Fowler High School', 'Ashley', 'Carson City-Crystal', 'Fulton', 'Portland St Patrick']"
4,Baseball District 112,Lansing Christian,Lansing Christian High School,"['Lansing Christian High School', 'Morrice', 'Potterville', 'Webberville']"
4,Baseball District 113,New Buffalo,Slater Field - New Buffalo,"['Slater Field - New Buffalo', 'Eau Claire', 'St Joseph Michigan Lutheran', 'St Joseph Our Lady of the Lake Catholic', 'Three Oaks River Valley']"
4,Baseball District 114,Lawrence,Lawrence Fields,"['Lawrence Fields', 'Decatur', 'Gobles', 'Marcellus']"
4,Baseball District 115,Martin,Martin Baseball Field,"['Martin Baseball Field', 'Byron Center Zion Christian', 'Grand Rapids Sacred Heart', ""Wyoming Potter's House Christian"", 'Wyoming Tri-unity Christian']"
4,Baseball District 116,Mendon,Mendon High School (John Schwartz Field),"['Mendon High School (John Schwartz Field)', 'Kalamazoo Hackett Catholic Prep', 'Kalamazoo Heritage Christian', 'White Pigeon']"
4,Baseball District 117,Colon,Colon MS/HS Athletic COmplex (Colon Athletic Complex),"['Colon MS/HS Athletic COmplex (Colon Athletic Complex)', 'Athens', 'Bellevue', 'Tekonsha']"
4,Baseball District 118,East Jackson,East jackson - Baseball,"['East jackson - Baseball', 'Addison', 'Concord', 'Litchfield', 'Vandercook Lake']"
4,Baseball District 119,North Adams-Jerome,Trott Field - North Adams,"['Trott Field - North Adams', 'Camden-Frontier', 'Pittsford', 'Reading', 'Waldron']"
4,Baseball District 120,Morenci,Morenci,"['Adrian Lenawee Christian', 'Britton Deerfield', 'Morenci', 'Petersburg Summerfield', 'Sand Creek']"
4,Baseball District 121,Harbor Beach,Harbor Beach HS,"['Harbor Beach HS', 'Deckerville', 'Kinde North Huron', 'Ubly']"
4,Baseball District 122,Kingston,Kingston High School - Baseball,"['Kingston High School - Baseball', 'Akron-Fairgrove', 'Bay City All Saints', 'Caseville', 'Mayville', 'Unionville-Sebewaing']"
4,Baseball District 123,Peck,Peck High School - Baseball,"['Peck High School - Baseball', 'Brown City', 'Capac', 'Marlette']"
4,Baseball District 124,Genesee,Genesee,"['Dryden', 'Genesee', 'Genesee Christian']"
4,Baseball District 125,Sterling Heights Parkway Christian,Parkway Christian School - Baseball - Sterling Heights ,"['Parkway Christian School - Baseball - Sterling Heights ', 'Auburn Hills Oakland Christian', 'Marine City Cardinal Mooney', 'New Haven Merritt Academy', 'Rochester Hills Lutheran Northwest']"
4,Baseball District 126,Waterford Our Lady of the Lakes,Our Lady of the Lakes - Baseball - Waterford,"['Our Lady of the Lakes - Baseball - Waterford', 'Bloomfield Hills Roeper', 'Clarkston Everest Collegiate', 'Royal Oak Shrine Catholic', 'Southfield Christian']"
4,Baseball District 127,Riverview Gabriel Richard,Gabriel Richard HS - Softball - Riverview,"['Gabriel Richard HS - Softball - Riverview', 'Allen Park Cabrini', 'Allen Park Inter-City Baptist', 'Detroit Academy of the Americas', 'Taylor Trillium Academy']"
4,Baseball District 128,Plymouth Christian Academy,Stafford Field - Canton,"['Stafford Field - Canton', 'Lutheran Westland', 'Novi Christian Academy', 'Westland Huron Valley Lutheran', 'Whitmore Lake']"
