School,conference
Ann Arbor Skyline,Southeastern Conference
Dexter,Southeastern Conference
Monroe,Southeastern Conference
Saline,Southeastern Conference
Temperance Bedford,Southeastern Conference
Ypsilanti Lincoln,Southeastern Conference
White Division,Southeastern Conference
Adrian,Southeastern Conference
Chelsea,Southeastern Conference
Jackson,Southeastern Conference
Pinckney,Southeastern Conference
Tecumseh,Southeastern Conference
Ypsilanti,Southeastern Conference
Battle Creek Central,Southwestern Michigan Athletic Conference
Battle Creek Lakeview,Southwestern Michigan Athletic Conference
Richland Gull Lake,Southwestern Michigan Athletic Conference
Kalamazoo Central,Southwestern Michigan Athletic Conference
Kalamazoo Loy Norrix,Southwestern Michigan Athletic Conference
Mattawan,Southwestern Michigan Athletic Conference
Portage Central,Southwestern Michigan Athletic Conference
Portage Northern,Southwestern Michigan Athletic Conference
St. Joseph,Southwestern Michigan Athletic Conference
Stevensville Lakeshore,Southwestern Michigan Athletic Conference
Hemlock Huskies,Tri-Valley Conference
Ithaca Yellowjackets,Tri-Valley Conference
Saginaw Michigan Lutheran Seminary ,Tri-Valley Conference
Saginaw Nouvel Catholic Central ,Tri-Valley Conference
Saginaw Valley Lutheran ,Tri-Valley Conference
St. Louis ,Tri-Valley Conference
Midland Bullock Creek ,Tri-Valley Conference
Standish-Sterling ,Tri-Valley Conference
Millington ,Tri-Valley Conference
Carrollton ,Tri-Valley Conference
Birch Run ,Tri-Valley Conference
Bridgeport ,Tri-Valley Conference
Essexville Garber ,Tri-Valley Conference
Frankenmuth ,Tri-Valley Conference
Alma ,Tri-Valley Conference
Bay City John Glenn ,Tri-Valley Conference
Freeland ,Tri-Valley Conference
Saginaw Swan Valley ,Tri-Valley Conference
Dearborn Heights Annapolis,Western Wayne Athletic Conference
Dearborn Heights Robichaud,Western Wayne Athletic Conference
Melvindale,Western Wayne Athletic Conference
Redford Thurston,Western Wayne Athletic Conference
Redford Union,Western Wayne Athletic Conference
Romulus,Western Wayne Athletic Conference
Dearborn Heights Crestwood,Western Wayne Athletic Conference
Garden City,Western Wayne Athletic Conference
Benton Harbor Countryside Academy,BCS League
Covert,BCS League
Eau Claire,BCS League
Marcellus Howardsville Christian,BCS League
New Buffalo,BCS League
Our Lady of the Lake Catholic,BCS League
St. Joseph Michigan Lutheran,BCS League
Three Oaks River Valley,BCS League
Watervliet Grace Christian,BCS League
Airport,Huron League
Flat Rock,Huron League
Grosse Ile,Huron League
Huron,Huron League
Jefferson,Huron League
Milan,Huron League
Riverview,Huron League
St. Mary Catholic Central,Huron League
"Emmett Township, Calhoun County",Interstate 8 Athletic Conference
"Pennfield Township, Calhoun County",Interstate 8 Athletic Conference
"Coldwater, Branch County",Interstate 8 Athletic Conference
"Hastings, Barry County",Interstate 8 Athletic Conference
"Summit Township, Jackson County",Interstate 8 Athletic Conference
"Blackman Township, Jackson County",Interstate 8 Athletic Conference
"Marshall, Calhoun County",Interstate 8 Athletic Conference
"Spring Arbor Township, Jackson County",Interstate 8 Athletic Conference
Allendale,Ottawa-Kent Conference
Belding,Ottawa-Kent Conference
Byron Center,Ottawa-Kent Conference
Caledonia,Ottawa-Kent Conference
Cedar Springs,Ottawa-Kent Conference
Comstock Park,Ottawa-Kent Conference
Coopersville,Ottawa-Kent Conference
East Grand Rapids,Ottawa-Kent Conference
East Kentwood,Ottawa-Kent Conference
Forest Hills Central,Ottawa-Kent Conference
Forest Hills Eastern,Ottawa-Kent Conference
Forest Hills Northern,Ottawa-Kent Conference
Fruitport,Ottawa-Kent Conference
Godfrey-Lee,Ottawa-Kent Conference
Godwin Heights,Ottawa-Kent Conference
Grand Rapids Catholic Central,Ottawa-Kent Conference
Grand Rapids Christian,Ottawa-Kent Conference
Grand Rapids Ottawa Hills,Ottawa-Kent Conference
Grand Rapids Union,Ottawa-Kent Conference
Grand Rapids West Catholic,Ottawa-Kent Conference
Grand Haven,Ottawa-Kent Conference
Grandville,Ottawa-Kent Conference
Grandville Calvin Christian,Ottawa-Kent Conference
Greenville,Ottawa-Kent Conference
Hamilton,Ottawa-Kent Conference
Holland,Ottawa-Kent Conference
Holland Christian,Ottawa-Kent Conference
Holland West Ottawa,Ottawa-Kent Conference
Hopkins,Ottawa-Kent Conference
Hudsonville,Ottawa-Kent Conference
Hudsonville Unity Christian,Ottawa-Kent Conference
Jenison,Ottawa-Kent Conference
Kelloggsville,Ottawa-Kent Conference
Kenowa Hills,Ottawa-Kent Conference
Lowell,Ottawa-Kent Conference
Middleville Thornapple Kellogg,Ottawa-Kent Conference
Muskegon,Ottawa-Kent Conference
Muskegon Mona Shores,Ottawa-Kent Conference
Muskegon Reeths-Puffer,Ottawa-Kent Conference
Northview,Ottawa-Kent Conference
Rockford,Ottawa-Kent Conference
South Christian,Ottawa-Kent Conference
Sparta,Ottawa-Kent Conference
Spring Lake,Ottawa-Kent Conference
Wayland,Ottawa-Kent Conference
Wyoming,Ottawa-Kent Conference
Zeeland East,Ottawa-Kent Conference
Zeeland West,Ottawa-Kent Conference
Battle Creek Central,Southwestern Michigan Athletic Conference
Battle Creek Lakeview,Southwestern Michigan Athletic Conference
Richland Gull Lake,Southwestern Michigan Athletic Conference
Kalamazoo Central,Southwestern Michigan Athletic Conference
Kalamazoo Loy Norrix,Southwestern Michigan Athletic Conference
Mattawan,Southwestern Michigan Athletic Conference
Portage Central,Southwestern Michigan Athletic Conference
Portage Northern,Southwestern Michigan Athletic Conference
St. Joseph,Southwestern Michigan Athletic Conference
Stevensville Lakeshore,Southwestern Michigan Athletic Conference
Hemlock Huskies,Tri-Valley Conference
Ithaca Yellowjackets,Tri-Valley Conference
Saginaw Michigan Lutheran Seminary Cardinals,Tri-Valley Conference
Saginaw Nouvel Catholic Central Panthers,Tri-Valley Conference
Saginaw Valley Lutheran Chargers,Tri-Valley Conference
St. Louis Sharks,Tri-Valley Conference
Midland Bullock Creek Lancers,Tri-Valley Conference
Standish-Sterling Panthers,Tri-Valley Conference
Millington Cardinals,Tri-Valley Conference
Carrollton Cavaliers,Tri-Valley Conference
Birch Run Panthers,Tri-Valley Conference
Bridgeport Bearcats,Tri-Valley Conference
Essexville Garber Dukes,Tri-Valley Conference
Frankenmuth Eagles,Tri-Valley Conference
Alma Panthers,Tri-Valley Conference
Bay City John Glenn Bobcats,Tri-Valley Conference
Freeland Falcons,Tri-Valley Conference
Saginaw Swan Valley Vikings,Tri-Valley Conference
Edwardsburg,Wolverine Conference
Niles,Wolverine Conference
Otsego,Wolverine Conference
Paw Paw,Wolverine Conference
Plainwell,Wolverine Conference
Sturgis,Wolverine Conference
Three Rivers,Wolverine Conference
Vicksburg,Wolverine Conference
Benton Harbor Countryside Academy,BCS League
Covert,BCS League
Eau Claire,BCS League
Marcellus Howardsville Christian,BCS League
New Buffalo,BCS League
Our Lady of the Lake Catholic,BCS League
St. Joseph Michigan Lutheran,BCS League
Three Oaks River Valley,BCS League
Watervliet Grace Christian,BCS League
Beaverton,Jack Pine Conference
Clare,Jack Pine Conference
Farwell,Jack Pine Conference
Gladwin,Jack Pine Conference
Harrison,Jack Pine Conference
Pinconning,Jack Pine Conference
Sanford Meridian,Jack Pine Conference
Shepherd,Jack Pine Conference
Boyne City High School,Lake Michigan Conference
Charlevoix High School,Lake Michigan Conference
East Jordan High School,Lake Michigan Conference
Elk Rapids High School,Lake Michigan Conference
Grayling High School,Lake Michigan Conference
Harbor Springs High School,Lake Michigan Conference
Kalkaska High School,Lake Michigan Conference
St. Francis High School,Lake Michigan Conference
Buchanan Bucks/Berrien Springs Shamrocks,Lakeland Athletic Conference
Coloma Comets/ Berrien Springs Shamrocks,Lakeland Athletic Conference
Coloma Comets,Lakeland Athletic Conference
Cassopolis Rangers,Lakeland Athletic Conference
Edwardsburg Eddies,Lakeland Athletic Conference
Berrien Springs Shamrocks,Lakeland Athletic Conference
Coloma Comets,Lakeland Athletic Conference
Coloma Comets/ Edwardsburg Eddies,Lakeland Athletic Conference
Coloma Comets/ River Valley Mustangs,Lakeland Athletic Conference
Edwardsburg Eddies,Lakeland Athletic Conference
Clinton Township Chippewa Valley,Macomb Area Conference
Fraser,Macomb Area Conference
Romeo,Macomb Area Conference
Sterling Heights,Macomb Area Conference
Sterling Heights Stevenson,Macomb Area Conference
Utica,Macomb Area Conference
Utica Eisenhower,Macomb Area Conference
Utica Ford,Macomb Area Conference
Warren Cousino,Macomb Area Conference
Warren Woods-Tower,Macomb Area Conference
Grosse Pointe North,Macomb Area Conference
Harrison Township L'Anse Creuse,Macomb Area Conference
Roseville Brablec,Macomb Area Conference
St. Clair Shores Lake Shore,Macomb Area Conference
St. Clair Shores Lakeview,Macomb Area Conference
St. Clair Shores South Lake,Macomb Area Conference
,Macomb Area Conference
Gladstone Braves,Mid-Peninsula Athletic Conference
Gwinn Modeltowners,Mid-Peninsula Athletic Conference
Iron Mountain Mountaineers,Mid-Peninsula Athletic Conference
Ishpeming Hematities,Mid-Peninsula Athletic Conference
Ishpeming Westwood Patriots,Mid-Peninsula Athletic Conference
Manistique Emeralds,Mid-Peninsula Athletic Conference
Negaunee Miners,Mid-Peninsula Athletic Conference
Norway Knights,Mid-Peninsula Athletic Conference
Allendale,Ottawa-Kent Conference
Belding,Ottawa-Kent Conference
Byron Center,Ottawa-Kent Conference
Caledonia,Ottawa-Kent Conference
Cedar Springs,Ottawa-Kent Conference
Comstock Park,Ottawa-Kent Conference
Coopersville,Ottawa-Kent Conference
East Grand Rapids,Ottawa-Kent Conference
East Kentwood,Ottawa-Kent Conference
Forest Hills Central,Ottawa-Kent Conference
Forest Hills Eastern,Ottawa-Kent Conference
Forest Hills Northern,Ottawa-Kent Conference
Fruitport,Ottawa-Kent Conference
Godfrey-Lee,Ottawa-Kent Conference
Godwin Heights,Ottawa-Kent Conference
Grand Rapids Catholic Central,Ottawa-Kent Conference
Grand Rapids Christian,Ottawa-Kent Conference
Grand Rapids Ottawa Hills,Ottawa-Kent Conference
Grand Rapids Union,Ottawa-Kent Conference
Grand Rapids West Catholic,Ottawa-Kent Conference
Grand Haven,Ottawa-Kent Conference
Grandville,Ottawa-Kent Conference
Grandville Calvin Christian,Ottawa-Kent Conference
Greenville,Ottawa-Kent Conference
Hamilton,Ottawa-Kent Conference
Holland,Ottawa-Kent Conference
Holland Christian,Ottawa-Kent Conference
Holland West Ottawa,Ottawa-Kent Conference
Hopkins,Ottawa-Kent Conference
Hudsonville,Ottawa-Kent Conference
Hudsonville Unity Christian,Ottawa-Kent Conference
Jenison,Ottawa-Kent Conference
Kelloggsville,Ottawa-Kent Conference
Kenowa Hills,Ottawa-Kent Conference
Lowell,Ottawa-Kent Conference
Middleville Thornapple Kellogg,Ottawa-Kent Conference
Muskegon,Ottawa-Kent Conference
Muskegon Mona Shores,Ottawa-Kent Conference
Muskegon Reeths-Puffer,Ottawa-Kent Conference
Northview,Ottawa-Kent Conference
Rockford,Ottawa-Kent Conference
South Christian,Ottawa-Kent Conference
Sparta,Ottawa-Kent Conference
Spring Lake,Ottawa-Kent Conference
Wayland,Ottawa-Kent Conference
Wyoming,Ottawa-Kent Conference
Zeeland East,Ottawa-Kent Conference
Zeeland West,Ottawa-Kent Conference
Adrian Madison,Tri-County Conference
Britton-Deerfield,Tri-County Conference
Erie-Mason,Tri-County Conference
Morenci,Tri-County Conference
Ottawa Lake Whiteford,Tri-County Conference
Petersburg Summerfield,Tri-County Conference
Sand Creek,Tri-County Conference
Benton Harbor Countryside Academy,BCS League
Covert,BCS League
Eau Claire,BCS League
Marcellus Howardsville Christian,BCS League
New Buffalo,BCS League
Our Lady of the Lake Catholic,BCS League
St. Joseph Michigan Lutheran,BCS League
Three Oaks River Valley,BCS League
Watervliet Grace Christian,BCS League
Hemlock Huskies,Tri-Valley Conference
Ithaca Yellowjackets,Tri-Valley Conference
Saginaw Michigan Lutheran Seminary Cardinals,Tri-Valley Conference
Saginaw Nouvel Catholic Central Panthers,Tri-Valley Conference
Saginaw Valley Lutheran Chargers,Tri-Valley Conference
St. Louis Sharks,Tri-Valley Conference
Midland Bullock Creek Lancers,Tri-Valley Conference
Standish-Sterling Panthers,Tri-Valley Conference
Millington Cardinals,Tri-Valley Conference
Carrollton Cavaliers,Tri-Valley Conference
Birch Run Panthers,Tri-Valley Conference
Bridgeport Bearcats,Tri-Valley Conference
Essexville Garber Dukes,Tri-Valley Conference
Frankenmuth Eagles,Tri-Valley Conference
Alma Panthers,Tri-Valley Conference
Bay City John Glenn Bobcats,Tri-Valley Conference
Freeland Falcons,Tri-Valley Conference
Saginaw Swan Valley Vikings,Tri-Valley Conference
