School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Locale_x,Community_Type,Charter,Magnet,Relig_subtype,type,Street Address,City,State,ZIP,Locale_y,PSS_COUNTY_NO,County FIPS,Phone,Locale,student_teacher_info,County Name,PSS_ASSOC_1,Title I School,Title 1 School Wide
Addison High School,260192003923,Addison Community Schools,2601920.0,247.0,13.73,17.99,87,8,95,63.0,62.0,59.0,63.0,0.0,0.004048582995951417,0.012145748987854251,0.08502024291497975,0.0,0.8582995951417004,0.04048582995951417,0.002048878034388369,0.001999704961563048,184.0,Yes,None,Rural: Distant,Rural,No,No,None,public,219 NORTH COMSTOCK ST,ADDISON,MI,49220,Rural: Distant,,,,,,,,,
Adlai Stevenson High School,263447007009,Utica Community Schools,2634470.0,1956.0,98.6,19.84,945,64,"1,009",65.0,681.0,599.0,570.0,0.002556237218813906,0.0705521472392638,0.07975460122699386,0.029141104294478526,0.0035787321063394683,0.7842535787321063,0.03016359918200409,0.00026215807060024003,0.00024908937316254115,1345.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,39701 DODGE PARK RD,STERLING HEIGHTS,MI,48313,Suburb: Large,,,,,,,,,
Adrian Community High School,260195002061,Adrian Public Schools,2601950.0,29.0,0.0,†,23,0,23,6.0,6.0,9.0,8.0,0.0,0.0,0.034482758620689655,0.6206896551724138,0.0,0.2413793103448276,0.10344827586206896,0.016646848989298454,0.017835909631391204,21.0,Yes,None,Town: Distant,Town,No,No,None,public,801 EAST MAUMEE ST,ADRIAN,MI,49221,Town: Distant,,,,,,,,,
Adrian High School,260195003927,Adrian Public Schools,2601950.0,799.0,40.23,19.86,404,61,465,270.0,191.0,161.0,177.0,0.0037546933667083854,0.011264080100125156,0.05506883604505632,0.2765957446808511,0.0,0.5732165206508135,0.08010012515644556,0.0006328310889237329,0.000618733366645729,622.0,Yes,None,Town: Distant,Town,No,No,None,public,785 RIVERSIDE AVE,ADRIAN,MI,49221,Town: Distant,,,,,,,,,
Airport Middle College,260198008678,Airport Community Schools,2601980.0,16.0,0.0,†,3,0,3,0.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02734375,0.03515625,7.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,11330 GRAFTON RD,CARLETON,MI,48117,Rural: Fringe,,,,,,,,,
Airport Senior High School,260198003939,Airport Community Schools,2601980.0,739.0,41.79,17.68,283,19,302,217.0,200.0,181.0,140.0,0.0,0.0,0.009472259810554804,0.05006765899864682,0.0,0.8998646820027063,0.04059539918809202,0.0006775055344877784,0.0006756744384486222,598.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,11330 GRAFTON RD,CARLETON,MI,48117,Rural: Fringe,,,,,,,,,
AkronFairgrove JrSr High School,260201003946,Akron-fairgrove Schools,2602010.0,169.0,8.36,20.22,97,17,114,24.0,21.0,22.0,,0.0,0.0,0.011834319526627219,0.08284023668639054,0.0,0.8520710059171598,0.05325443786982249,0.0028710479324953607,0.0030461118308182486,67.0,Yes,None,Rural: Distant,Rural,No,No,None,public,PO Box 217,Fairgrove,MI,48733,Rural: Distant,,,,,,,,,
Alcona Community High School,260216003955,Alcona Community Schools,2602160.0,402.0,41.9,9.59,225,20,245,59.0,75.0,56.0,,0.004975124378109453,0.0,0.004975124378109453,0.01990049751243781,0.0,0.945273631840796,0.024875621890547265,0.0011633375411499716,0.001324224647904755,190.0,Yes,None,Rural: Distant,Rural,No,Yes,None,public,51 N BARLOW RD,HARRISVILLE,MI,48740,Rural: Distant,,,,,,,,,
Algonac Alternative Education,260219008684,Algonac Community School District,2602190.0,25.0,1.0,25.0,18,0,18,1.0,5.0,6.0,13.0,0.0,0.0,0.04,0.0,0.0,0.96,0.0,0.0208,0.0192,12.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,9541 PHELPS RD,CLAY,MI,48001,Suburb: Large,,,,,,,,,
Algonac JuniorSenior High School,260219003960,Algonac Community School District,2602190.0,678.0,31.1,21.8,265,28,293,124.0,124.0,102.0,109.0,0.011799410029498525,0.0029498525073746312,0.0014749262536873156,0.0058997050147492625,0.0,0.9734513274336283,0.004424778761061947,0.0007809712759199798,0.0006939549777673357,350.0,Yes,None,Suburb: Large,Suburban,No,Yes,None,public,5200 TAFT RD,CLAY,MI,48001,Suburb: Large,,,,,,,,,
Allegan Alternative High School,260222000110,Allegan Public Schools,2602220.0,111.0,6.0,18.5,69,4,73,3.0,10.0,18.0,80.0,0.0,0.0,0.009009009009009009,0.04504504504504504,0.0,0.9279279279279279,0.018018018018018018,0.004301598896193491,0.004707410112815518,31.0,Yes,None,Town: Distant,Town,No,No,None,public,550 5TH ST,ALLEGAN,MI,49010,Town: Distant,,,,,,,,,
Allegan High School,260222003966,Allegan Public Schools,2602220.0,691.0,31.0,22.29,282,35,317,204.0,165.0,155.0,167.0,0.002894356005788712,0.013024602026049204,0.00723589001447178,0.07959479015918958,0.001447178002894356,0.8668596237337193,0.02894356005788712,0.0007874658886950476,0.0006597121141993084,524.0,Yes,None,Town: Distant,Town,No,No,None,public,550 5TH ST,ALLEGAN,MI,49010,Town: Distant,,,,,,,,,
Allen Park Community School,260252001018,Allen Park Public Schools,2602520.0,109.0,8.33,13.09,59,5,64,0.0,9.0,24.0,76.0,0.0,0.0,0.05504587155963303,0.22935779816513763,0.0,0.6697247706422018,0.045871559633027525,0.005555087955559297,0.0036192239710462083,33.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,14700 MOORE AVE,ALLEN PARK,MI,48101,Suburb: Large,,,,,,,,,
Allen Park High School,260252003971,Allen Park Public Schools,2602520.0,1130.0,53.85,20.98,313,44,357,304.0,281.0,274.0,271.0,0.006194690265486726,0.007964601769911504,0.024778761061946902,0.13805309734513274,0.0,0.8070796460176991,0.01592920353982301,0.0004385621426893257,0.0004463936095230637,859.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,18401 CHAMPAIGN RD,ALLEN PARK,MI,48101,Suburb: Large,,,,,,,,,
Allendale High School,260255003976,Allendale Public Schools,2602550.0,778.0,33.29,23.37,180,29,209,204.0,200.0,180.0,194.0,0.002570694087403599,0.012853470437017995,0.028277634961439587,0.11053984575835475,0.0,0.8174807197943444,0.028277634961439587,0.0006575425750556763,0.0006278044686461231,584.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,10760 68TH AVE,ALLENDALE,MI,49401,Suburb: Large,,,,,,,,,
Alma Senior High School,260264003980,Alma Public Schools,2602640.0,605.0,35.51,17.04,278,32,310,150.0,157.0,149.0,148.0,0.001652892561983471,0.009917355371900827,0.01487603305785124,0.08925619834710743,0.0,0.8793388429752066,0.0049586776859504135,0.000841472577009767,0.000811419984973704,456.0,Yes,None,Town: Distant,Town,No,No,None,public,1500 PINE AVE,ALMA,MI,48801,Town: Distant,,,,,,,,,
Almont High School,260267003982,Almont Community Schools,2602670.0,432.0,20.42,21.16,88,19,107,126.0,96.0,99.0,111.0,0.004629629629629629,0.004629629629629629,0.0023148148148148147,0.04398148148148148,0.0,0.9305555555555556,0.013888888888888888,0.001248499657064472,0.001066315157750343,321.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,4701 HOWLAND RD,ALMONT,MI,48003,Rural: Fringe,,,,,,,,,
Alpena High School,260273003984,Alpena Public Schools,2602730.0,1154.0,49.2,23.46,492,56,548,350.0,273.0,238.0,293.0,0.0025996533795493936,0.006065857885615251,0.005199306759098787,0.011265164644714038,0.0,0.9428076256499134,0.032062391681109186,0.0004332755632582322,0.0004332755632582322,861.0,Yes,None,Town: Remote,Town,No,No,None,public,3303 SOUTH THIRD AVE,ALPENA,MI,49707,Town: Remote,,,,,,,,,
Alternative Educational Academy of Iosco County,260103408339,Alternative Educational Academy Of Iosco County,2601034.0,153.0,6.25,24.48,129,6,135,40.0,34.0,38.0,,0.0,0.0,0.013071895424836602,0.026143790849673203,0.013071895424836602,0.8954248366013072,0.05228758169934641,0.0029903028749626213,0.003545644837455679,112.0,Yes,None,Rural: Fringe,Rural,Yes,No,None,public,40 W M 55,TAWAS CITY,MI,48763,Rural: Fringe,,,,,,,,,
Alternative Educational Academy of Ogemaw County,260109208670,Alternative Educational Academy Of Ogemaw County,2601092.0,129.0,3.98,32.41,111,6,117,34.0,32.0,30.0,,0.0,0.0,0.0,0.05426356589147287,0.0,0.9069767441860465,0.03875968992248062,0.004086292891052221,0.0036656450934439036,96.0,Yes,None,Rural: Remote,Rural,Yes,No,None,public,2389 S M 76,West Branch,MI,48661,Rural: Remote,,,,,,,,,
American International Academy High SchoolMiddle Schooll,260098608795,American International Academy,2600986.0,221.0,7.0,31.57,206,3,209,32.0,36.0,45.0,30.0,0.00904977375565611,0.0,0.9638009049773756,0.013574660633484163,0.004524886877828055,0.0,0.00904977375565611,0.0023545791445711596,0.002170307733256895,113.0,Yes,None,Suburb: Large,Suburban,Yes,No,None,public,28955 ROSEWOOD ST,INKSTER,MI,48141,Suburb: Large,,,,,,,,,
Anchor Bay High School,260279003997,Anchor Bay School District,2602790.0,1879.0,74.14,25.34,354,51,405,464.0,459.0,478.0,478.0,0.0026609898882384245,0.014901543374135177,0.024481106971793506,0.031931878658861094,0.0010643959552953698,0.8919638105375199,0.03299627461415647,0.00026482443273048717,0.00026737354491719774,1401.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,6319 COUNTY LINE RD,IRA,MI,48023,Rural: Fringe,,,,,,,,,
Annapolis High School,261161004618,Dearborn Heights School District #7,2611610.0,725.0,32.43,22.36,489,37,526,195.0,188.0,185.0,157.0,0.006896551724137931,0.002758620689655172,0.24413793103448275,0.1310344827586207,0.0,0.5806896551724138,0.034482758620689655,0.0006677764565992866,0.0007115338882282996,568.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,4650 CLIPPERT ST,DEARBORN HEIGHTS,MI,48125,Suburb: Large,,,,,,,,,
Arbor Preparatory High School,260098908273,Arbor Preparatory High School,2600989.0,300.0,17.93,16.73,170,11,181,91.0,81.0,56.0,72.0,0.0033333333333333335,0.016666666666666666,0.5933333333333334,0.12333333333333334,0.0,0.21333333333333335,0.05,0.0018111111111111112,0.0015222222222222221,228.0,Yes,None,Rural: Fringe,Rural,Yes,No,None,public,6800 Hitchingham Road,Ypsilanti,MI,48197,Rural: Fringe,,,,,,,,,
Armada Continuing Education Center,260324008269,Armada Area Schools,2603240.0,16.0,1.73,9.25,7,1,8,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.125,0.0,0.875,0.0,0.0234375,0.0390625,4.0,Yes,None,Rural: Distant,Rural,No,No,None,public,23211 PROSPECT AVE,ARMADA,MI,48005,Rural: Distant,,,,,,,,,
Armada High School,260324004042,Armada Area Schools,2603240.0,576.0,31.9,18.06,98,12,110,141.0,133.0,157.0,145.0,0.010416666666666666,0.010416666666666666,0.0,0.020833333333333332,0.001736111111111111,0.9479166666666666,0.008680555555555556,0.0008258584104938271,0.000910252700617284,431.0,Yes,None,Rural: Distant,Rural,No,No,None,public,23655 ARMADA CENTER RD,ARMADA,MI,48005,Rural: Distant,,,,,,,,,
Arthur Hill High School,263039006656,Saginaw School District Of The City Of,2630390.0,778.0,34.0,22.88,624,31,655,263.0,154.0,181.0,157.0,0.0012853470437017994,0.0012853470437017994,0.6966580976863753,0.15681233933161953,0.005141388174807198,0.12853470437017994,0.010282776349614395,0.0006426735218508997,0.0006426735218508997,598.0,Yes,None,City: Small,City,No,No,None,public,3115 MACKINAW ST,SAGINAW,MI,48602,City: Small,,,,,,,,,
Arts Academy in the Woods,260027301308,Arts Academy In The Woods,2600273.0,303.0,15.71,19.29,157,14,171,60.0,63.0,51.0,,0.0,0.006600660066006601,0.3234323432343234,0.033003300330033,0.0,0.5313531353135313,0.10561056105610561,0.0012090317942685357,0.0020912982387347647,174.0,Yes,None,Suburb: Large,Suburban,Yes,No,None,public,32101 Caroline,Fraser,MI,48026,Suburb: Large,,,,,,,,,
Ascent High School,260001708240,Bad Axe Public Schools,2600017.0,44.0,1.19,36.97,33,2,35,3.0,4.0,14.0,23.0,0.0,0.0,0.0,0.11363636363636363,0.0,0.8181818181818182,0.06818181818181818,0.01549586776859504,0.007231404958677686,21.0,Yes,None,Town: Remote,Town,No,No,None,public,200 NORTH BARRIE RD,BAD AXE,MI,48413,Town: Remote,,,,,,,,,
Asher School,263234001932,Southgate Community School District,2632340.0,232.0,8.33,27.85,160,4,164,19.0,32.0,,,0.01293103448275862,0.01293103448275862,0.1853448275862069,0.11637931034482758,0.0,0.6724137931034483,0.0,0.0022294887039239005,0.002080856123662307,51.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,14101 LEROY ST,SOUTHGATE,MI,48195,Suburb: Large,,,,,,,,,
Ashley High School,260348004046,Ashley Community Schools,2603480.0,81.0,5.17,15.67,49,2,51,11.0,18.0,25.0,27.0,0.0,0.0,0.0,0.04938271604938271,0.0,0.9259259259259259,0.024691358024691357,0.006706294772138393,0.005639384240207285,54.0,Yes,None,Rural: Distant,Rural,No,No,None,public,PO Box 6,Ashley,MI,48806,Rural: Distant,,,,,,,,,
Athens High School,263426006976,Troy School District,2634260.0,1575.0,89.8,17.54,258,19,277,401.0,411.0,389.0,374.0,0.0006349206349206349,0.2126984126984127,0.052698412698412696,0.05015873015873016,0.0019047619047619048,0.6393650793650794,0.04253968253968254,0.0003301587301587302,0.00030476190476190474,1201.0,Yes,None,City: Small,City,No,No,None,public,4333 John R Road,Troy,MI,48085,City: Small,,,,,,,,,
Athens JuniorSenor High School,260351004048,Athens Area Schools,2603510.0,267.0,17.38,15.36,87,3,90,49.0,35.0,34.0,,0.0299625468164794,0.003745318352059925,0.011235955056179775,0.02247191011235955,0.003745318352059925,0.8614232209737828,0.06741573033707865,0.0018235632425759936,0.0019217551094839317,118.0,Yes,None,Rural: Distant,Rural,No,No,None,public,300 EAST HOLCOMB ST,ATHENS,MI,49011,Rural: Distant,,,,,,,,,
Atherton Jr Sr High School,260354004051,Atherton Community Schools,2603540.0,385.0,22.6,17.04,342,24,366,72.0,72.0,60.0,55.0,0.0025974025974025974,0.0,0.35324675324675325,0.1038961038961039,0.0,0.44415584415584414,0.09610389610389611,0.0013223140495867767,0.0012750885478158204,204.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,3354 SOUTH GENESEE RD,BURTON,MI,48519,Suburb: Large,,,,,,,,,
Au GresSims High School,260360004059,Au Gres-sims School District,2603600.0,126.0,6.14,20.52,68,5,73,46.0,35.0,25.0,20.0,0.007936507936507936,0.0,0.0,0.07142857142857142,0.0,0.9047619047619048,0.015873015873015872,0.0045351473922902496,0.003401360544217687,106.0,Yes,None,Rural: Remote,Rural,No,No,None,public,PO Box 648,Au Gres,MI,48703,Rural: Remote,,,,,,,,,
Avondale High School,260369004067,Avondale School District,2603690.0,1037.0,61.29,16.92,485,44,529,328.0,272.0,224.0,213.0,0.0009643201542912247,0.0626808100289296,0.3326904532304725,0.13886210221793635,0.0019286403085824494,0.420443587270974,0.04243008678881389,0.0004928540807852932,0.00047146607350593146,824.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,2800 WAUKEGAN ST,AUBURN HILLS,MI,48326,Suburb: Large,,,,,,,,,
Bad Axe High School,260001703918,Bad Axe Public Schools,2600017.0,407.0,29.61,13.75,156,50,206,60.0,77.0,77.0,65.0,0.0,0.007371007371007371,0.0171990171990172,0.019656019656019656,0.0,0.9459459459459459,0.009828009828009828,0.00119529849259579,0.001261703964406667,214.0,Yes,None,Town: Remote,Town,No,No,None,public,200 NORTH BARRIE RD,BAD AXE,MI,48413,Town: Remote,,,,,,,,,
Baldwin Senior High School,260381004068,Baldwin Community Schools,2603810.0,114.0,7.5,15.2,102,8,110,52.0,31.0,22.0,9.0,0.0,0.0,0.14912280701754385,0.07894736842105263,0.0,0.543859649122807,0.22807017543859648,0.0049245921822099106,0.0038473376423514925,105.0,Yes,None,Rural: Remote,Rural,No,No,None,public,525 4TH ST,BALDWIN,MI,49304,Rural: Remote,,,,,,,,,
Bangor High School,260387004072,Bangor Public Schools (van Buren),2603870.0,278.0,16.26,17.1,171,14,185,75.0,82.0,73.0,48.0,0.0,0.0,0.05755395683453238,0.4136690647482014,0.0,0.460431654676259,0.0683453237410072,0.0016950468402256611,0.0019020754619326124,230.0,Yes,None,Rural: Distant,Rural,No,No,None,public,801 WEST ARLINGTON ST,BANGOR,MI,49013,Rural: Distant,,,,,,,,,
Bark RiverHarris JrSr High School,260402004088,Bark River-harris School District,2604020.0,342.0,18.01,18.99,148,23,171,50.0,67.0,55.0,60.0,0.0847953216374269,0.005847953216374269,0.0,0.029239766081871343,0.0,0.8391812865497076,0.04093567251461988,0.001581683252966725,0.0013422933552204098,172.0,Yes,None,Rural: Remote,Rural,No,No,None,public,PO Box 350,Harris,MI,49845,Rural: Remote,,,,,,,,,
Bath High School,260417004090,Bath Community Schools,2604170.0,320.0,14.99,21.35,120,5,125,95.0,79.0,69.0,77.0,0.003125,0.0125,0.01875,0.090625,0.0,0.8125,0.0625,0.0016210937500000001,0.00150390625,243.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,6175 E Clark Road,Bath,MI,48808,Suburb: Large,,,,,,,,,
Battle Creek Area Learning Center,260027501616,Battle Creek Area Learning Center,2600275.0,158.0,7.0,22.57,128,6,134,13.0,24.0,38.0,83.0,0.0,0.0,0.0949367088607595,0.0759493670886076,0.0,0.7278481012658228,0.10126582278481013,0.0030443839128344815,0.0032847300112161513,75.0,Yes,None,Suburb: Small,Suburban,Yes,No,None,public,765 UPTON AVE,SPRINGFIELD,MI,49037,Suburb: Small,,,,,,,,,
Battle Creek Central High School,260000503830,Battle Creek Public Schools,2600005.0,1126.0,55.0,20.47,710,30,740,325.0,271.0,262.0,268.0,0.003552397868561279,0.017761989342806393,0.3907637655417407,0.1492007104795737,0.0017761989342806395,0.3206039076376554,0.11634103019538189,0.0004945278560363947,0.000393571611103925,858.0,Yes,None,City: Small,City,No,No,None,public,100 VAN BUREN ST W,BATTLE CREEK,MI,49017,City: Small,,,,,,,,,
Bay City Adult EducationCTP,260426002049,Bay City School District,2604260.0,48.0,0.0,†,33,2,35,30.0,9.0,3.0,6.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.8333333333333334,0.041666666666666664,0.012586805555555554,0.008246527777777778,42.0,Yes,None,Suburb: Small,Suburban,No,No,None,public,4155 MONITOR RD,BAY CITY,MI,48706,Suburb: Small,,,,,,,,,
Bay City Central High School,260426004094,Bay City School District,2604260.0,1162.0,64.8,17.93,652,52,704,459.0,254.0,208.0,241.0,0.006024096385542169,0.008605851979345954,0.06626506024096386,0.14802065404475043,0.0008605851979345956,0.693631669535284,0.076592082616179,0.0004228865301382565,0.000437698667796339,921.0,Yes,None,City: Small,City,No,No,None,public,1624 COLUMBUS AVE,BAY CITY,MI,48708,City: Small,,,,,,,,,
Bay City Eastern High School,260426000800,Bay City School District,2604260.0,155.0,7.5,20.67,116,5,121,3.0,36.0,43.0,73.0,0.012903225806451613,0.0064516129032258064,0.10967741935483871,0.18064516129032257,0.0,0.6258064516129033,0.06451612903225806,0.003912591050988554,0.002539021852237253,82.0,Yes,None,City: Small,City,No,Yes,None,public,201 WOODSIDE LN,BAY CITY,MI,48708,City: Small,,,,,,,,,
Bay City Western High School,260426004113,Bay City School District,2604260.0,1172.0,51.4,22.8,269,26,295,333.0,283.0,273.0,283.0,0.002559726962457338,0.004266211604095563,0.005972696245733789,0.04010238907849829,0.0008532423208191126,0.9172354948805461,0.02901023890784983,0.00043026127269974026,0.00042298104811937237,889.0,Yes,None,Suburb: Small,Suburban,No,No,None,public,500 WEST MIDLAND RD,AUBURN,MI,48611,Suburb: Small,,,,,,,,,
Bay Pines Center,260000407876,Michigan Department Of Human Services,2600004.0,15.0,0.0,†,3,0,3,0.0,5.0,6.0,,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.6666666666666666,0.06666666666666667,0.048888888888888885,0.017777777777777778,11.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,2425 NORTH 30TH ST,ESCANABA,MI,49829,Rural: Fringe,,,,,,,,,
BayArenac Community High School,260006700463,Bay-arenac Community High School,2600067.0,175.0,5.0,35.0,148,0,148,32.0,47.0,42.0,54.0,0.005714285714285714,0.0,0.06285714285714286,0.13142857142857142,0.0,0.7714285714285715,0.02857142857142857,0.002416326530612245,0.0032979591836734697,121.0,Yes,None,Suburb: Small,Suburban,Yes,No,None,public,805 LANGSTAFF ST,ESSEXVILLE,MI,48732,Suburb: Small,,,,,,,,,
Beal City High School,260429007510,Beal City Public Schools,2604290.0,402.0,17.01,23.63,92,14,106,59.0,57.0,50.0,,0.022388059701492536,0.0024875621890547263,0.007462686567164179,0.01990049751243781,0.0024875621890547263,0.9129353233830846,0.03233830845771144,0.0011942773693720452,0.0012932848196826811,166.0,Yes,None,Rural: Distant,Rural,No,No,None,public,3180 WEST BEAL CITY RD,MOUNT PLEASANT,MI,48858,Rural: Distant,,,,,,,,,
Bear Lake High School,260432004118,Bear Lake Schools,2604320.0,129.0,5.46,23.63,75,12,87,22.0,20.0,22.0,24.0,0.023255813953488372,0.007751937984496124,0.0,0.13178294573643412,0.0,0.8294573643410853,0.007751937984496124,0.003966107806021273,0.0037858301784748512,64.0,Yes,None,Rural: Remote,Rural,No,No,None,public,7748 CODY ST,BEAR LAKE,MI,49614,Rural: Remote,,,,,,,,,
Beaverton JuniorSenior High School,260444004125,Beaverton Schools,2604440.0,449.0,24.54,18.3,247,26,273,79.0,80.0,68.0,66.0,0.0,0.0022271714922048997,0.008908685968819599,0.0400890868596882,0.0022271714922048997,0.9175946547884187,0.028953229398663696,0.001165668821087197,0.0010615026711177028,227.0,Yes,None,Rural: Distant,Rural,No,Yes,None,public,PO Box 529,Beaverton,MI,48612,Rural: Distant,,,,,,,,,
Bedford Senior High School,260447004128,Bedford Public Schools,2604470.0,1375.0,73.71,18.65,300,45,345,363.0,317.0,346.0,349.0,0.002181818181818182,0.012363636363636363,0.004363636363636364,0.05527272727272727,0.0,0.9018181818181819,0.024,0.00036442975206611575,0.0003628429752066116,1026.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,8285 Jackman Rd,Temperance,MI,48182,Rural: Fringe,,,,,,,,,
Beecher High School,260450004133,Beecher Community School District,2604500.0,298.0,10.6,28.11,276,14,290,65.0,61.0,39.0,28.0,0.0,0.0,0.9194630872483222,0.013422818791946308,0.0,0.053691275167785234,0.013422818791946308,0.0020381964776361424,0.0013175082203504347,165.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,1386 WEST COLDWATER RD,FLINT,MI,48505,Suburb: Large,,,,,,,,,
