School,conference,school_id
Godfrey-Lee HS,Ottawa-Kent Conference,1528
Godwin Heights HS,Ottawa-Kent Conference,8110
Grand Rapids Catholic Central HS,Ottawa-Kent Conference,6238
Grand Rapids Christian HS,Ottawa-Kent Conference,7062
Grand Rapids Ottawa Hills HS,Ottawa-Kent Conference,7335
Grand Rapids Union HS,Ottawa-Kent Conference,7541
Grand Rapids West Catholic HS,Ottawa-Kent Conference,5826
Grand Haven HS,Ottawa-Kent Conference,4101
Grandville HS,Ottawa-Kent Conference,6576
Grandville Calvin Christian HS,Ottawa-Kent Conference,6576
Greenville HS,Ottawa-Kent Conference,3367
Hamilton HS,Ottawa-Kent Conference,1412
Holland HS,Ottawa-Kent Conference,6485
Holland Christian HS,Ottawa-Kent Conference,6114
Holland West Ottawa HS,Ottawa-Kent Conference,6485
Hopkins HS,Ottawa-Kent Conference,4844
Hudsonville HS,Ottawa-Kent Conference,8077
Hudsonville Unity Christian HS,Ottawa-Kent Conference,8077
Jenison HS,Ottawa-Kent Conference,3607
Kelloggsville HS,Ottawa-Kent Conference,2831
Kenowa Hills HS,Ottawa-Kent Conference,5280
Lowell HS,Ottawa-Kent Conference,6378
Middleville Thornapple Kellogg HS,Ottawa-Kent Conference,5388
Muskegon HS,Ottawa-Kent Conference,7962
Muskegon Mona Shores HS,Ottawa-Kent Conference,7962
Muskegon Reeths-Puffer HS,Ottawa-Kent Conference,2823
Northview HS,Ottawa-Kent Conference,4142
Rockford HS,Ottawa-Kent Conference,4183
South Christian HS,Ottawa-Kent Conference,3895
Sparta HS,Ottawa-Kent Conference,5974
Spring Lake HS,Ottawa-Kent Conference,4687
Wayland HS,Ottawa-Kent Conference,8036
Wyoming HS,Ottawa-Kent Conference,1033
Zeeland East HS,Ottawa-Kent Conference,3813
Zeeland West HS,Ottawa-Kent Conference,9920
Bay City Central HS,Saginaw Valley League,5256
Bay City Western HS,Saginaw Valley League,3524
Midland HS,Saginaw Valley League,5990
Midland Dow HS,Saginaw Valley League,5990
Mount Pleasant HS,Saginaw Valley League,5834
Davison HS,Saginaw Valley League,3103
Flint Carman-Ainsworth HS,Saginaw Valley League,4290
Grand Blanc HS,Saginaw Valley League,2237
Lapeer HS,Saginaw Valley League,1086
Saginaw-Arthur Hill Co-Op HS,Saginaw Valley League,4753
Saginaw Heritage HS,Saginaw Valley League,4547
Ann Arbor Huron HS,Southeastern Conference,1825
Ann Arbor Pioneer HS,Southeastern Conference,3680
Ann Arbor Skyline HS,Southeastern Conference,2032
Dexter HS,Southeastern Conference,2071
Monroe HS,Southeastern Conference,3730
Saline HS,Southeastern Conference,6584
Temperance Bedford HS,Southeastern Conference,6122
Ypsilanti Lincoln HS,Southeastern Conference,6477
White Division HS,Southeastern Conference,5900
Adrian HS,Southeastern Conference,2294
Chelsea HS,Southeastern Conference,1651
Jackson HS,Southeastern Conference,2633
Pinckney HS,Southeastern Conference,4357
Tecumseh HS,Southeastern Conference,3350
Ypsilanti HS,Southeastern Conference,6477
Battle Creek Central HS,Southwestern Michigan Athletic Conference,2682
Battle Creek Lakeview HS,Southwestern Michigan Athletic Conference,2583
Richland Gull Lake HS,Southwestern Michigan Athletic Conference,5297
Kalamazoo Central HS,Southwestern Michigan Athletic Conference,3945
Kalamazoo Loy Norrix HS,Southwestern Michigan Athletic Conference,6551
Mattawan HS,Southwestern Michigan Athletic Conference,4027
Portage Central HS,Southwestern Michigan Athletic Conference,1437
Portage Northern HS,Southwestern Michigan Athletic Conference,4794
St. Joseph HS,Southwestern Michigan Athletic Conference,2708
Stevensville Lakeshore HS,Southwestern Michigan Athletic Conference,5875
Hemlock Huskies HS,Tri-Valley Conference,6568
Ithaca Yellowjackets HS,Tri-Valley Conference,4398
Saginaw Michigan Lutheran Seminary  HS,Tri-Valley Conference,4241
Saginaw Nouvel Catholic Central  HS,Tri-Valley Conference,4241
Saginaw Valley Lutheran  HS,Tri-Valley Conference,4241
St. Louis  HS,Tri-Valley Conference,8052
Midland Bullock Creek  HS,Tri-Valley Conference,5990
Standish-Sterling  HS,Tri-Valley Conference,3012
Millington  HS,Tri-Valley Conference,4464
Carrollton  HS,Tri-Valley Conference,6502
Birch Run  HS,Tri-Valley Conference,4968
Bridgeport  HS,Tri-Valley Conference,1271
Essexville Garber  HS,Tri-Valley Conference,6106
Frankenmuth  HS,Tri-Valley Conference,7723
Alma  HS,Tri-Valley Conference,2303
Bay City John Glenn  HS,Tri-Valley Conference,1247
Freeland  HS,Tri-Valley Conference,7590
Saginaw Swan Valley  HS,Tri-Valley Conference,2757
Dearborn Heights Annapolis HS,Western Wayne Athletic Conference,7376
Dearborn Heights Robichaud HS,Western Wayne Athletic Conference,7376
Melvindale HS,Western Wayne Athletic Conference,7970
Redford Thurston HS,Western Wayne Athletic Conference,7665
Redford Union HS,Western Wayne Athletic Conference,2047
Romulus HS,Western Wayne Athletic Conference,2402
Dearborn Heights Crestwood HS,Western Wayne Athletic Conference,7376
Garden City HS,Western Wayne Athletic Conference,7657
Benton Harbor Countryside Academy HS,BCS League,7021
Covert HS,BCS League,2773
Eau Claire HS,BCS League,1965
Marcellus Howardsville Christian HS,BCS League,5446
New Buffalo HS,BCS League,2286
Our Lady of the Lake Catholic HS,BCS League,7707
St. Joseph Michigan Lutheran HS,BCS League,2708
Three Oaks River Valley HS,BCS League,2162
Watervliet Grace Christian HS,BCS League,5578
Airport HS,Huron League,4654
Flat Rock HS,Huron League,4943
Grosse Ile HS,Huron League,1528
Huron HS,Huron League,1825
Jefferson HS,Huron League,7491
Milan HS,Huron League,2451
Riverview HS,Huron League,7847
St. Mary Catholic Central HS,Huron League,3433
"Emmett Township, Calhoun County HS",Interstate 8 Athletic Conference,2170
"Pennfield Township, Calhoun County HS",Interstate 8 Athletic Conference,2170
"Coldwater, Branch County HS",Interstate 8 Athletic Conference,1288
"Hastings, Barry County HS",Interstate 8 Athletic Conference,2410
"Summit Township, Jackson County HS",Interstate 8 Athletic Conference,2633
"Blackman Township, Jackson County HS",Interstate 8 Athletic Conference,2633
"Marshall, Calhoun County HS",Interstate 8 Athletic Conference,7855
"Spring Arbor Township, Jackson County HS",Interstate 8 Athletic Conference,2633
Saginaw Michigan Lutheran Seminary Cardinals HS,Tri-Valley Conference,4241
Saginaw Nouvel Catholic Central Panthers HS,Tri-Valley Conference,4241
Saginaw Valley Lutheran Chargers HS,Tri-Valley Conference,4241
St. Louis Sharks HS,Tri-Valley Conference,8052
Midland Bullock Creek Lancers HS,Tri-Valley Conference,5990
Standish-Sterling Panthers HS,Tri-Valley Conference,3012
Millington Cardinals HS,Tri-Valley Conference,4464
Carrollton Cavaliers HS,Tri-Valley Conference,6502
Birch Run Panthers HS,Tri-Valley Conference,4968
Bridgeport Bearcats HS,Tri-Valley Conference,1271
Essexville Garber Dukes HS,Tri-Valley Conference,6106
Frankenmuth Eagles HS,Tri-Valley Conference,7723
Alma Panthers HS,Tri-Valley Conference,2303
Bay City John Glenn Bobcats HS,Tri-Valley Conference,1247
Freeland Falcons HS,Tri-Valley Conference,7590
Saginaw Swan Valley Vikings HS,Tri-Valley Conference,2757
Edwardsburg HS,Wolverine Conference,4175
Niles HS,Wolverine Conference,1486
Otsego HS,Wolverine Conference,4984
Paw Paw HS,Wolverine Conference,1255
Plainwell HS,Wolverine Conference,7211
Sturgis HS,Wolverine Conference,6667
Three Rivers HS,Wolverine Conference,4134
Vicksburg HS,Wolverine Conference,1610
Beaverton HS,Jack Pine Conference,5504
Clare HS,Jack Pine Conference,3788
Farwell HS,Jack Pine Conference,2955
Gladwin HS,Jack Pine Conference,2253
Harrison HS,Jack Pine Conference,2022
Pinconning HS,Jack Pine Conference,5405
Sanford Meridian HS,Jack Pine Conference,5966
Shepherd HS,Jack Pine Conference,1057
Boyne City  HS,Lake Michigan Conference,3053
Charlevoix  HS,Lake Michigan Conference,7764
East Jordan  HS,Lake Michigan Conference,1115
Elk Rapids  HS,Lake Michigan Conference,1783
Grayling  HS,Lake Michigan Conference,5314
Harbor Springs  HS,Lake Michigan Conference,5520
Kalkaska  HS,Lake Michigan Conference,6907
St. Francis  HS,Lake Michigan Conference,1107
Buchanan Bucks/Berrien Springs Shamrocks HS,Lakeland Athletic Conference,1346
Coloma Comets/ Berrien Springs Shamrocks HS,Lakeland Athletic Conference,1346
Coloma Comets HS,Lakeland Athletic Conference,4126
Cassopolis Rangers HS,Lakeland Athletic Conference,5776
Edwardsburg Eddies HS,Lakeland Athletic Conference,4175
Berrien Springs Shamrocks HS,Lakeland Athletic Conference,1346
Coloma Comets/ Edwardsburg Eddies HS,Lakeland Athletic Conference,4175
Coloma Comets/ River Valley Mustangs HS,Lakeland Athletic Conference,4126
Clinton Township Chippewa Valley HS,Macomb Area Conference,1874
Fraser HS,Macomb Area Conference,6948
Romeo HS,Macomb Area Conference,6023
Sterling Heights HS,Macomb Area Conference,2666
Sterling Heights Stevenson HS,Macomb Area Conference,2666
Utica HS,Macomb Area Conference,3020
Utica Eisenhower HS,Macomb Area Conference,3020
Utica Ford HS,Macomb Area Conference,7450
Warren Cousino HS,Macomb Area Conference,1172
Warren Woods-Tower HS,Macomb Area Conference,1791
Grosse Pointe North HS,Macomb Area Conference,7822
Harrison Township L'Anse Creuse HS,Macomb Area Conference,2022
Roseville Brablec HS,Macomb Area Conference,1040
St. Clair Shores Lake Shore HS,Macomb Area Conference,7046
St. Clair Shores Lakeview HS,Macomb Area Conference,2146
St. Clair Shores South Lake HS,Macomb Area Conference,2740
nan,Macomb Area Conference,5710
Gladstone Braves HS,Mid-Peninsula Athletic Conference,6130
Gwinn Modeltowners HS,Mid-Peninsula Athletic Conference,2600
Iron Mountain Mountaineers HS,Mid-Peninsula Athletic Conference,2212
Ishpeming Hematities HS,Mid-Peninsula Athletic Conference,6361
Ishpeming Westwood Patriots HS,Mid-Peninsula Athletic Conference,3152
Manistique Emeralds HS,Mid-Peninsula Athletic Conference,2245
Negaunee Miners HS,Mid-Peninsula Athletic Conference,5710
Norway Knights HS,Mid-Peninsula Athletic Conference,2625
Adrian Madison HS,Tri-County Conference,2294
Britton-Deerfield HS,Tri-County Conference,1017
Erie-Mason HS,Tri-County Conference,2138
Morenci HS,Tri-County Conference,7178
Ottawa Lake Whiteford HS,Tri-County Conference,3755
Petersburg Summerfield HS,Tri-County Conference,2121
Sand Creek HS,Tri-County Conference,1924
